% File initiated 06/12/2022 13:15:12 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 280 800 1280 1740 2200 2660 1280 microwave leakage pio2 3pio2 5pio2 7pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59919.552225
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59919	47715	0.00130881	0.04138119	0.48462451	0.04162891	0.48069808	0.58598834	0.58601447	0.32038212	0.32008803	0.58621620	0.58631440	0.32057284	0.32026708	59919	47713	0
59919	47718	0.00024534	0.04174091	0.48073967	0.04214508	0.48393008	0.58598497	0.58601899	0.32051532	0.32008729	0.58637216	0.58614660	0.32038484	0.32021490	59919	47716	0
59919	47721	0.00135378	0.04212944	0.48541625	0.04222726	0.48209092	0.58615572	0.58600321	0.32028401	0.32005336	0.58593501	0.58592014	0.31997299	0.32001153	59919	47719	0
59919	47724	-0.00001524	0.04219880	0.48085138	0.04236515	0.48495845	0.58596993	0.58587256	0.32017686	0.31991235	0.58606196	0.58596533	0.32004727	0.31991999	59919	47723	0
59919	47728	0.00090124	0.04246394	0.48563737	0.04265947	0.48288791	0.58615441	0.58612417	0.32007308	0.32003109	0.58584667	0.58569893	0.32018943	0.31972483	59919	47726	0
59919	48515	0.00001883	0.04300814	0.48112192	0.04306902	0.48376915	0.58608062	0.58594125	0.31970791	0.31979271	0.58595309	0.58603172	0.32012304	0.31979550	59919	48513	0
59919	48518	0.00062638	0.04289288	0.48325253	0.04289786	0.48142987	0.58590929	0.58600913	0.31994078	0.31975474	0.58602293	0.58589976	0.31982434	0.31968983	59919	48517	0
59919	48522	-0.00008857	0.04294697	0.48191685	0.04300622	0.48406171	0.58605128	0.58609730	0.32001178	0.31980824	0.58590995	0.58612187	0.32008162	0.31988860	59919	48520	0
59919	48525	0.00066721	0.04295972	0.48343019	0.04291415	0.48116287	0.58603608	0.58596903	0.32002229	0.31976082	0.58607955	0.58611398	0.31983034	0.31981539	59919	48523	0
59919	48528	0.00046384	0.04308559	0.48171836	0.04308908	0.48232845	0.58601061	0.58611513	0.32013553	0.31983281	0.58627701	0.58616665	0.32004111	0.31988655	59919	48527	0
