% File initiated 07/12/2022 13:29:17 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 260 710 1140 11560 1960 2370 1140 microwave leakage pio2 3pio2 5pio2 7pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59920.562002
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59920	48576	-0.00096855	0.00637203	0.47860281	0.00635194	0.48150845	0.58139602	0.58063749	0.31807729	0.31803851	0.58139824	0.58058523	0.31803037	0.31798592	59920	48574	0
59920	48579	0.00131970	0.00643370	0.48462098	0.00639816	0.47775623	0.58132888	0.58058244	0.31797680	0.31797359	0.58142166	0.58064653	0.31809036	0.31798584	59920	48577	0
59920	48582	0.00186826	0.00639028	0.48171067	0.00640083	0.48006500	0.58127933	0.58059296	0.31788296	0.31793653	0.58116355	0.58043083	0.31786348	0.31783275	59920	48581	0
59920	48585	0.00089272	0.00638664	0.48129857	0.00634854	0.48422519	0.58120554	0.58053995	0.31778000	0.31791698	0.58112600	0.58045261	0.31780802	0.31773751	59920	48584	0
59920	48589	0.00128425	0.00641716	0.48196323	0.00638855	0.48078865	0.58104095	0.58041694	0.31775880	0.31781007	0.58103249	0.58033913	0.31773168	0.31763587	59920	48587	0
59920	48592	0.00112505	0.00635454	0.47968418	0.00639834	0.48016177	0.58111491	0.58043404	0.31770103	0.31769092	0.58100735	0.58017248	0.31758772	0.31757375	59920	48590	0
59920	48595	0.00026832	0.00638603	0.48078571	0.00634558	0.48335592	0.58085697	0.58029475	0.31758048	0.31758188	0.58107259	0.58031489	0.31760563	0.31766413	59920	48594	0
59920	48598	-0.00076563	0.00638663	0.47912108	0.00642104	0.48222291	0.58093421	0.58021907	0.31752140	0.31754959	0.58080619	0.58018284	0.31743389	0.31753003	59920	48597	0
59920	48602	0.00121764	0.00639256	0.48366051	0.00638288	0.47771071	0.58078762	0.58012951	0.31740209	0.31740497	0.58083602	0.58009689	0.31743110	0.31742756	59920	48600	0
59920	48605	0.00038160	0.00640467	0.47995095	0.00640631	0.48245908	0.58090414	0.58016246	0.31742173	0.31747062	0.58101828	0.58019007	0.31747448	0.31745452	59920	48603	0
59920	48608	-0.00076078	0.00638702	0.48060907	0.00635740	0.48403622	0.58087431	0.58024627	0.31739346	0.31745123	0.58087143	0.58013345	0.31744457	0.31746125	59920	48607	0
59920	48612	-0.00017653	0.00644362	0.48194625	0.00642841	0.48019349	0.58094605	0.58022450	0.31745961	0.31747522	0.58085722	0.58019985	0.31742115	0.31740291	59920	48610	0
59920	48615	-0.00049710	0.00637063	0.48004505	0.00633576	0.48100676	0.58089806	0.58020650	0.31742502	0.31738122	0.58087686	0.58022516	0.31729814	0.31746840	59920	48613	0
59920	48618	0.00087337	0.00637685	0.48319424	0.00639240	0.47908284	0.58080208	0.58008316	0.31726725	0.31728721	0.58083101	0.58011891	0.31731852	0.31734087	59920	48616	0
59920	48621	-0.00025950	0.00640968	0.47847773	0.00634885	0.48187634	0.58074686	0.58003296	0.31734999	0.31729962	0.58092764	0.58016796	0.31733356	0.31727324	59920	48620	0
59920	48625	-0.00028298	0.00638710	0.48036257	0.00642647	0.48043299	0.58087776	0.58008546	0.31734687	0.31726897	0.58083175	0.58017799	0.31727357	0.31737703	59920	48623	0
59920	48628	-0.00015009	0.00640156	0.48007266	0.00637464	0.47967398	0.58080685	0.57997823	0.31723857	0.31727620	0.58087661	0.58014734	0.31721449	0.31732551	59920	48626	0
59920	48631	0.00049796	0.00639073	0.48186524	0.00636265	0.47992110	0.58083109	0.58009582	0.31724999	0.31727702	0.58092649	0.58015104	0.31726716	0.31725410	59920	48630	0
59920	48634	0.00095869	0.00638846	0.48180118	0.00639895	0.48041897	0.58085820	0.58008727	0.31717965	0.31725311	0.58082369	0.58002926	0.31720529	0.31713758	59920	48633	0
59920	48638	0.00041868	0.00639642	0.47993153	0.00642568	0.48155158	0.58077143	0.58013592	0.31718606	0.31717998	0.58076568	0.58013173	0.31726897	0.31723052	59920	48636	0
59920	48641	0.00107339	0.00640745	0.48067733	0.00644005	0.47871319	0.58081769	0.58005933	0.31722764	0.31714013	0.58071687	0.58008801	0.31720710	0.31723824	59920	48639	0
59920	48644	0.00062240	0.00643645	0.48091018	0.00640197	0.48226314	0.58048301	0.57991808	0.31702574	0.31709041	0.58069288	0.57992515	0.31711244	0.31711449	59920	48643	0
59920	48647	0.00032706	0.00639969	0.48233797	0.00640608	0.48322399	0.58074941	0.57994421	0.31712435	0.31713824	0.58068359	0.58001447	0.31720250	0.31717291	59920	48646	0
59920	48651	0.00145165	0.00633914	0.48241452	0.00637650	0.47904074	0.58068622	0.58007043	0.31712501	0.31712912	0.58066173	0.57986746	0.31708392	0.31717521	59920	48649	0
59920	48654	0.00087218	0.00636934	0.48070233	0.00637192	0.48244076	0.58059747	0.57991709	0.31705680	0.31714728	0.58073388	0.57976672	0.31717883	0.31708302	59920	48652	0
59920	48657	0.00084470	0.00638458	0.48098623	0.00638868	0.48106866	0.58064324	0.57982580	0.31711967	0.31710874	0.58060520	0.57997059	0.31708515	0.31709748	59920	48656	0
59920	48661	0.00035659	0.00637047	0.47847090	0.00639825	0.47993523	0.58058548	0.57999335	0.31703421	0.31717694	0.58065894	0.57988538	0.31711383	0.31712542	59920	48659	0
59920	48664	0.00097936	0.00639670	0.48315366	0.00639530	0.48128536	0.58068088	0.57993106	0.31710488	0.31713659	0.58063692	0.57984363	0.31702878	0.31707579	59920	48662	0
59920	48667	0.00073054	0.00634303	0.48107206	0.00638778	0.48181851	0.58063725	0.57983731	0.31698022	0.31704678	0.58056025	0.57984938	0.31703191	0.31694316	59920	48665	0
59920	48670	0.00052005	0.00638649	0.48195201	0.00637723	0.48258347	0.58071925	0.57988809	0.31710989	0.31702394	0.58064086	0.57990477	0.31703643	0.31703667	59920	48669	0
59920	49490	0.00036887	0.00645871	0.48003959	0.00650450	0.48049313	0.58174163	0.58092353	0.31741072	0.31734753	0.58159619	0.58087119	0.31729223	0.31731236	59920	49489	0
59920	49494	0.00125890	0.00642838	0.48297413	0.00642979	0.48030405	0.58171189	0.58090932	0.31735090	0.31732674	0.58158616	0.58098286	0.31733200	0.31734210	59920	49492	0
59920	49497	0.00056956	0.00646791	0.48004002	0.00649096	0.48210804	0.58179241	0.58105879	0.31732657	0.31734441	0.58167532	0.58095402	0.31732164	0.31731671	59920	49495	0
59920	49500	0.00001730	0.00647860	0.48062293	0.00644997	0.48227971	0.58183514	0.58120382	0.31735747	0.31751524	0.58173941	0.58092378	0.31731145	0.31733192	59920	49499	0
59920	49503	0.00009468	0.00646680	0.48201782	0.00650411	0.48178567	0.58192044	0.58092920	0.31743447	0.31725681	0.58164565	0.58090973	0.31725928	0.31728327	59920	49502	0
59920	49507	0.00086857	0.00646005	0.48362362	0.00646830	0.48130194	0.58166833	0.58088064	0.31730809	0.31734671	0.58172150	0.58108130	0.31728245	0.31727004	59920	49505	0
59920	49510	-0.00012073	0.00643583	0.47947347	0.00644374	0.48244137	0.58168436	0.58080726	0.31724596	0.31727062	0.58170934	0.58097818	0.31730274	0.31725073	59920	49508	0
59920	49513	0.00040653	0.00645181	0.48264470	0.00642554	0.48106294	0.58179077	0.58090200	0.31723002	0.31718762	0.58179923	0.58102961	0.31733076	0.31726182	59920	49512	0
59920	49517	-0.00013871	0.00645160	0.47902592	0.00647067	0.48066165	0.58167121	0.58088910	0.31728606	0.31728590	0.58172651	0.58096026	0.31729256	0.31739034	59920	49515	0
59920	49520	0.00039666	0.00645484	0.48225082	0.00649422	0.48064471	0.58177647	0.58097965	0.31737588	0.31732033	0.58183243	0.58107358	0.31732016	0.31730669	59920	49518	0
59920	49523	-0.00014276	0.00647524	0.47869539	0.00648560	0.48031364	0.58168567	0.58090792	0.31723849	0.31723372	0.58162363	0.58097267	0.31725969	0.31732600	59920	49521	0
59920	49526	0.00130158	0.00645833	0.48333502	0.00644840	0.47900199	0.58175675	0.58093627	0.31731154	0.31731367	0.58161081	0.58092501	0.31718828	0.31727949	59920	49525	0
59920	49530	0.00037316	0.00645344	0.48021835	0.00645472	0.48300361	0.58160523	0.58091885	0.31721383	0.31717875	0.58157556	0.58079460	0.31711769	0.31712484	59920	49528	0
59920	49533	-0.00006124	0.00646211	0.47900281	0.00642067	0.48030602	0.58155116	0.58071514	0.31704399	0.31707718	0.58188527	0.58077373	0.31732452	0.31707053	59920	49531	0
59920	49536	0.00000836	0.00648236	0.48293819	0.00646213	0.48272939	0.58155198	0.58074793	0.31709419	0.31710274	0.58152593	0.58074308	0.31707825	0.31705935	59920	49535	0
59920	49539	0.00098297	0.00648319	0.48532140	0.00650128	0.48239758	0.58155855	0.58083413	0.31708211	0.31717365	0.58154228	0.58066206	0.31698096	0.31696601	59920	49538	0
59920	49543	0.00057615	0.00646177	0.48011489	0.00648049	0.48133535	0.58154647	0.58088787	0.31707759	0.31713520	0.58152626	0.58092460	0.31705261	0.31708285	59920	49541	0
59920	49546	0.00060968	0.00647910	0.48088313	0.00648230	0.48078254	0.58148296	0.58078589	0.31706675	0.31699526	0.58162799	0.58073010	0.31707464	0.31700159	59920	49544	0
59920	49549	0.00062665	0.00648665	0.48153118	0.00646624	0.48148026	0.58142420	0.58076527	0.31689411	0.31698984	0.58141048	0.58065886	0.31693856	0.31701120	59920	49548	0
59920	49552	0.00130117	0.00652779	0.48118155	0.00644746	0.47915798	0.58152322	0.58089880	0.31699435	0.31717324	0.58148706	0.58073659	0.31702344	0.31699600	59920	49551	0
