% File initiated 07/12/2022 14:21:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 760 1620 1620 1670 2020 2060 2400 microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59920.598581
%% clock_data = False
%% sequence = 12
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59920	52307	0.00211352	0.00653315	0.50063925	0.00654298	0.49979384	0.58481575	0.58407925	0.31872924	0.31871338	0.58477360	0.58416586	0.31863401	0.31879605	59920	52306	0
59920	52311	0.00013904	0.00653528	0.50003199	0.00654788	0.50082179	0.58485807	0.58430341	0.31859826	0.31885381	0.58487097	0.58413759	0.31871716	0.31878742	59920	52309	0
59920	52314	-0.00189210	0.00657763	0.50005702	0.00656485	0.50086948	0.58490137	0.58420144	0.31871363	0.31880402	0.58492660	0.58414071	0.31874765	0.31873368	59920	52312	0
59920	52317	-0.00191416	0.00658308	0.50116540	0.00651123	0.50117422	0.58488206	0.58415575	0.31878791	0.31878233	0.58493293	0.58423611	0.31871355	0.31881018	59920	52316	0
59920	52321	0.00489969	0.00656351	0.50225756	0.00649247	0.49953202	0.58501033	0.58415254	0.31873146	0.31880673	0.58482167	0.58418352	0.31866022	0.31891010	59920	52319	0
59920	52324	0.00018211	0.00656240	0.50038347	0.00653045	0.50227050	0.58501181	0.58419158	0.31882127	0.31888225	0.58495429	0.58416701	0.31877148	0.31886483	59920	52322	0
59920	52327	0.00207748	0.00656358	0.50070164	0.00650790	0.49994349	0.58488716	0.58422264	0.31870903	0.31882982	0.58496793	0.58417317	0.31878200	0.31883105	59920	52325	0
59920	52330	0.00091289	0.00651667	0.50071678	0.00658175	0.50118261	0.58505676	0.58435592	0.31881692	0.31893303	0.58492964	0.58432379	0.31876877	0.31884116	59920	52329	0
59920	52334	-0.00021434	0.00653889	0.50168674	0.00650812	0.50213764	0.58499587	0.58436586	0.31880402	0.31887871	0.58495084	0.58430431	0.31879835	0.31890254	59920	52332	0
59920	52337	-0.00269808	0.00653493	0.50062449	0.00651305	0.50161799	0.58487154	0.58430957	0.31879046	0.31888939	0.58497582	0.58425279	0.31879317	0.31891421	59920	52335	0
59920	52340	0.00201118	0.00650136	0.50167954	0.00656671	0.49979584	0.58504123	0.58435493	0.31879892	0.31895924	0.58512052	0.58431713	0.31896162	0.31904314	59920	52338	0
59920	52343	-0.00236392	0.00650915	0.49946505	0.00649643	0.50121509	0.58514205	0.58431089	0.31895209	0.31902268	0.58501551	0.58434672	0.31890517	0.31901438	59920	52342	0
59920	52347	-0.00175967	0.00648801	0.50108723	0.00657199	0.50084553	0.58511255	0.58443924	0.31888389	0.31902029	0.58526712	0.58478050	0.31895497	0.31928801	59920	52345	0
59920	52350	0.00026721	0.00658326	0.50051206	0.00654084	0.49970131	0.58515208	0.58439865	0.31897042	0.31902974	0.58523466	0.58446595	0.31897239	0.31905357	59920	52348	0
59920	52353	0.00029840	0.00655893	0.50108800	0.00654638	0.50107553	0.58523294	0.58456661	0.31895735	0.31917428	0.58519218	0.58444812	0.31897863	0.31909729	59920	52352	0
59920	52356	0.00199675	0.00654733	0.50060850	0.00656015	0.49992916	0.58520302	0.58446381	0.31899918	0.31911405	0.58509292	0.58441056	0.31898989	0.31905891	59920	52355	0
59920	52360	0.00013234	0.00657698	0.49931165	0.00656166	0.50005741	0.58514107	0.58439273	0.31901840	0.31908710	0.58529465	0.58438673	0.31899926	0.31915801	59920	52358	0
59920	52363	0.00017179	0.00662161	0.50062997	0.00656968	0.50061418	0.58525167	0.58447737	0.31909047	0.31913139	0.58524460	0.58458140	0.31904059	0.31919409	59920	52361	0
59920	52366	-0.00018785	0.00652143	0.50020141	0.00654116	0.50034526	0.58517574	0.58457499	0.31911561	0.31926689	0.58530746	0.58465091	0.31915793	0.31926763	59920	52365	0
59920	52369	-0.00010533	0.00653049	0.50033828	0.00655829	0.50030527	0.58533401	0.58447729	0.31905916	0.31924035	0.58526334	0.58439955	0.31903574	0.31912720	59920	52368	0
59920	52373	-0.00023247	0.00652008	0.50073253	0.00652896	0.50078339	0.58513474	0.58451122	0.31910074	0.31915612	0.58528692	0.58449199	0.31907551	0.31915251	59920	52371	0
59920	52376	0.00199988	0.00650082	0.50108736	0.00650212	0.50019442	0.58519415	0.58454089	0.31901060	0.31908307	0.58521634	0.58451730	0.31906302	0.31919746	59920	52374	0
