% File initiated 07/12/2022 14:21:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 760 1620 1620 1670 2020 2060 2400 microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59920.598581
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59920	52177	-0.00041693	0.04303276	0.44897278	0.04312190	0.44938971	0.58401146	0.58394925	0.31881166	0.31858725	0.58403249	0.58387045	0.31871988	0.31854132	59920	52175	0
59920	52180	-0.00155811	0.04316737	0.44843414	0.04312784	0.44957532	0.58408590	0.58419503	0.31866663	0.31873179	0.58405114	0.58391909	0.31876063	0.31855397	59920	52178	0
59920	52183	-0.00112049	0.04313618	0.45072845	0.04313338	0.45029083	0.58411647	0.58402017	0.31872513	0.31855882	0.58408130	0.58401170	0.31884798	0.31858955	59920	52182	0
59920	52187	-0.00099620	0.04317839	0.44900592	0.04312809	0.44888163	0.58404975	0.58395287	0.31877624	0.31859226	0.58404687	0.58400554	0.31876745	0.31864050	59920	52185	0
59920	52190	-0.00109537	0.04313957	0.44971143	0.04324809	0.44981060	0.58404498	0.58403504	0.31880164	0.31854608	0.58413110	0.58393430	0.31881897	0.31853671	59920	52188	0
59920	53092	-0.00122951	0.04334514	0.44893927	0.04315126	0.44907342	0.58422436	0.58401828	0.31873187	0.31846572	0.58417210	0.58404309	0.31868635	0.31849481	59920	53090	0
59920	53095	0.00027827	0.04313606	0.45076638	0.04314093	0.44925860	0.58424729	0.58412165	0.31867263	0.31853745	0.58421565	0.58412214	0.31873680	0.31855315	59920	53093	0
59920	53098	0.00034138	0.04328106	0.44998219	0.04323170	0.44991907	0.58410645	0.58407711	0.31858840	0.31844444	0.58408804	0.58398590	0.31859777	0.31839415	59920	53097	0
59920	53101	-0.00020285	0.04323763	0.44903265	0.04322327	0.44957689	0.58417752	0.58410497	0.31865389	0.31854625	0.58433332	0.58401203	0.31872653	0.31850911	59920	53100	0
59920	53105	-0.00095847	0.04330573	0.44800365	0.04316186	0.44875927	0.58405911	0.58403939	0.31872735	0.31853367	0.58418344	0.58387406	0.31856893	0.31843047	59920	53103	0
