% File initiated 07/12/2022 14:21:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 760 1620 1620 1670 2020 2060 2400 microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59920.598581
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59920	51720	-0.00058019	0.04288527	0.48250118	0.04283665	0.48424173	0.58393076	0.58384185	0.31921381	0.31865923	0.58375327	0.58390611	0.31912728	0.31871930	59920	51718	0
59920	51723	0.00132055	0.04286689	0.48668313	0.04293883	0.48098092	0.58413463	0.58396306	0.31892070	0.31882842	0.58382945	0.58393939	0.31911783	0.31881741	59920	51721	0
59920	51726	0.00014913	0.04299373	0.48150851	0.04294833	0.48502276	0.58406010	0.58409683	0.31889589	0.31875997	0.58380726	0.58376182	0.31900205	0.31864436	59920	51725	0
59920	51730	0.00070135	0.04291773	0.48312276	0.04294650	0.48146613	0.58412387	0.58381942	0.31882464	0.31865299	0.58389009	0.58387571	0.31904947	0.31866761	59920	51728	0
59920	51733	0.00022551	0.04297318	0.48296656	0.04296748	0.48439406	0.58377932	0.58387957	0.31909597	0.31867961	0.58405402	0.58403422	0.31882160	0.31872185	59920	51731	0
59920	52635	0.00078376	0.04320266	0.48281275	0.04328500	0.48113800	0.58421877	0.58437564	0.31914692	0.31871043	0.58444696	0.58438246	0.31889038	0.31862694	59920	52633	0
59920	52638	0.00113829	0.04307431	0.48433494	0.04306356	0.48327136	0.58432338	0.58431434	0.31901684	0.31874962	0.58438788	0.58438230	0.31871560	0.31873499	59920	52636	0
59920	52641	-0.00018989	0.04316212	0.48323954	0.04321186	0.48722407	0.58436134	0.58428977	0.31876302	0.31870722	0.58421565	0.58423241	0.31892424	0.31873384	59920	52639	0
59920	52644	0.00045469	0.04308627	0.48562493	0.04304024	0.48369117	0.58434392	0.58427243	0.31903377	0.31873327	0.58434441	0.58432847	0.31892440	0.31869876	59920	52643	0
59920	52648	0.00100192	0.04316441	0.48486644	0.04328154	0.48322476	0.58435469	0.58436611	0.31911356	0.31860722	0.58432067	0.58439742	0.31886713	0.31864370	59920	52646	0
