% File initiated 07/12/2022 14:21:57 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 760 1620 1620 1670 2020 2060 2400 microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59920.598581
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59920	51736	-0.00030081	0.00649671	0.48090180	0.00645366	0.48180423	0.58448830	0.58388138	0.31873228	0.31890377	0.58470671	0.58363946	0.31884683	0.31862513	59920	51734	0
59920	51739	0.00011342	0.00645783	0.48169559	0.00643108	0.48045290	0.58445995	0.58361144	0.31869991	0.31862628	0.58448526	0.58373257	0.31864625	0.31862579	59920	51738	0
59920	51743	-0.00019188	0.00649168	0.47996601	0.00649811	0.48088190	0.58438131	0.58380348	0.31867936	0.31873508	0.58451500	0.58384629	0.31875020	0.31879136	59920	51741	0
59920	51746	0.00065844	0.00644353	0.48265147	0.00642795	0.48010052	0.58439520	0.58369978	0.31858700	0.31857377	0.58445214	0.58368236	0.31871971	0.31862686	59920	51744	0
59920	51749	0.00129442	0.00649147	0.48226490	0.00649044	0.48035696	0.58447499	0.58368030	0.31867821	0.31865775	0.58429963	0.58355828	0.31861050	0.31863507	59920	51747	0
59920	51752	0.00015462	0.00651006	0.48097330	0.00648628	0.48439271	0.58432888	0.58375738	0.31861889	0.31876244	0.58444738	0.58359616	0.31871503	0.31863647	59920	51751	0
59920	51756	0.00036340	0.00651969	0.48133564	0.00653666	0.48070930	0.58439314	0.58368565	0.31871264	0.31874239	0.58448090	0.58349714	0.31865397	0.31857106	59920	51754	0
59920	51759	0.00076766	0.00649041	0.47936655	0.00647704	0.47815376	0.58443875	0.58366716	0.31867616	0.31875200	0.58488888	0.58389896	0.31907609	0.31889326	59920	51757	0
59920	51762	0.00117345	0.00651208	0.48168027	0.00647861	0.48046289	0.58477960	0.58392969	0.31896885	0.31882243	0.58448107	0.58371227	0.31861289	0.31865964	59920	51761	0
59920	51765	-0.00140505	0.00644642	0.47731830	0.00646575	0.48505381	0.58450424	0.58385434	0.31868454	0.31874707	0.58448871	0.58376116	0.31863023	0.31874707	59920	51764	0
