% File initiated 09/12/2022 20:13:06 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 1550 1600 1940 1980 2300  microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 negative gradient on last no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59922.842433
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59922	73262	-0.00186840	0.00596855	0.43128957	0.00595703	0.43315797	0.57790751	0.57719188	0.31464030	0.31478213	0.57783815	0.57714487	0.31465953	0.31466569	59922	73260	0
59922	73265	-0.00158664	0.00597311	0.43274753	0.00594746	0.43246577	0.57783832	0.57710486	0.31467523	0.31471500	0.57791260	0.57713608	0.31465855	0.31472527	59922	73264	0
59922	73268	-0.00241639	0.00596991	0.43164997	0.00598895	0.43247972	0.57783150	0.57717314	0.31460817	0.31466783	0.57787176	0.57716574	0.31463767	0.31472231	59922	73267	0
59922	73272	-0.00062785	0.00595720	0.43374671	0.00595529	0.43195817	0.57796725	0.57723493	0.31465896	0.31478295	0.57785763	0.57724003	0.31467523	0.31482708	59922	73270	0
59922	73275	0.00115468	0.00596783	0.43333016	0.00597198	0.43154763	0.57794210	0.57729853	0.31470415	0.31473012	0.57793964	0.57729993	0.31477474	0.31480481	59922	73273	0
59922	73278	-0.00059088	0.00599660	0.43132870	0.00597362	0.43307425	0.57810234	0.57727553	0.31477926	0.31487992	0.57803791	0.57725013	0.31476110	0.31486233	59922	73277	0
59922	73282	-0.00215202	0.00597650	0.43122672	0.00592244	0.43278786	0.57797982	0.57730100	0.31479594	0.31488542	0.57801885	0.57734200	0.31474606	0.31492725	59922	73280	0
59922	73285	-0.00234141	0.00593665	0.43386642	0.00592145	0.43405581	0.57803956	0.57733765	0.31480991	0.31486455	0.57819634	0.57748564	0.31486200	0.31503473	59922	73283	0
59922	73288	-0.00059560	0.00594078	0.43360167	0.00597109	0.43185586	0.57814046	0.57745959	0.31486726	0.31500260	0.57807826	0.57741267	0.31488296	0.31501714	59922	73286	0
59922	73291	-0.00200102	0.00598109	0.43077720	0.00592477	0.43218262	0.57810414	0.57743897	0.31496431	0.31503719	0.57813627	0.57741760	0.31500457	0.31509422	59922	73290	0
59922	73295	-0.00164868	0.00596432	0.43282219	0.00593595	0.43246985	0.57820390	0.57754776	0.31503136	0.31509644	0.57816339	0.57754357	0.31498945	0.31512191	59922	73293	0
59922	73298	-0.00139101	0.00594019	0.43195532	0.00597500	0.43169764	0.57847375	0.57765064	0.31516102	0.31517828	0.57829544	0.57764563	0.31507285	0.31513736	59922	73296	0
59922	73301	-0.00388688	0.00596552	0.43209443	0.00588788	0.43459029	0.57831007	0.57757241	0.31518978	0.31513128	0.57842371	0.57779493	0.31522717	0.31536218	59922	73299	0
59922	73304	-0.00066963	0.00593798	0.43494122	0.00594817	0.43172398	0.57843209	0.57772246	0.31518995	0.31527491	0.57839002	0.57760635	0.31517639	0.31528962	59922	73303	0
59922	73308	-0.00328213	0.00598654	0.43077079	0.00591336	0.43338329	0.57837794	0.57762960	0.31519587	0.31527097	0.57849125	0.57775697	0.31521493	0.31535848	59922	73306	0
59922	73311	-0.00428108	0.00593870	0.43133889	0.00595873	0.43233784	0.57857647	0.57778556	0.31534517	0.31542586	0.57840695	0.57760536	0.31520014	0.31535437	59922	73309	0
59922	73314	-0.00040619	0.00594571	0.43367332	0.00598811	0.42979843	0.57855116	0.57777283	0.31524205	0.31536103	0.57853349	0.57792115	0.31535824	0.31548207	59922	73313	0
59922	73317	0.00085287	0.00595113	0.43243528	0.00596184	0.43117622	0.57862339	0.57789321	0.31542964	0.31550039	0.57855444	0.57787242	0.31545331	0.31549916	59922	73316	0
59922	73321	0.00256027	0.00593273	0.43406454	0.00596024	0.43235714	0.57847359	0.57774982	0.31534747	0.31543540	0.57856562	0.57794317	0.31537705	0.31551642	59922	73319	0
59922	73324	0.00369706	0.00593042	0.43191061	0.00596467	0.43077382	0.57872380	0.57795640	0.31553195	0.31562020	0.57868427	0.57804071	0.31550343	0.31558799	59922	73322	0
59922	73327	0.00547794	0.00594678	0.43395064	0.00594462	0.43216977	0.57874484	0.57800447	0.31552094	0.31560541	0.57867778	0.57804901	0.31550721	0.31563959	59922	73326	0
59922	73331	0.00288303	0.00594002	0.43180894	0.00595139	0.43440385	0.57872618	0.57809699	0.31551264	0.31566079	0.57890277	0.57821746	0.31556408	0.31572521	59922	73329	0
59922	73334	0.00170420	0.00595979	0.43072843	0.00598566	0.43190725	0.57881312	0.57824835	0.31559801	0.31592374	0.57886809	0.57818180	0.31564699	0.31577263	59922	73332	0
59922	73337	0.00190711	0.00594294	0.43346102	0.00590458	0.43325811	0.57892463	0.57810875	0.31557928	0.31571174	0.57883457	0.57817514	0.31569284	0.31581988	59922	73335	0
59922	73340	0.00119376	0.00597427	0.43145768	0.00594357	0.43217104	0.57886760	0.57817949	0.31564099	0.31577994	0.57912775	0.57812066	0.31587740	0.31579810	59922	73339	0
59922	73344	-0.00127246	0.00596441	0.43096971	0.00591559	0.43343593	0.57904690	0.57827292	0.31576227	0.31582251	0.57891140	0.57825468	0.31567460	0.31575677	59922	73342	0
59922	73347	0.00180803	0.00595855	0.43343261	0.00599496	0.43035212	0.57895281	0.57822559	0.31562612	0.31581963	0.57892233	0.57822954	0.31566687	0.31574535	59922	73345	0
59922	73350	0.00031420	0.00598459	0.43016305	0.00598636	0.43165688	0.57890975	0.57821351	0.31567788	0.31577739	0.57905347	0.57837391	0.31582538	0.31595817	59922	73348	0
59922	73353	0.00103300	0.00595391	0.43276692	0.00594315	0.43204812	0.57901436	0.57834425	0.31570369	0.31590155	0.57896777	0.57829577	0.31573302	0.31583204	59922	73352	0
59922	73357	0.00010930	0.00596020	0.43025063	0.00597123	0.43117433	0.57896579	0.57824326	0.31575225	0.31581552	0.57891123	0.57821458	0.31574477	0.31584025	59922	73355	0
59922	74177	0.00083320	0.00601425	0.43175133	0.00604122	0.43102743	0.57962793	0.57880030	0.31498501	0.31501985	0.57962399	0.57878485	0.31500104	0.31507820	59922	74175	0
59922	74180	0.00063162	0.00599461	0.43244070	0.00603032	0.43264228	0.57956343	0.57886086	0.31504541	0.31508107	0.57965086	0.57894944	0.31506431	0.31519200	59922	74178	0
59922	74183	0.00153213	0.00601160	0.43176312	0.00598272	0.43086261	0.57955685	0.57888987	0.31500424	0.31517918	0.57956047	0.57880967	0.31501525	0.31508502	59922	74182	0
59922	74187	0.00171134	0.00604316	0.43060194	0.00602703	0.43042273	0.57965973	0.57886957	0.31503448	0.31522331	0.57946096	0.57887212	0.31506587	0.31514410	59922	74185	0
59922	74190	0.00214397	0.00602834	0.43142945	0.00602377	0.43099682	0.57952957	0.57887097	0.31509471	0.31516464	0.57953730	0.57885158	0.31507598	0.31518370	59922	74188	0
59922	74193	0.00181558	0.00601924	0.43096284	0.00604329	0.43129123	0.57954026	0.57880359	0.31512232	0.31511542	0.57953722	0.57882109	0.31509455	0.31519545	59922	74191	0
59922	74196	0.00030902	0.00600741	0.43030059	0.00600076	0.43180715	0.57948339	0.57881074	0.31505963	0.31513021	0.57951355	0.57880827	0.31507590	0.31520047	59922	74195	0
59922	74200	-0.00166264	0.00598685	0.43107060	0.00600702	0.43304226	0.57952998	0.57882314	0.31511378	0.31526111	0.57960295	0.57887812	0.31517154	0.31517853	59922	74198	0
59922	74203	-0.00087021	0.00599712	0.43170021	0.00600212	0.43090778	0.57955842	0.57878806	0.31510827	0.31517836	0.57952505	0.57882709	0.31510687	0.31519176	59922	74201	0
59922	74206	0.00009105	0.00600429	0.43151441	0.00598957	0.43055315	0.57950007	0.57880729	0.31507277	0.31515371	0.57963574	0.57888502	0.31510778	0.31519258	59922	74204	0
59922	74209	-0.00226615	0.00609046	0.42954945	0.00602406	0.43190665	0.57967945	0.57886530	0.31518633	0.31521016	0.57975587	0.57889496	0.31518099	0.31526563	59922	74208	0
59922	74213	-0.00277404	0.00601910	0.43010392	0.00605278	0.43061182	0.57971701	0.57904542	0.31514722	0.31535914	0.57971043	0.57895010	0.31519537	0.31528124	59922	74211	0
59922	74216	-0.00397986	0.00599569	0.42971504	0.00598967	0.43092087	0.57964987	0.57896432	0.31513037	0.31521813	0.57968529	0.57885774	0.31517812	0.31521041	59922	74214	0
59922	74219	-0.00220747	0.00600491	0.43215562	0.00600219	0.43038322	0.57970156	0.57893243	0.31522758	0.31525791	0.57968143	0.57906555	0.31523169	0.31537245	59922	74218	0
59922	74222	-0.00133138	0.00603642	0.43200631	0.00603802	0.43113022	0.57970928	0.57894821	0.31525347	0.31530680	0.57972621	0.57896547	0.31519981	0.31526596	59922	74221	0
59922	74226	0.00010807	0.00604511	0.43054792	0.00605100	0.42910847	0.57964322	0.57889472	0.31513037	0.31521846	0.57968800	0.57884065	0.31518379	0.31522282	59922	74224	0
59922	74229	0.00007810	0.00604325	0.43062017	0.00597622	0.43065014	0.57981832	0.57902266	0.31527253	0.31536276	0.57972251	0.57915011	0.31524484	0.31539226	59922	74227	0
59922	74232	0.00050108	0.00601288	0.43183905	0.00600026	0.43141607	0.57986442	0.57916785	0.31532948	0.31537582	0.57999392	0.57907985	0.31545372	0.31539283	59922	74231	0
59922	74236	0.00137273	0.00602156	0.43081976	0.00605467	0.42994811	0.57984938	0.57907804	0.31531526	0.31538207	0.57974043	0.57900154	0.31520244	0.31534082	59922	74234	0
59922	74239	-0.00076733	0.00604324	0.42887335	0.00604418	0.43101341	0.57975768	0.57906276	0.31525035	0.31532356	0.57975086	0.57893112	0.31528987	0.31525544	59922	74237	0
59922	74242	0.00150267	0.00601460	0.43396314	0.00598709	0.43169313	0.57990165	0.57913293	0.31533605	0.31535207	0.57966491	0.57899727	0.31523095	0.31532676	59922	74240	0
59922	74245	0.00019788	0.00604136	0.42976897	0.00601457	0.43107376	0.57965226	0.57902504	0.31519669	0.31531674	0.57959736	0.57891263	0.31521156	0.31520006	59922	74244	0
59922	74249	-0.00034174	0.00601446	0.43082499	0.00604271	0.43136461	0.57982391	0.57901082	0.31525035	0.31530294	0.57992852	0.57909842	0.31526349	0.31536990	59922	74247	0
59922	74252	0.00035705	0.00604651	0.42974977	0.00604105	0.42905099	0.57983270	0.57908560	0.31530910	0.31536900	0.57994076	0.57913720	0.31542496	0.31538864	59922	74250	0
59922	74255	0.00007720	0.00603545	0.42827422	0.00603531	0.42855406	0.57977601	0.57901617	0.31530910	0.31534698	0.57970263	0.57903753	0.31522997	0.31535774	59922	74253	0
59922	74258	0.00009463	0.00598816	0.43076510	0.00598217	0.43074768	0.57982194	0.57890302	0.31527680	0.31534377	0.57976557	0.57898157	0.31524344	0.31536563	59922	74257	0
59922	74262	0.00024576	0.00602139	0.43114797	0.00602913	0.43099684	0.57979564	0.57908560	0.31523547	0.31532808	0.57990970	0.57922348	0.31535405	0.31540129	59922	74260	0
59922	74265	0.00025044	0.00604827	0.43005026	0.00603181	0.43004558	0.57993435	0.57914813	0.31535536	0.31540557	0.57976713	0.57916983	0.31531970	0.31544115	59922	74263	0
59922	74268	0.00082002	0.00601187	0.42978343	0.00602319	0.42921386	0.57979334	0.57913852	0.31533975	0.31538437	0.57977716	0.57893153	0.31533063	0.31534238	59922	74267	0
59922	74271	0.00051467	0.00599010	0.42984263	0.00602219	0.43014797	0.57983361	0.57912077	0.31545857	0.31550532	0.57984684	0.57911806	0.31546218	0.31561461	59922	74270	0
59922	75092	0.00039574	0.00609922	0.43160087	0.00600497	0.43171981	0.58113282	0.58041727	0.31566548	0.31580706	0.58127169	0.58061777	0.31570410	0.31587608	59922	75090	0
59922	75095	-0.00003424	0.00601263	0.43113322	0.00601390	0.43156319	0.58129889	0.58048531	0.31569884	0.31573557	0.58106511	0.58041062	0.31556358	0.31573647	59922	75093	0
59922	75098	0.00060674	0.00599899	0.43092520	0.00599353	0.43028423	0.58105550	0.58029845	0.31559604	0.31572374	0.58107875	0.58020741	0.31568421	0.31575488	59922	75097	0
59922	75101	0.00142005	0.00603658	0.43160819	0.00605538	0.43079488	0.58113405	0.58050495	0.31571248	0.31587584	0.58130793	0.58056732	0.31571913	0.31583689	59922	75100	0
59922	75105	-0.00046936	0.00605881	0.43135735	0.00604206	0.43324675	0.58129355	0.58041193	0.31574740	0.31582990	0.58126972	0.58060791	0.31573770	0.31589638	59922	75103	0
59922	75108	0.00136018	0.00603430	0.43242802	0.00603772	0.43059848	0.58131779	0.58051851	0.31579720	0.31580985	0.58126988	0.58057693	0.31573623	0.31583853	59922	75106	0
59922	75111	-0.00026573	0.00604779	0.42832087	0.00605371	0.42994678	0.58129733	0.58050027	0.31571149	0.31581725	0.58121483	0.58041645	0.31569341	0.31567698	59922	75110	0
59922	75114	-0.00029269	0.00605665	0.43083527	0.00603006	0.43086222	0.58118229	0.58036057	0.31568462	0.31575825	0.58107892	0.58044094	0.31568002	0.31576318	59922	75113	0
59922	75118	-0.00114486	0.00602120	0.42963346	0.00605515	0.43048563	0.58117284	0.58046838	0.31576671	0.31585702	0.58115164	0.58042483	0.31575135	0.31576293	59922	75116	0
59922	75121	-0.00013178	0.00609883	0.43183419	0.00606637	0.43082111	0.58127128	0.58054390	0.31567698	0.31577131	0.58125074	0.58065606	0.31567788	0.31594346	59922	75119	0
59922	75124	0.00019027	0.00607331	0.43128529	0.00604810	0.43096323	0.58127958	0.58051078	0.31570993	0.31570048	0.58123126	0.58051152	0.31562184	0.31577567	59922	75123	0
59922	75128	0.00008134	0.00598822	0.43017189	0.00602112	0.43028082	0.58113652	0.58036427	0.31571001	0.31569777	0.58124942	0.58042524	0.31563236	0.31570319	59922	75126	0
59922	75131	0.00045709	0.00603255	0.43185626	0.00601761	0.43148051	0.58128772	0.58055705	0.31571930	0.31576671	0.58133094	0.58051670	0.31574904	0.31579210	59922	75129	0
59922	75134	0.00126776	0.00600343	0.43107535	0.00601280	0.43026468	0.58114367	0.58041588	0.31571001	0.31577246	0.58119437	0.58041842	0.31576425	0.31579868	59922	75132	0
59922	75137	-0.00082141	0.00606058	0.43053242	0.00604015	0.43262158	0.58110078	0.58042467	0.31564658	0.31582144	0.58116372	0.58048087	0.31569194	0.31576326	59922	75136	0
59922	75141	0.00059279	0.00603247	0.43179263	0.00601602	0.43037843	0.58117703	0.58058153	0.31567394	0.31581716	0.58120916	0.58044340	0.31567484	0.31571314	59922	75139	0
59922	75144	-0.00011606	0.00605281	0.43002410	0.00604486	0.43073295	0.58127465	0.58050758	0.31572563	0.31575792	0.58126660	0.58048515	0.31563203	0.31576794	59922	75142	0
59922	75147	-0.00100443	0.00605900	0.42957282	0.00604277	0.43046119	0.58119133	0.58047627	0.31562036	0.31570500	0.58121121	0.58046526	0.31564625	0.31570640	59922	75145	0
59922	75150	0.00032557	0.00604106	0.43115917	0.00602099	0.42982917	0.58121286	0.58043897	0.31562940	0.31564477	0.58121844	0.58041070	0.31559801	0.31575332	59922	75149	0
