% File initiated 09/12/2022 20:13:06 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 1550 1600 1940 1980 2300  microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 negative gradient on last no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59922.842433
%% clock_data = False
%% sequence = 15
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59922	73588	-0.00016581	0.04269099	0.53167750	0.04283539	0.53164433	0.57770701	0.57756124	0.31488854	0.31479750	0.57769575	0.57775541	0.31492486	0.31479857	59922	73587	0
59922	73592	0.00345584	0.04256015	0.53133251	0.04260301	0.53205684	0.57775294	0.57760388	0.31493168	0.31475633	0.57775385	0.57768203	0.31498082	0.31474573	59922	73590	0
59922	73595	0.00433091	0.04261726	0.53258986	0.04256878	0.53276487	0.57789699	0.57772040	0.31498740	0.31475575	0.57782312	0.57763092	0.31500128	0.31473250	59922	73593	0
59922	73598	0.00502782	0.04258650	0.53198572	0.04255367	0.53212510	0.57786527	0.57769748	0.31498017	0.31471648	0.57772213	0.57754579	0.31489569	0.31466027	59922	73597	0
59922	73601	0.00872591	0.04241145	0.53192248	0.04264356	0.53266209	0.57765064	0.57750947	0.31486734	0.31468920	0.57761046	0.57755014	0.31488189	0.31467695	59922	73600	0
59922	74503	0.01893638	0.04323067	0.53116716	0.04315948	0.53320925	0.57895043	0.57891271	0.31470316	0.31462757	0.57890269	0.57881065	0.31470177	0.31455172	59922	74502	0
59922	74507	0.02917229	0.04313930	0.53116086	0.04328700	0.53320805	0.57890622	0.57874097	0.31475436	0.31454918	0.57881468	0.57870950	0.31463126	0.31452321	59922	74505	0
59922	74510	0.05609764	0.04326756	0.52937654	0.04308541	0.53476161	0.57895470	0.57877491	0.31475115	0.31454441	0.57882586	0.57880515	0.31470029	0.31451770	59922	74508	0
59922	74513	0.09325036	0.04319824	0.52819057	0.04324932	0.53562111	0.57890934	0.57879208	0.31472239	0.31449971	0.57898075	0.57883695	0.31477375	0.31449116	59922	74511	0
59922	74516	0.16169890	0.04321847	0.52524324	0.04327461	0.53893295	0.57881871	0.57883021	0.31473743	0.31455780	0.57894172	0.57884533	0.31470974	0.31459938	59922	74515	0
59922	75418	0.27835691	0.04281902	0.52060690	0.04279852	0.54393850	0.58101293	0.58095878	0.31623797	0.31591873	0.58105106	0.58095270	0.31612983	0.31593385	59922	75417	0
59922	75421	0.46405962	0.04306234	0.51287342	0.04290826	0.55001396	0.58131056	0.58115953	0.31627576	0.31602654	0.58099970	0.58092920	0.31610164	0.31587534	59922	75420	0
59922	75425	0.46501296	0.04283123	0.51288211	0.04285714	0.55021332	0.58107160	0.58091022	0.31615571	0.31593286	0.58103512	0.58103759	0.31620847	0.31600476	59922	75423	0
59922	75428	0.46525476	0.04304025	0.51316278	0.04302302	0.55054235	0.58121812	0.58102526	0.31624462	0.31601019	0.58119462	0.58112337	0.31628793	0.31599728	59922	75426	0
59922	75431	0.47005355	0.04295843	0.51238944	0.04296907	0.55072877	0.58117079	0.58107966	0.31623106	0.31604807	0.58116273	0.58106971	0.31622342	0.31603533	59922	75430	0
59922	76333	0.46606552	0.04308957	0.51215917	0.04314452	0.54970089	0.58183202	0.58167359	0.31600788	0.31581503	0.58196275	0.58180071	0.31631102	0.31592382	59922	76331	0
59922	76336	0.46714048	0.04298000	0.51253174	0.04296141	0.55028845	0.58173917	0.58160021	0.31607296	0.31582793	0.58177425	0.58154171	0.31617568	0.31586285	59922	76335	0
59922	76340	0.46631529	0.04298973	0.51283106	0.04295837	0.55042273	0.58176464	0.58153793	0.31601898	0.31582259	0.58171254	0.58162487	0.31609704	0.31583878	59922	76338	0
59922	76343	0.46371079	0.04304758	0.51324166	0.04297646	0.55031244	0.58162503	0.58154615	0.31607206	0.31584354	0.58172577	0.58155149	0.31610961	0.31576375	59922	76341	0
59922	76346	0.46119967	0.04310964	0.51277486	0.04308266	0.54934341	0.58182734	0.58162782	0.31600139	0.31574058	0.58177557	0.58152363	0.31601660	0.31577041	59922	76344	0
59922	77248	0.46832768	0.04325772	0.51221539	0.04331876	0.55020955	0.58236005	0.58215479	0.31617182	0.31583253	0.58233581	0.58233590	0.31615259	0.31598134	59922	77246	0
59922	77251	0.46604998	0.04315275	0.51320612	0.04311279	0.55074473	0.58228322	0.58239859	0.31616943	0.31595973	0.58239884	0.58230746	0.31629927	0.31600887	59922	77250	0
59922	77254	0.46239975	0.04337969	0.51288627	0.04320325	0.54969484	0.58246655	0.58222061	0.31613394	0.31592958	0.58235701	0.58228733	0.31624585	0.31597822	59922	77253	0
59922	77258	0.46538896	0.04310431	0.51307146	0.04309064	0.55047787	0.58238561	0.58253122	0.31617946	0.31611578	0.58242998	0.58236589	0.31626993	0.31603862	59922	77256	0
59922	77261	0.46519183	0.04318776	0.51285191	0.04303911	0.55021889	0.58227221	0.58219390	0.31618020	0.31589671	0.58238865	0.58222842	0.31618488	0.31597691	59922	77259	0
59922	78163	0.46540676	0.04325697	0.51299456	0.04316638	0.55040453	0.58333412	0.58305260	0.31671349	0.31633641	0.58307659	0.58285432	0.31660675	0.31630543	59922	78161	0
59922	78166	0.45882704	0.04328423	0.51298136	0.04344769	0.54907539	0.58292671	0.58290649	0.31648571	0.31624881	0.58297264	0.58289631	0.31638464	0.31622827	59922	78164	0
59922	78169	0.46817338	0.04320500	0.51233342	0.04330119	0.55029671	0.58315293	0.58305736	0.31656230	0.31635407	0.58305572	0.58291397	0.31646911	0.31625481	59922	78168	0
59922	78173	0.45593238	0.04314330	0.51409028	0.04315170	0.54960537	0.58307470	0.58294068	0.31648415	0.31626755	0.58298661	0.58285859	0.31644496	0.31626114	59922	78171	0
59922	78176	0.46644689	0.04330999	0.51269603	0.04317445	0.55031403	0.58312458	0.58298316	0.31649796	0.31635391	0.58322244	0.58301882	0.31662179	0.31633600	59922	78174	0
59922	79078	0.46706171	0.04296139	0.51277331	0.04287034	0.55051427	0.58533162	0.58511091	0.31888151	0.31857180	0.58533343	0.58521478	0.31877633	0.31859555	59922	79076	0
59922	79081	0.46653855	0.04289921	0.51275960	0.04283678	0.55039593	0.58534715	0.58526712	0.31890566	0.31871092	0.58516440	0.58510853	0.31886195	0.31859473	59922	79079	0
59922	79084	0.46584624	0.04276041	0.51289072	0.04272447	0.55038859	0.58519440	0.58505709	0.31884256	0.31859982	0.58528364	0.58509513	0.31884699	0.31863787	59922	79083	0
59922	79087	0.46181822	0.04275653	0.51339984	0.04288480	0.55009210	0.58522801	0.58494566	0.31883828	0.31855586	0.58523367	0.58506111	0.31890065	0.31864387	59922	79086	0
59922	79091	0.46806778	0.04271496	0.51268217	0.04276511	0.55062435	0.58525529	0.58518708	0.31884395	0.31865816	0.58518963	0.58517862	0.31876737	0.31854962	59922	79089	0
59922	79992	0.46450497	0.04307431	0.51258721	0.04321355	0.54981682	0.58465650	0.58459118	0.31766602	0.31739806	0.58446480	0.58428435	0.31749051	0.31725139	59922	79991	0
59922	79996	0.45978961	0.04318704	0.51323300	0.04300440	0.54951954	0.58457721	0.58435099	0.31751351	0.31727440	0.58454286	0.58443957	0.31753266	0.31728820	59922	79994	0
59922	79999	0.46807751	0.04312987	0.51257941	0.04306955	0.55052353	0.58456784	0.58446250	0.31754375	0.31731926	0.58466382	0.58447425	0.31751746	0.31730488	59922	79997	0
59922	80002	0.46374432	0.04308810	0.51402537	0.04310247	0.55110285	0.58465757	0.58450161	0.31752995	0.31737875	0.58456011	0.58447540	0.31741294	0.31729412	59922	80001	0
59922	80006	0.45670190	0.04323755	0.51401433	0.04313287	0.54968333	0.58452610	0.58445428	0.31749289	0.31733471	0.58455157	0.58447975	0.31752124	0.31729864	59922	80004	0
59922	80907	0.46025390	0.04326900	0.51404414	0.04317498	0.55042354	0.58521814	0.58519473	0.31796620	0.31779791	0.58521987	0.58519834	0.31812939	0.31788362	59922	80906	0
59922	80911	0.45563970	0.04307031	0.51401170	0.04322937	0.54946826	0.58528774	0.58508445	0.31812676	0.31788008	0.58524493	0.58508889	0.31813900	0.31790761	59922	80909	0
59922	80914	0.45963032	0.04321063	0.51379273	0.04307683	0.55004742	0.58529448	0.58517443	0.31817935	0.31792084	0.58530303	0.58504698	0.31814295	0.31784023	59922	80912	0
59922	80917	0.45460187	0.04312345	0.51410793	0.04325227	0.54935692	0.58530862	0.58512357	0.31810359	0.31788189	0.58524871	0.58512094	0.31811838	0.31784310	59922	80915	0
59922	80920	0.46156750	0.04310305	0.51373878	0.04295526	0.55038090	0.58517196	0.58503507	0.31807803	0.31786578	0.58513203	0.58492060	0.31799315	0.31768369	59922	80919	0
59922	81822	0.45883942	0.04322858	0.51368892	0.04303742	0.54978542	0.58498741	0.58494714	0.31794335	0.31772387	0.58507122	0.58479611	0.31799611	0.31772642	59922	81821	0
59922	81825	0.45809708	0.04294413	0.51385242	0.04318327	0.54980045	0.58523532	0.58488929	0.31808641	0.31771516	0.58502471	0.58492323	0.31800884	0.31777466	59922	81824	0
59922	81829	0.46622434	0.04317307	0.51282861	0.04301323	0.55040209	0.58504197	0.58489299	0.31801369	0.31771837	0.58507360	0.58518930	0.31792109	0.31794056	59922	81827	0
59922	81832	0.45739956	0.04299733	0.51464703	0.04302145	0.55045556	0.58511633	0.58485897	0.31797335	0.31772223	0.58497508	0.58482504	0.31788296	0.31772667	59922	81830	0
59922	81835	0.46457052	0.04310195	0.51284413	0.04304387	0.55008685	0.58490844	0.58489537	0.31797885	0.31768640	0.58492923	0.58475979	0.31794689	0.31767835	59922	81834	0
59922	82737	0.46279670	0.04290533	0.51261862	0.04291819	0.54950658	0.58481764	0.58469751	0.31794516	0.31776800	0.58480375	0.58471690	0.31793974	0.31783341	59922	82735	0
59922	82740	0.46420974	0.04293004	0.51291287	0.04277077	0.55008343	0.58493638	0.58481066	0.31805996	0.31789709	0.58493498	0.58479759	0.31808872	0.31789989	59922	82739	0
59922	82744	0.46539810	0.04279030	0.51289689	0.04277797	0.55030513	0.58485848	0.58472290	0.31808148	0.31779331	0.58482011	0.58483942	0.31813851	0.31800474	59922	82742	0
59922	82747	0.46457630	0.04292150	0.51315088	0.04295597	0.55039475	0.58505906	0.58499078	0.31817146	0.31804245	0.58511247	0.58491403	0.31825988	0.31795395	59922	82745	0
59922	82750	0.45972882	0.04289886	0.51420485	0.04283843	0.55047923	0.58504222	0.58487845	0.31823736	0.31798419	0.58502241	0.58492068	0.31822233	0.31800506	59922	82748	0
59922	83652	0.45628037	0.04296292	0.51433951	0.04288698	0.54992420	0.58517952	0.58494575	0.31800350	0.31775124	0.58521469	0.58500721	0.31802520	0.31783061	59922	83650	0
59922	83655	0.45772960	0.04295248	0.51459005	0.04292514	0.55046459	0.58516703	0.58505438	0.31792602	0.31774721	0.58523655	0.58496308	0.31802429	0.31773677	59922	83654	0
59922	83658	0.45936017	0.04299669	0.51408523	0.04299092	0.55028588	0.58514320	0.58494188	0.31790613	0.31770251	0.58507895	0.58499760	0.31793653	0.31776652	59922	83657	0
59922	83662	0.45793675	0.04304955	0.51405003	0.04300227	0.54996600	0.58513638	0.58508256	0.31794574	0.31777531	0.58517122	0.58494229	0.31794344	0.31779117	59922	83660	0
59922	83665	0.45972120	0.04297988	0.51405973	0.04289856	0.55033259	0.58514131	0.58499053	0.31800515	0.31771525	0.58499028	0.58485708	0.31794648	0.31765986	59922	83663	0
59922	84567	0.45466927	0.04266358	0.51496654	0.04268388	0.55022902	0.58488288	0.58488404	0.31789906	0.31773891	0.58492718	0.58473366	0.31787786	0.31763447	59922	84565	0
59922	84570	0.45304630	0.04279426	0.51467333	0.04282198	0.54961121	0.58483572	0.58471336	0.31785748	0.31773143	0.58474549	0.58469101	0.31793054	0.31769166	59922	84568	0
59922	84573	0.45610298	0.04280854	0.51352982	0.04268079	0.54907904	0.58490450	0.58474788	0.31795839	0.31774154	0.58488699	0.58467926	0.31799159	0.31772987	59922	84572	0
59922	84577	0.45340435	0.04268155	0.51450562	0.04270279	0.54951511	0.58486366	0.58467680	0.31790876	0.31763891	0.58503408	0.58472865	0.31810540	0.31774926	59922	84575	0
