% File initiated 09/12/2022 20:13:06 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 1550 1600 1940 1980 2300  microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 negative gradient on last no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59922.842433
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59922	72789	-0.00006072	0.04135068	0.48084049	0.04141938	0.48102265	0.57819157	0.57811187	0.31615736	0.31613270	0.57805640	0.57813553	0.31632507	0.31610509	59922	72787	0
59922	72792	0.00014794	0.04154761	0.48131570	0.04176151	0.48068971	0.57809938	0.57814161	0.31658769	0.31611315	0.57828928	0.57817366	0.31611619	0.31594535	59922	72790	0
59922	72795	0.00028852	0.04176507	0.48146406	0.04178149	0.48104233	0.57814087	0.57799412	0.31597198	0.31587534	0.57788861	0.57789009	0.31620723	0.31581610	59922	72793	0
59922	72798	-0.00009097	0.04207939	0.48215066	0.04212645	0.48328915	0.57783906	0.57790233	0.31607732	0.31582965	0.57765992	0.57771292	0.31596516	0.31562201	59922	72797	0
59922	72802	0.00062846	0.04200027	0.48099055	0.04209283	0.47883224	0.57778392	0.57764308	0.31568487	0.31560278	0.57767661	0.57761859	0.31571166	0.31558569	59922	72800	0
59922	73703	0.00021819	0.04252125	0.48151743	0.04256247	0.48274825	0.57827169	0.57822987	0.31531764	0.31496784	0.57824556	0.57846233	0.31536465	0.31504442	59922	73702	0
59922	73707	0.00081834	0.04244768	0.48245621	0.04244443	0.48065577	0.57847096	0.57843225	0.31521189	0.31508345	0.57844869	0.57838681	0.31515757	0.31504935	59922	73705	0
59922	73710	-0.00007712	0.04250000	0.47923515	0.04261805	0.48192150	0.57832954	0.57844885	0.31547829	0.31510983	0.57856825	0.57850185	0.31529077	0.31527138	59922	73708	0
59922	73713	0.00056665	0.04236136	0.48276070	0.04254581	0.48082941	0.57808163	0.57819987	0.31529053	0.31499939	0.57844655	0.57833085	0.31521526	0.31510408	59922	73711	0
59922	73716	0.00005736	0.04246940	0.47998681	0.04248392	0.48151469	0.57844910	0.57839503	0.31535758	0.31511213	0.57842297	0.57833694	0.31517442	0.31513802	59922	73715	0
59922	74618	0.00043551	0.04289273	0.48081300	0.04285296	0.47967854	0.57970312	0.57985021	0.31570894	0.31535750	0.57980066	0.57978537	0.31565167	0.31550105	59922	74617	0
