% File initiated 09/12/2022 20:13:06 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 1550 1600 1940 1980 2300  microwave leakage pio2 FSK 3pio2 FSK 7pio2 FSK 7pio2 7pio2 9pio2 9pio2 11pio2 negative gradient on last no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59922.842433
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59922	72805	0.00065407	0.00591822	0.47913637	0.00594327	0.47717418	0.57815106	0.57742943	0.31554953	0.31557147	0.57810242	0.57727462	0.31545676	0.31547270	59922	72803	0
59922	72808	0.00073313	0.00594189	0.47788939	0.00592574	0.47765221	0.57807793	0.57727018	0.31536317	0.31537870	0.57811491	0.57738629	0.31535405	0.31546473	59922	72806	0
59922	72811	0.00082882	0.00592579	0.47840951	0.00604334	0.47812243	0.57822165	0.57729648	0.31547739	0.31538585	0.57801762	0.57720683	0.31528412	0.31526629	59922	72810	0
59922	72815	0.00062920	0.00594627	0.47665727	0.00592631	0.47725612	0.57786585	0.57719894	0.31522076	0.31529874	0.57785623	0.57728432	0.31520819	0.31532027	59922	72813	0
59922	72818	0.00005773	0.00592565	0.47682203	0.00593802	0.47853646	0.57797809	0.57723255	0.31523859	0.31523021	0.57786782	0.57710880	0.31519381	0.31521550	59922	72816	0
59922	72821	0.00057326	0.00593605	0.47842634	0.00596937	0.47687975	0.57782230	0.57714389	0.31521066	0.31518576	0.57788360	0.57718662	0.31520441	0.31527335	59922	72820	0
59922	72824	0.00066993	0.00597565	0.47786497	0.00595296	0.47757493	0.57788129	0.57706632	0.31510277	0.31521978	0.57784530	0.57705079	0.31516045	0.31520063	59922	72823	0
59922	72828	-0.00023888	0.00594689	0.47754181	0.00592547	0.48026824	0.57804251	0.57706311	0.31527376	0.31514780	0.57784111	0.57709023	0.31512635	0.31516571	59922	72826	0
59922	72831	-0.00011394	0.00593065	0.47659440	0.00592791	0.47621958	0.57787456	0.57721069	0.31518009	0.31525051	0.57783585	0.57706229	0.31512955	0.31509915	59922	72829	0
59922	72834	0.00133785	0.00592248	0.48064679	0.00592356	0.47629144	0.57781457	0.57719976	0.31519652	0.31516259	0.57789896	0.57711521	0.31505675	0.31517992	59922	72833	0
59922	72837	-0.00050910	0.00593771	0.47337646	0.00595541	0.47891729	0.57783955	0.57706656	0.31509668	0.31510655	0.57774218	0.57708670	0.31508107	0.31513867	59922	72836	0
59922	72841	-0.00023932	0.00595768	0.47779380	0.00593762	0.47698448	0.57778285	0.57710699	0.31515190	0.31517047	0.57810850	0.57707388	0.31529883	0.31513941	59922	72839	0
59922	72844	0.00040121	0.00594899	0.47747819	0.00591639	0.47555660	0.57784465	0.57707618	0.31512076	0.31508296	0.57793947	0.57708587	0.31514599	0.31514089	59922	72842	0
59922	72847	0.00012922	0.00596779	0.47820923	0.00592038	0.47902519	0.57776568	0.57724331	0.31513366	0.31513695	0.57786174	0.57716303	0.31518584	0.31508674	59922	72846	0
59922	72851	0.00069962	0.00595304	0.47856741	0.00591579	0.47685620	0.57785903	0.57702260	0.31507105	0.31513202	0.57765623	0.57703024	0.31499159	0.31509792	59922	72849	0
59922	72854	0.00041605	0.00591347	0.47601005	0.00594878	0.47686077	0.57778441	0.57712244	0.31502404	0.31507072	0.57781309	0.57698291	0.31510153	0.31507902	59922	72852	0
59922	72857	0.00037846	0.00591981	0.47753152	0.00595481	0.47764428	0.57774974	0.57692383	0.31501731	0.31501911	0.57784054	0.57716854	0.31509118	0.31516604	59922	72855	0
59922	72860	0.00116245	0.00597731	0.47829452	0.00593254	0.47594256	0.57787324	0.57719245	0.31510523	0.31518091	0.57781474	0.57710453	0.31506447	0.31504229	59922	72859	0
59922	72864	0.00145910	0.00596013	0.47672118	0.00595335	0.47583122	0.57783750	0.57707478	0.31513415	0.31510983	0.57786355	0.57707495	0.31515042	0.31510071	59922	72862	0
59922	72867	-0.00008129	0.00597335	0.47602438	0.00596609	0.48064554	0.57778803	0.57707881	0.31507064	0.31517039	0.57785286	0.57710280	0.31512429	0.31510120	59922	72865	0
59922	72870	0.00083589	0.00594873	0.47757336	0.00594758	0.47482183	0.57780701	0.57704553	0.31504212	0.31510219	0.57777151	0.57710379	0.31515166	0.31519619	59922	72869	0
59922	72873	0.00094764	0.00593722	0.47699537	0.00590312	0.47666010	0.57787793	0.57708538	0.31510186	0.31513941	0.57779559	0.57708604	0.31516185	0.31517401	59922	72872	0
59922	72877	0.00000862	0.00591361	0.47508100	0.00594162	0.47789808	0.57780479	0.57715629	0.31519447	0.31523621	0.57784571	0.57712417	0.31513892	0.31519997	59922	72875	0
59922	72880	0.00083177	0.00589444	0.47752516	0.00593152	0.47505569	0.57797694	0.57727339	0.31527615	0.31530721	0.57791761	0.57703287	0.31528642	0.31516686	59922	72878	0
59922	72883	0.00013638	0.00594573	0.47645723	0.00593665	0.47854341	0.57792337	0.57705892	0.31515125	0.31513399	0.57807136	0.57725523	0.31523531	0.31524525	59922	72882	0
59922	72886	0.00131293	0.00594622	0.48025530	0.00592391	0.47672564	0.57806380	0.57720141	0.31539513	0.31525108	0.57797809	0.57726895	0.31521386	0.31524739	59922	72885	0
59922	72890	0.00072189	0.00591671	0.47823054	0.00591881	0.48000366	0.57803898	0.57725646	0.31527442	0.31529086	0.57799765	0.57746715	0.31532685	0.31539825	59922	72888	0
59922	72893	-0.00007783	0.00592722	0.47673641	0.00592808	0.47913557	0.57797423	0.57729352	0.31533605	0.31534772	0.57804736	0.57738785	0.31531312	0.31543038	59922	72891	0
59922	72896	0.00141912	0.00590303	0.47920406	0.00596596	0.47471321	0.57814063	0.57743477	0.31537451	0.31545479	0.57820382	0.57732409	0.31550376	0.31546227	59922	72895	0
59922	72900	0.00159746	0.00591501	0.47797033	0.00590622	0.47743531	0.57821877	0.57734858	0.31550524	0.31545380	0.57827301	0.57736189	0.31556309	0.31546884	59922	72898	0
59922	73720	0.00065068	0.00598667	0.47467139	0.00598140	0.47751175	0.57883440	0.57814507	0.31508748	0.31511460	0.57890343	0.57822280	0.31515881	0.31514771	59922	73718	0
59922	73723	0.00086357	0.00604021	0.47767765	0.00599015	0.47703897	0.57889882	0.57815345	0.31516908	0.31517656	0.57897040	0.57823299	0.31520211	0.31527319	59922	73721	0
59922	73726	0.00065572	0.00595364	0.47755871	0.00601917	0.47818227	0.57905166	0.57834055	0.31514952	0.31522898	0.57908461	0.57836570	0.31527319	0.31530606	59922	73725	0
59922	73729	0.00012126	0.00602007	0.47700678	0.00596494	0.47861016	0.57914682	0.57832617	0.31526752	0.31533967	0.57922891	0.57836800	0.31529209	0.31534221	59922	73728	0
59922	73733	0.00116872	0.00598112	0.47928352	0.00599267	0.47614114	0.57918273	0.57843916	0.31534419	0.31540466	0.57918708	0.57835608	0.31530351	0.31526103	59922	73731	0
59922	73736	0.00042291	0.00603431	0.47769887	0.00600100	0.47993630	0.57914731	0.57840193	0.31527598	0.31532019	0.57916112	0.57840095	0.31525766	0.31531682	59922	73734	0
59922	73739	0.00079491	0.00598775	0.47683077	0.00595966	0.47571476	0.57913482	0.57861591	0.31533868	0.31541551	0.57919514	0.57844138	0.31530663	0.31535799	59922	73738	0
59922	73743	0.00141572	0.00599506	0.47709916	0.00602201	0.47523675	0.57926194	0.57854713	0.31534271	0.31537393	0.57935134	0.57858099	0.31547796	0.31549941	59922	73741	0
59922	73746	0.00001270	0.00600590	0.47597235	0.00601386	0.48018140	0.57943195	0.57853382	0.31544320	0.31542636	0.57913375	0.57838229	0.31530565	0.31534402	59922	73744	0
59922	73749	0.00033168	0.00600802	0.47799899	0.00599425	0.47704207	0.57931461	0.57848164	0.31532356	0.31538198	0.57912932	0.57840555	0.31528083	0.31532759	59922	73747	0
59922	73752	0.00080551	0.00599404	0.47904412	0.00598562	0.47762260	0.57924247	0.57852133	0.31535248	0.31539891	0.57934674	0.57854031	0.31551140	0.31549382	59922	73751	0
59922	73756	0.00040604	0.00599580	0.47622105	0.00599655	0.47741948	0.57924164	0.57849520	0.31539357	0.31533835	0.57928791	0.57866743	0.31543909	0.31550582	59922	73754	0
59922	73759	0.00026980	0.00600843	0.47765533	0.00603212	0.47806403	0.57938618	0.57858099	0.31542389	0.31548125	0.57939292	0.57865593	0.31545873	0.31549859	59922	73757	0
59922	73762	0.00062082	0.00601676	0.47824048	0.00599296	0.47718741	0.57936696	0.57871780	0.31543548	0.31545413	0.57930418	0.57861057	0.31550697	0.31549300	59922	73760	0
59922	73765	0.00107565	0.00600861	0.47761470	0.00600870	0.47625021	0.57942998	0.57861862	0.31546268	0.31547771	0.57946334	0.57858329	0.31546695	0.31552209	59922	73764	0
59922	73769	0.00056527	0.00599334	0.47748470	0.00601541	0.47901585	0.57937854	0.57865494	0.31544674	0.31546991	0.57932735	0.57878584	0.31548322	0.31562365	59922	73767	0
59922	73772	0.00112387	0.00598833	0.47932055	0.00604154	0.47764476	0.57937854	0.57858822	0.31544107	0.31542775	0.57958068	0.57871295	0.31566507	0.31557336	59922	73770	0
59922	73775	0.00135044	0.00600357	0.47856195	0.00602824	0.47788224	0.57955053	0.57873358	0.31549423	0.31554863	0.57969457	0.57891797	0.31565027	0.31567361	59922	73774	0
59922	73778	-0.00074421	0.00603099	0.47449972	0.00601436	0.48078365	0.57957608	0.57873177	0.31553080	0.31554567	0.57950566	0.57864919	0.31554698	0.31553893	59922	73777	0
59922	73782	0.00078257	0.00601793	0.47982098	0.00602508	0.47524064	0.57950459	0.57876793	0.31557829	0.31564206	0.57936424	0.57857310	0.31546095	0.31550072	59922	73780	0
59922	73785	-0.00100257	0.00602560	0.47553214	0.00605970	0.48088758	0.57941642	0.57869512	0.31550228	0.31552570	0.57958849	0.57890655	0.31556391	0.31565783	59922	73783	0
59922	73788	0.00108502	0.00607131	0.48053706	0.00605576	0.47427428	0.57957748	0.57879792	0.31567435	0.31560401	0.57976294	0.57881567	0.31570204	0.31559210	59922	73787	0
59922	73791	0.00077077	0.00607556	0.47672798	0.00603024	0.47767072	0.57966918	0.57883194	0.31569687	0.31566235	0.57942119	0.57857416	0.31567460	0.31552628	59922	73790	0
59922	73795	0.00040572	0.00601654	0.47700476	0.00601499	0.47809992	0.57921272	0.57857951	0.31549563	0.31555832	0.57953302	0.57863924	0.31568150	0.31559941	59922	73793	0
59922	73798	0.00033399	0.00606449	0.47774533	0.00600797	0.47796053	0.57945800	0.57880318	0.31557690	0.31562636	0.57946063	0.57859331	0.31563721	0.31562127	59922	73796	0
59922	73801	0.00126327	0.00598399	0.47825916	0.00600288	0.47547132	0.57953270	0.57881674	0.31565940	0.31573705	0.57950574	0.57884180	0.31557155	0.31566309	59922	73800	0
59922	73805	0.00118404	0.00600417	0.47760825	0.00601302	0.47784592	0.57949679	0.57870309	0.31555093	0.31566926	0.57947690	0.57886587	0.31559358	0.31560311	59922	73803	0
59922	73808	0.00132288	0.00600177	0.47518774	0.00603916	0.47477124	0.57949523	0.57881033	0.31563244	0.31556564	0.57953911	0.57873875	0.31565611	0.31560902	59922	73806	0
59922	73811	0.00092667	0.00603089	0.47811949	0.00602039	0.47930809	0.57940878	0.57868616	0.31554649	0.31556720	0.57941798	0.57860777	0.31549144	0.31551124	59922	73809	0
59922	73814	-0.00017394	0.00602421	0.47603665	0.00603895	0.47933848	0.57932718	0.57877146	0.31548445	0.31561050	0.57946449	0.57863826	0.31542118	0.31545273	59922	73813	0
59922	74634	0.00119026	0.00599712	0.48115621	0.00600769	0.47706362	0.58038268	0.57965472	0.31543153	0.31538461	0.58044907	0.57969712	0.31541337	0.31546374	59922	74633	0
59922	74638	0.00011919	0.00600322	0.47595531	0.00602676	0.47916853	0.58046181	0.57972481	0.31542488	0.31545520	0.58038818	0.57970033	0.31536925	0.31545397	59922	74636	0
59922	74641	0.00084792	0.00601888	0.47812336	0.00601918	0.47593716	0.58046723	0.57971832	0.31544698	0.31545306	0.58048728	0.57990239	0.31549144	0.31555339	59922	74639	0
59922	74644	0.00042859	0.00602046	0.47737675	0.00601741	0.47863474	0.58047759	0.57982786	0.31545076	0.31546465	0.58057611	0.57972991	0.31544509	0.31551042	59922	74643	0
59922	74648	-0.00010400	0.00601822	0.47666628	0.00604015	0.47826405	0.58041801	0.57966425	0.31538108	0.31542652	0.58053239	0.57979647	0.31537541	0.31540286	59922	74646	0
59922	74651	0.00071374	0.00603487	0.47847703	0.00602880	0.47602381	0.58046904	0.57970632	0.31543482	0.31538018	0.58046370	0.57974979	0.31543614	0.31548478	59922	74649	0
59922	74654	-0.00066194	0.00605609	0.47637230	0.00602696	0.48049937	0.58046912	0.57972087	0.31542849	0.31542323	0.58043576	0.57970517	0.31539521	0.31539595	59922	74652	0
59922	74657	0.00022929	0.00603683	0.47840673	0.00601954	0.47573301	0.58039747	0.57971043	0.31545988	0.31549078	0.58052163	0.57986130	0.31549341	0.31568676	59922	74656	0
59922	74661	0.00079560	0.00598989	0.47808223	0.00600512	0.47638330	0.58051021	0.57983106	0.31551124	0.31554551	0.58061177	0.57966138	0.31555619	0.31542438	59922	74659	0
59922	74664	0.00048531	0.00607602	0.47893223	0.00603322	0.47986312	0.58055557	0.57974388	0.31549678	0.31549883	0.58052590	0.57977025	0.31540606	0.31547788	59922	74662	0
59922	74667	0.00037144	0.00604672	0.47597367	0.00601716	0.47631529	0.58058564	0.58004175	0.31548700	0.31565323	0.58047372	0.57971561	0.31536949	0.31539472	59922	74665	0
