% File initiated 12/12/2022 11:58:01 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 2300 uwave leak  no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59925.498629
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59925	43113	0.00051038	0.00589355	0.48088557	0.00582327	0.48037519	0.61883896	0.61840756	0.31553425	0.31564321	0.61878423	0.61816400	0.31556391	0.31550491	59925	43112	0
59925	43617	0.00116268	0.00591589	0.47952429	0.00587263	0.47887200	0.61925507	0.61862934	0.31620551	0.31619113	0.61911694	0.61850838	0.31614552	0.31607535	59925	43615	0
59925	44120	0.00050324	0.00587998	0.47984786	0.00586670	0.48050730	0.61904578	0.61834938	0.31580919	0.31576655	0.61897988	0.61839334	0.31575817	0.31575176	59925	44119	0
59925	44624	0.00096951	0.00586687	0.48003951	0.00585250	0.47957324	0.61964547	0.61902220	0.31656090	0.31650839	0.61966725	0.61913272	0.31650856	0.31651949	59925	44622	0
59925	45127	0.00216744	0.00578397	0.48201684	0.00583066	0.48081890	0.61967390	0.61902721	0.31622704	0.31623591	0.61970562	0.61908983	0.31620025	0.31621471	59925	45126	0
59925	45631	0.00096074	0.00585724	0.48147359	0.00582733	0.48268028	0.61993652	0.61946954	0.31612005	0.31610723	0.62001204	0.61939633	0.31617280	0.31607798	59925	45629	0
59925	46135	0.00107837	0.00580814	0.48171055	0.00582486	0.48159292	0.61938302	0.61872252	0.31548067	0.31549177	0.61927849	0.61862548	0.31537023	0.31539423	59925	46133	0
59925	46638	0.00264962	0.00578796	0.48231601	0.00580198	0.48074477	0.62002798	0.61913083	0.31613558	0.31584831	0.61969387	0.61923182	0.31591248	0.31599367	59925	46637	0
59925	47142	0.00337676	0.00586638	0.48150497	0.00589566	0.48077783	0.61861619	0.61792899	0.31464310	0.31466717	0.61857510	0.61798865	0.31466167	0.31459757	59925	47140	0
59925	47645	0.00310173	0.00585791	0.48076507	0.00587051	0.48104010	0.61819473	0.61749233	0.31450119	0.31445895	0.61809415	0.61751945	0.31449683	0.31447892	59925	47644	0
