% File initiated 12/12/2022 11:58:01 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 2300 uwave leak  no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59925.498629
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59925	43110	-0.00060141	0.04142668	0.48967880	0.04161084	0.49028021	0.61831561	0.61838710	0.31563096	0.31555109	0.61830575	0.61825579	0.31578191	0.31549998	59925	43108	0
59925	43614	0.00077131	0.04153526	0.49041395	0.04169865	0.48904123	0.61859811	0.61860682	0.31635621	0.31607543	0.61879483	0.61866903	0.31633550	0.31611249	59925	43612	0
59925	44117	-0.00046512	0.04159687	0.48970395	0.04164806	0.49094038	0.61859548	0.61862408	0.31589301	0.31581306	0.61845398	0.61828298	0.31589367	0.31566038	59925	44115	0
59925	44621	-0.00009069	0.04138104	0.48982222	0.04146123	0.48944778	0.61910002	0.61911620	0.31674587	0.31652055	0.61935631	0.61915984	0.31678917	0.31658662	59925	44619	0
59925	45124	-0.00061713	0.04112073	0.49162736	0.04114089	0.49215380	0.61924078	0.61924908	0.31632737	0.31626574	0.61914151	0.61906049	0.31635506	0.31615045	59925	45123	0
59925	45628	0.00020989	0.04135466	0.49166606	0.04140346	0.49083903	0.61951687	0.61951219	0.31633690	0.31601832	0.61956100	0.61949953	0.31619926	0.31603821	59925	45626	0
59925	46131	0.00037844	0.04113130	0.49172085	0.04115070	0.49155230	0.61882261	0.61882425	0.31583557	0.31551502	0.61879237	0.61878982	0.31571240	0.31546851	59925	46130	0
59925	46635	0.00041902	0.04121773	0.49110321	0.04111776	0.49106263	0.61926132	0.61918169	0.31603155	0.31579005	0.61931095	0.61928457	0.31610583	0.31584765	59925	46633	0
59925	47138	-0.00068077	0.04147341	0.49066491	0.04159696	0.49176470	0.61795282	0.61795339	0.31486389	0.31457128	0.61805069	0.61800130	0.31489150	0.31456446	59925	47137	0
59925	47642	-0.00092290	0.04127778	0.49085987	0.04122228	0.49110200	0.61772274	0.61771929	0.31463537	0.31446109	0.61778092	0.61757475	0.31478295	0.31455904	59925	47640	0
59925	48146	-0.00072117	0.04157402	0.49220534	0.04154582	0.49200361	0.61774879	0.61779398	0.31471089	0.31448040	0.61760589	0.61759833	0.31461853	0.31436741	59925	48144	0
