% File initiated 12/12/2022 11:58:01 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 2300 uwave leak  no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59925.498629
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59925	43084	0.00030779	0.04130772	0.51332194	0.04142020	0.51239858	0.61820788	0.61815554	0.31519003	0.31512298	0.61811190	0.61819695	0.31557040	0.31510268	59925	43082	0
59925	43587	0.00121015	0.04156929	0.51440814	0.04146727	0.51170106	0.61868365	0.61875539	0.31615497	0.31594050	0.61852868	0.61874528	0.31637306	0.31594954	59925	43586	0
59925	44091	0.00079371	0.04161629	0.51322067	0.04153077	0.51446998	0.61898136	0.61892787	0.31632638	0.31622342	0.61870444	0.61886410	0.31666287	0.31625407	59925	44089	0
59925	44594	0.00099672	0.04136826	0.51351955	0.04123804	0.51291054	0.61911588	0.61903855	0.31666057	0.31648637	0.61907183	0.61927389	0.31691539	0.31658177	59925	44593	0
59925	45098	0.00001025	0.04109037	0.51100472	0.04099069	0.51396410	0.61897668	0.61898424	0.31664570	0.31621036	0.61905384	0.61903411	0.31642260	0.31622531	59925	45096	0
59925	45602	0.00043181	0.04108578	0.51525950	0.04105959	0.51399482	0.61940709	0.61945294	0.31620986	0.31610682	0.61939518	0.61941408	0.31655605	0.31608718	59925	45600	0
59925	46105	0.00079330	0.04104045	0.51316359	0.04084398	0.51207911	0.61905934	0.61872121	0.31588118	0.31561198	0.61846656	0.61864158	0.31597551	0.31552488	59925	46103	0
59925	46609	0.00066702	0.04099645	0.51391688	0.04091207	0.51429574	0.61917027	0.61915343	0.31592522	0.31578832	0.61896895	0.61929641	0.31615473	0.31590632	59925	46607	0
59925	47112	0.00101736	0.04159679	0.51593767	0.04150128	0.51488663	0.61863772	0.61867585	0.31496850	0.31492807	0.61862531	0.61862112	0.31519406	0.31492182	59925	47111	0
59925	47616	0.00108278	0.04149919	0.51301178	0.04136214	0.51281554	0.61771091	0.61773704	0.31442148	0.31432657	0.61773761	0.61774304	0.31448508	0.31445114	59925	47614	0
59925	48119	0.00035464	0.04137562	0.51141847	0.04143727	0.51360289	0.61758979	0.61779842	0.31455024	0.31427727	0.61769299	0.61777262	0.31471664	0.31434062	59925	48118	0
59925	48623	0.00060605	0.04146585	0.51495107	0.04156996	0.51419684	0.61811273	0.61837288	0.31518748	0.31486110	0.61835768	0.61831035	0.31498403	0.31483743	59925	48621	0
59925	49126	-0.00026676	0.04120528	0.51216875	0.04134621	0.51478717	0.61968483	0.61972567	0.31620986	0.31571568	0.61970431	0.61964769	0.31605965	0.31576737	59925	49125	0
59925	49630	-0.00003491	0.04126980	0.51366187	0.04087773	0.51296632	0.62024261	0.62031427	0.31610805	0.31590722	0.62015584	0.62008131	0.31594930	0.31578923	59925	49628	0
59925	50133	0.00065066	0.04130086	0.51512743	0.04131693	0.51307073	0.61981976	0.61985912	0.31658884	0.31626032	0.62007975	0.61993406	0.31678367	0.31631562	59925	50132	0
59925	50637	0.00056729	0.04147079	0.51382265	0.04130526	0.51407276	0.61981729	0.62007901	0.31692418	0.31651168	0.62009117	0.62007967	0.31667331	0.31659443	59925	50635	0
59925	51141	0.00013967	0.04106286	0.51427423	0.04098872	0.51555709	0.62169598	0.62181611	0.31579342	0.31551412	0.62188473	0.62180379	0.31576351	0.31553449	59925	51139	0
