% File initiated 12/12/2022 11:58:01 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 2300 uwave leak  no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59925.498629
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59925	43087	0.00026507	0.00588748	0.50982802	0.00589107	0.50903282	0.61883830	0.61806145	0.31530228	0.31511665	0.61856220	0.61822801	0.31521567	0.31531592	59925	43085	0
59925	43591	0.00001732	0.00589144	0.51016900	0.00589379	0.51091223	0.61914069	0.61861257	0.31606853	0.31592711	0.61914447	0.61854618	0.31604651	0.31597222	59925	43589	0
59925	44094	-0.00011231	0.00589482	0.50956348	0.00587848	0.50995238	0.61926937	0.61864840	0.31621446	0.31606105	0.61932771	0.61863304	0.31612128	0.31603163	59925	44093	0
59925	44598	0.00066627	0.00584906	0.51050230	0.00586295	0.50816655	0.61963413	0.61888275	0.31663765	0.31646336	0.61969773	0.61894422	0.31665860	0.31660429	59925	44596	0
59925	45101	0.00181832	0.00578924	0.51047483	0.00583205	0.50701868	0.61951564	0.61882655	0.31626467	0.31612975	0.61956248	0.61890839	0.31626278	0.31611331	59925	45100	0
59925	45605	0.00050628	0.00580787	0.50849244	0.00586312	0.51242856	0.61999478	0.61924562	0.31623854	0.31607132	0.61994794	0.61930799	0.31623353	0.31611315	59925	45603	0
59925	46108	0.00046359	0.00577500	0.51068677	0.00577788	0.51081486	0.61925269	0.61875679	0.31564189	0.31558988	0.61934234	0.61870190	0.31558437	0.31555874	59925	46107	0
59925	46612	0.00117308	0.00577445	0.51176189	0.00580204	0.50963341	0.61945401	0.61890050	0.31577937	0.31570484	0.61957037	0.61895449	0.31586532	0.31581256	59925	46610	0
59925	47115	0.00056721	0.00586254	0.50988974	0.00586844	0.51170736	0.61903198	0.61837493	0.31492018	0.31483143	0.61913461	0.61832736	0.31497778	0.31479643	59925	47114	0
59925	47619	-0.00010380	0.00586974	0.50680170	0.00583491	0.50881473	0.61812743	0.61756226	0.31457161	0.31448459	0.61822333	0.61760285	0.31450308	0.31450653	59925	47617	0
59925	48123	0.00006667	0.00588461	0.50949490	0.00586453	0.50898347	0.61818315	0.61765117	0.31440266	0.31443266	0.61826992	0.61763399	0.31450028	0.31441302	59925	48121	0
59925	48626	0.00027936	0.00590937	0.51017902	0.00589978	0.50954096	0.61880223	0.61816992	0.31494401	0.31484014	0.61884290	0.61818610	0.31499734	0.31487893	59925	48624	0
59925	49130	0.00056555	0.00587838	0.51219584	0.00584548	0.51133725	0.62008599	0.61946215	0.31588035	0.31569687	0.62020457	0.61947628	0.31584773	0.31580755	59925	49128	0
59925	49633	0.00041418	0.00579791	0.51164287	0.00580863	0.51209699	0.62064353	0.62003307	0.31599326	0.31594018	0.62079020	0.62007613	0.31604683	0.31590468	59925	49632	0
59925	50137	0.00143354	0.00582370	0.51126903	0.00584727	0.50821094	0.62055659	0.61990661	0.31652261	0.31636632	0.62051115	0.61981803	0.31643772	0.31631841	59925	50135	0
59925	50640	0.00068177	0.00586526	0.50967164	0.00591375	0.51192696	0.62070203	0.61991376	0.31677118	0.31653263	0.62058847	0.61991335	0.31666920	0.31660494	59925	50639	0
59925	51144	0.00046039	0.00577438	0.51070727	0.00574655	0.51137142	0.62218161	0.62164947	0.31563647	0.31553967	0.62221933	0.62156993	0.31569613	0.31555528	59925	51142	0
59925	51647	0.00016965	0.00576137	0.51192123	0.00577336	0.51279344	0.62134116	0.62063169	0.31493489	0.31470842	0.62121281	0.62075446	0.31484179	0.31482568	59925	51646	0
59925	52151	-0.00011525	0.00579371	0.51133814	0.00579733	0.51219285	0.62058987	0.61993858	0.31516193	0.31501854	0.62073901	0.62007120	0.31513933	0.31504640	59925	52149	0
59925	52654	-0.00004370	0.00582804	0.51270555	0.00579596	0.51249090	0.62276363	0.62214365	0.31583056	0.31566622	0.62276881	0.62217635	0.31587468	0.31574740	59925	52653	0
59925	53158	0.00045859	0.00582792	0.51507482	0.00584617	0.51356794	0.62273948	0.62208309	0.31557985	0.31547262	0.62266495	0.62207159	0.31555249	0.31545569	59925	53156	0
59925	53662	-0.00127159	0.00579182	0.51115826	0.00578853	0.51634882	0.62112275	0.62058091	0.31554805	0.31546473	0.62156837	0.62052832	0.31583228	0.31550779	59925	53660	0
59925	54165	0.00045171	0.00581944	0.51982902	0.00578232	0.51465909	0.62433254	0.62372381	0.31523169	0.31519110	0.62438324	0.62366588	0.31536374	0.31514615	59925	54163	0
59925	54669	0.00075387	0.00578559	0.51451758	0.00579286	0.51361111	0.62240167	0.62173583	0.31517253	0.31499233	0.62248327	0.62181102	0.31516620	0.31505354	59925	54667	0
59925	55172	0.00106798	0.00577580	0.51399134	0.00577439	0.51304901	0.62296783	0.62228038	0.31572078	0.31555947	0.62279223	0.62221777	0.31567542	0.31556095	59925	55171	0
59925	55676	0.00185905	0.00576994	0.51511550	0.00577834	0.51274230	0.62334524	0.62268565	0.31524254	0.31512142	0.62326965	0.62260348	0.31522380	0.31512972	59925	55674	0
59925	56179	0.00049877	0.00576612	0.51117978	0.00580532	0.51526063	0.62326546	0.62273718	0.31526900	0.31517631	0.62338288	0.62258918	0.31527138	0.31505650	59925	56178	0
59925	56683	0.00101951	0.00577259	0.51251983	0.00575945	0.51095759	0.62130517	0.62072849	0.31512298	0.31509151	0.62130649	0.62063465	0.31511871	0.31500917	59925	56681	0
59925	57186	0.00057390	0.00576681	0.51111887	0.00576444	0.51245572	0.62120262	0.62069340	0.31527672	0.31524065	0.62119564	0.62057993	0.31529628	0.31511501	59925	57185	0
59925	57690	0.00095038	0.00578387	0.51220105	0.00576590	0.51107160	0.62138332	0.62072496	0.31582160	0.31564156	0.62133903	0.62087418	0.31576926	0.31574617	59925	57688	0
59925	58194	0.00056883	0.00581386	0.51084317	0.00578832	0.51198781	0.62071091	0.62002420	0.31633887	0.31621372	0.62069957	0.62007490	0.31635268	0.31618916	59925	58192	0
59925	58697	0.00059433	0.00581729	0.51211825	0.00579624	0.51204176	0.61997901	0.61942287	0.31610698	0.31605242	0.62008312	0.61934842	0.31611356	0.31602029	59925	58695	0
