% File initiated 13/12/2022 14:09:42 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 and 1550 1600 1940 1980 2300 no FSK uwave leakage no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59926.590076
%% clock_data = False
%% sequence = 12
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59926	51573	0.00305028	0.00599723	0.53677976	0.00599776	0.53555965	0.61789990	0.61714442	0.31474581	0.31476381	0.61775429	0.61707227	0.31472938	0.31466035	59926	51571	0
59926	51576	-0.00141240	0.00597177	0.53543423	0.00596566	0.53721930	0.61763860	0.61725765	0.31472075	0.31482026	0.61775429	0.61707827	0.31473858	0.31471188	59926	51574	0
59926	51579	-0.00071967	0.00596898	0.53672144	0.00598934	0.53644435	0.61759102	0.61696775	0.31471681	0.31466479	0.61763654	0.61697785	0.31465123	0.31464244	59926	51577	0
59926	51582	-0.00228425	0.00603111	0.53494422	0.00597475	0.53557005	0.61759817	0.61704285	0.31474483	0.31466791	0.61760680	0.61717605	0.31478945	0.31478369	59926	51581	0
59926	51586	0.00102657	0.00593787	0.53834391	0.00597609	0.53701958	0.61755495	0.61699182	0.31465740	0.31471253	0.61765692	0.61709971	0.31468805	0.31471138	59926	51584	0
59926	51589	0.00013266	0.00596653	0.53597991	0.00600890	0.53633747	0.61761953	0.61711525	0.31473373	0.31469676	0.61770844	0.61706274	0.31476496	0.31470579	59926	51587	0
59926	51592	-0.00079884	0.00599702	0.53622749	0.00603691	0.53660009	0.61770466	0.61704844	0.31473234	0.31469059	0.61776120	0.61704597	0.31480005	0.31468911	59926	51591	0
59926	51595	0.00712960	0.00599968	0.53771443	0.00604353	0.53454306	0.61784863	0.61706742	0.31487548	0.31470629	0.61760351	0.61699848	0.31469470	0.31472223	59926	51594	0
59926	51599	-0.00336001	0.00601215	0.53452685	0.00596327	0.53872269	0.61754854	0.61704803	0.31470990	0.31470160	0.61789809	0.61713447	0.31491476	0.31477794	59926	51597	0
59926	51602	-0.00095202	0.00596539	0.53756124	0.00592826	0.53659804	0.61755207	0.61696282	0.31469741	0.31466413	0.61758025	0.61706586	0.31471179	0.31470489	59926	51600	0
59926	51605	0.00011488	0.00598837	0.53614974	0.00598101	0.53572298	0.61753506	0.61697284	0.31468780	0.31467079	0.61769916	0.61711056	0.31474548	0.31472732	59926	51604	0
59926	51608	-0.00041491	0.00595273	0.53798122	0.00596153	0.53819313	0.61777960	0.61709117	0.31478714	0.31475526	0.61765577	0.61703562	0.31471960	0.31470382	59926	51607	0
59926	51612	0.00256494	0.00596514	0.53721979	0.00597123	0.53602785	0.61760162	0.61701015	0.31470925	0.31474244	0.61760893	0.61694712	0.31467539	0.31469462	59926	51610	0
59926	51615	-0.00050364	0.00599138	0.53599911	0.00598322	0.53722654	0.61757565	0.61696569	0.31474581	0.31471672	0.61760260	0.61700645	0.31481960	0.31476389	59926	51613	0
59926	51618	0.00148965	0.00599507	0.53714497	0.00597086	0.53634766	0.61754788	0.61694622	0.31472576	0.31472962	0.61768371	0.61705049	0.31484343	0.31480456	59926	51617	0
59926	51622	0.00183979	0.00600601	0.53555787	0.00599969	0.53541781	0.61755182	0.61695468	0.31477769	0.31478295	0.61754130	0.61688237	0.31475995	0.31473193	59926	51620	0
59926	51625	0.00059901	0.00598324	0.53686989	0.00596802	0.53736621	0.61760696	0.61700045	0.31475567	0.31476134	0.61778174	0.61691072	0.31492158	0.31475411	59926	51623	0
59926	51628	0.00544184	0.00597913	0.53719897	0.00601169	0.53526183	0.61760252	0.61696265	0.31487474	0.31483916	0.61761370	0.61692847	0.31487252	0.31483719	59926	51626	0
59926	51631	-0.00213758	0.00598554	0.53560234	0.00597243	0.53863411	0.61767993	0.61703151	0.31494828	0.31491484	0.61761772	0.61706455	0.31485855	0.31489660	59926	51630	0
59926	51635	0.00304320	0.00594292	0.53699174	0.00598376	0.53491943	0.61768354	0.61701500	0.31491813	0.31495395	0.61769718	0.61718854	0.31498370	0.31500843	59926	51633	0
59926	51638	0.00095463	0.00603960	0.53539551	0.00596719	0.53623094	0.61770474	0.61686709	0.31491936	0.31488181	0.61774772	0.61689396	0.31494705	0.31483489	59926	51636	0
59926	51641	0.00092236	0.00594449	0.53665791	0.00596857	0.53667082	0.61757919	0.61697161	0.31486775	0.31487277	0.61771847	0.61715847	0.31498296	0.31499150	59926	51640	0
59926	51644	-0.00228011	0.00598167	0.53558853	0.00601932	0.53686952	0.61783942	0.61721837	0.31506932	0.31505979	0.61778659	0.61712667	0.31493045	0.31494130	59926	51643	0
59926	51648	0.00101223	0.00595452	0.53843018	0.00595711	0.53711324	0.61777985	0.61713143	0.31494467	0.31494565	0.61785988	0.61708887	0.31497663	0.31496373	59926	51646	0
59926	51651	0.00414907	0.00599389	0.53573557	0.00599024	0.53448084	0.61757787	0.61707597	0.31492889	0.31488312	0.61766177	0.61696791	0.31500112	0.31492651	59926	51649	0
59926	51654	0.00197571	0.00594576	0.53677672	0.00599062	0.53764607	0.61776481	0.61719701	0.31503078	0.31501566	0.61778798	0.61722552	0.31510901	0.31502717	59926	51653	0
59926	51657	0.00558996	0.00598815	0.53656821	0.00602730	0.53512251	0.61778067	0.61715280	0.31511024	0.31504368	0.61775569	0.61707704	0.31511345	0.31504878	59926	51656	0
59926	51661	-0.00282195	0.00597892	0.53448671	0.00595290	0.53785148	0.61783556	0.61718838	0.31517927	0.31509488	0.61781033	0.61730547	0.31517598	0.31517409	59926	51659	0
59926	51664	-0.00089971	0.00603031	0.53583975	0.00598857	0.53507085	0.61783646	0.61720892	0.31516711	0.31510975	0.61768568	0.61714926	0.31512462	0.31505864	59926	51662	0
59926	51667	0.00227208	0.00598784	0.53700569	0.00594556	0.53573697	0.61776785	0.61718115	0.31510646	0.31512848	0.61783548	0.61722511	0.31516390	0.31514089	59926	51666	0
59926	52487	-0.00055364	0.00603367	0.53595841	0.00600129	0.53708870	0.61791831	0.61705797	0.31529702	0.31506521	0.61764501	0.61704721	0.31510268	0.31506743	59926	52486	0
59926	52491	0.00249556	0.00599118	0.53707009	0.00603983	0.53585041	0.61773531	0.61699289	0.31510137	0.31506365	0.61790598	0.61719035	0.31523531	0.31518173	59926	52489	0
59926	52494	-0.00361022	0.00604406	0.53509474	0.00598902	0.53753706	0.61785339	0.61730909	0.31516653	0.31519521	0.61799021	0.61737483	0.31526793	0.31526053	59926	52492	0
59926	52497	0.00216242	0.00596996	0.53719360	0.00600378	0.53488454	0.61782817	0.61729578	0.31521460	0.31528667	0.61791486	0.61725921	0.31525618	0.31521928	59926	52496	0
59926	52501	0.00160258	0.00599678	0.53637804	0.00597181	0.53660198	0.61801248	0.61738082	0.31532430	0.31522019	0.61798848	0.61729537	0.31522175	0.31524336	59926	52499	0
59926	52504	0.00238794	0.00597359	0.53655284	0.00599553	0.53623870	0.61781502	0.61715493	0.31516291	0.31519258	0.61788396	0.61715617	0.31518847	0.31515190	59926	52502	0
59926	52507	-0.00020686	0.00598560	0.53622880	0.00597218	0.53726672	0.61782808	0.61719027	0.31515223	0.31516127	0.61791790	0.61719890	0.31525659	0.31526177	59926	52505	0
59926	52510	-0.00148267	0.00600902	0.53657083	0.00601262	0.53708115	0.61791075	0.61727195	0.31528798	0.31521764	0.61809933	0.61742240	0.31530770	0.31527549	59926	52509	0
59926	52514	-0.00467016	0.00599805	0.53662238	0.00598863	0.53789738	0.61799004	0.61730268	0.31530450	0.31524057	0.61811207	0.61759258	0.31537245	0.31533400	59926	52512	0
59926	52517	0.00614933	0.00602227	0.53825680	0.00605226	0.53392901	0.61806408	0.61737992	0.31532044	0.31532249	0.61804986	0.61743424	0.31536884	0.31535832	59926	52515	0
59926	52520	0.00007086	0.00605244	0.53526529	0.00601711	0.53769668	0.61825431	0.61752923	0.31542200	0.31544879	0.61805471	0.61746365	0.31534829	0.31532750	59926	52518	0
59926	52523	-0.00344717	0.00602076	0.53503645	0.00609367	0.53644366	0.61798109	0.61751263	0.31540524	0.31541707	0.61818257	0.61746776	0.31542060	0.31539267	59926	52522	0
59926	52527	0.00032761	0.00599752	0.53862925	0.00594843	0.53711935	0.61806055	0.61758748	0.31537377	0.31536917	0.61818988	0.61750811	0.31545881	0.31545084	59926	52525	0
59926	52530	0.00335084	0.00600600	0.53705576	0.00601836	0.53584647	0.61807682	0.61748502	0.31536062	0.31543589	0.61808314	0.61746480	0.31540047	0.31539727	59926	52528	0
59926	52533	-0.00278315	0.00598214	0.53539535	0.00596381	0.53784895	0.61807164	0.61751312	0.31538535	0.31542102	0.61814017	0.61755716	0.31546646	0.31548544	59926	52532	0
59926	52536	0.00144590	0.00600322	0.53713947	0.00601797	0.53544785	0.61818315	0.61764459	0.31548075	0.31544238	0.61805701	0.61747836	0.31543753	0.31547837	59926	52535	0
59926	52540	-0.00128299	0.00602663	0.53583488	0.00598752	0.53692643	0.61805134	0.61748707	0.31545873	0.31542036	0.61822546	0.61761813	0.31560294	0.31546251	59926	52538	0
59926	52543	0.00454681	0.00599194	0.53728674	0.00602481	0.53495482	0.61823533	0.61751739	0.31552570	0.31555257	0.61826491	0.61752150	0.31558322	0.31551083	59926	52541	0
