% File initiated 13/12/2022 14:09:42 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 and 1550 1600 1940 1980 2300 no FSK uwave leakage no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59926.590076
%% clock_data = False
%% sequence = 9
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59926	51442	0.00025151	0.04112058	0.50336474	0.04113958	0.50311323	0.61949962	0.61942714	0.31600287	0.31573623	0.61941991	0.61938852	0.31596113	0.31567254	59926	51440	0
59926	51445	-0.00057091	0.04104290	0.50328145	0.04106890	0.50410387	0.61949567	0.61973044	0.31584395	0.31593976	0.61943002	0.61940315	0.31601709	0.31577189	59926	51444	0
59926	51449	-0.00051983	0.04104112	0.50213010	0.04106611	0.50207902	0.61935056	0.61933946	0.31592407	0.31570089	0.61926296	0.61920947	0.31589046	0.31560582	59926	51447	0
59926	51452	-0.00025684	0.04130934	0.50294401	0.04104743	0.50268101	0.61922689	0.61911021	0.31594248	0.31562102	0.61939107	0.61940537	0.31594272	0.31569062	59926	51450	0
59926	51455	0.00183530	0.04115106	0.50358206	0.04120340	0.50148992	0.61941046	0.61926461	0.31583196	0.31567197	0.61953273	0.61940454	0.31595324	0.31579555	59926	51453	0
59926	52357	0.00049773	0.04141081	0.50161350	0.04141036	0.50295107	0.61723201	0.61718690	0.31492897	0.31468599	0.61726504	0.61717194	0.31491254	0.31462477	59926	52355	0
59926	52360	0.00124181	0.04151364	0.50203571	0.04157319	0.50129163	0.61724680	0.61728550	0.31500769	0.31483982	0.61708558	0.61707309	0.31496274	0.31460464	59926	52358	0
59926	52363	0.00274844	0.04154233	0.50165183	0.04149098	0.50014520	0.61712469	0.61712749	0.31488230	0.31465181	0.61701590	0.61696495	0.31474811	0.31456043	59926	52362	0
59926	52367	0.00020009	0.04145282	0.50056895	0.04138482	0.50311730	0.61703020	0.61701574	0.31487901	0.31461327	0.61713595	0.61699979	0.31490095	0.31462255	59926	52365	0
59926	52370	0.00063083	0.04151178	0.50320230	0.04141457	0.50277157	0.61711393	0.61695961	0.31487581	0.31458081	0.61705559	0.61688056	0.31481837	0.31460587	59926	52368	0
59926	53272	0.00158504	0.04143685	0.50200228	0.04156900	0.50104806	0.61891538	0.61895704	0.31583894	0.31556375	0.61906616	0.61896263	0.31579588	0.31543112	59926	53270	0
59926	53275	0.00116861	0.04166669	0.50069571	0.04164579	0.50111215	0.61895737	0.61887980	0.31567829	0.31544887	0.61893066	0.61884611	0.31573746	0.31543408	59926	53273	0
59926	53278	-0.00062990	0.04138509	0.50042513	0.04133013	0.50222364	0.61889524	0.61889393	0.31564970	0.31552209	0.61898662	0.61874076	0.31563359	0.31542964	59926	53277	0
59926	53281	0.00009642	0.04129532	0.50090040	0.04140712	0.50017407	0.61882072	0.61883090	0.31570747	0.31545052	0.61893838	0.61890280	0.31577156	0.31557139	59926	53280	0
59926	53285	0.00012826	0.04149829	0.50151807	0.04139867	0.50148623	0.61904504	0.61895088	0.31565060	0.31551198	0.61904767	0.61888300	0.31575652	0.31546046	59926	53283	0
59926	54186	0.00027283	0.04119975	0.50130078	0.04129659	0.50115622	0.61874134	0.61867494	0.31612465	0.31589482	0.61877215	0.61876106	0.31613394	0.31592654	59926	54185	0
59926	54190	-0.00122361	0.04137842	0.50052565	0.04148210	0.50202208	0.61877782	0.61870181	0.31613254	0.31596138	0.61886369	0.61871397	0.31621808	0.31587493	59926	54188	0
59926	54193	-0.00082462	0.04144848	0.50115257	0.04116037	0.50075358	0.61881184	0.61872630	0.31607847	0.31592308	0.61873000	0.61868965	0.31607633	0.31589621	59926	54191	0
59926	54196	-0.00004571	0.04132655	0.50175304	0.04132803	0.50097413	0.61872745	0.61873427	0.31603377	0.31589909	0.61877864	0.61879245	0.31619269	0.31594716	59926	54195	0
59926	54200	-0.00083396	0.04136449	0.50109512	0.04134535	0.50188337	0.61880502	0.61870609	0.31611939	0.31586310	0.61888892	0.61877059	0.31610550	0.31594856	59926	54198	0
59926	55101	0.00153819	0.04113299	0.50354416	0.04128698	0.50117201	0.61889352	0.61885079	0.31596581	0.31575800	0.61903321	0.61884989	0.31597173	0.31579038	59926	55100	0
59926	55105	0.00040127	0.04117823	0.50187956	0.04107536	0.50301647	0.61913058	0.61897298	0.31601043	0.31582267	0.61898350	0.61889697	0.31605045	0.31581223	59926	55103	0
59926	55108	-0.00089432	0.04121195	0.50209910	0.04120643	0.50339470	0.61901070	0.61906025	0.31604725	0.31587427	0.61902844	0.61896920	0.31608932	0.31578586	59926	55106	0
59926	55111	-0.00003328	0.04117807	0.50259668	0.04116327	0.50173564	0.61896353	0.61894060	0.31606425	0.31579514	0.61898062	0.61910314	0.31604108	0.31588372	59926	55109	0
59926	55114	-0.00103656	0.04113012	0.50246601	0.04114291	0.50346928	0.61901752	0.61907586	0.31598217	0.31582719	0.61904841	0.61897717	0.31607551	0.31580500	59926	55113	0
59926	56016	0.00035315	0.04103301	0.50696766	0.04106399	0.50557794	0.62047787	0.62037063	0.31426618	0.31400060	0.62048494	0.62031698	0.31427291	0.31399567	59926	56015	0
59926	56019	-0.00116341	0.04120603	0.50548860	0.04102701	0.50700517	0.62053514	0.62032626	0.31439420	0.31401999	0.62061641	0.62046538	0.31425549	0.31412484	59926	56018	0
59926	56023	0.00020656	0.04096570	0.50687239	0.04090875	0.50550242	0.62053679	0.62027893	0.31423922	0.31392229	0.62034163	0.62037368	0.31429773	0.31400364	59926	56021	0
59926	56026	0.00118411	0.04095130	0.50706014	0.04101684	0.50608259	0.62047450	0.62043966	0.31427029	0.31403207	0.62047812	0.62035856	0.31430808	0.31403996	59926	56024	0
59926	56029	0.00190638	0.04095917	0.50600004	0.04112710	0.50527776	0.62034582	0.62028329	0.31422394	0.31402747	0.62028394	0.62012585	0.31413257	0.31397077	59926	56028	0
59926	56931	0.00170659	0.04076791	0.50459518	0.04081958	0.50479497	0.62006816	0.61989913	0.31568791	0.31543531	0.62015231	0.62018279	0.31575381	0.31561050	59926	56929	0
59926	56934	0.00324636	0.04086490	0.50563842	0.04090995	0.50409865	0.62012905	0.62011451	0.31590887	0.31559004	0.62013760	0.62006216	0.31584839	0.31552176	59926	56933	0
59926	56937	0.00030750	0.04094408	0.50239132	0.04086415	0.50533018	0.62020095	0.62009339	0.31582308	0.31554337	0.62020777	0.62005526	0.31583549	0.31556194	59926	56936	0
59926	56941	0.00079576	0.04093137	0.50447131	0.04101712	0.50398304	0.62041336	0.62027178	0.31595447	0.31570673	0.62064016	0.62060852	0.31615382	0.31588282	59926	56939	0
59926	56944	-0.00007215	0.04093274	0.50363461	0.04107144	0.50450252	0.62049348	0.62032388	0.31595891	0.31576441	0.62046365	0.62034385	0.31587296	0.31578479	59926	56942	0
59926	57846	-0.00064404	0.04135296	0.50071534	0.04143945	0.50128723	0.61873279	0.61854396	0.31605283	0.31585850	0.61873789	0.61843484	0.31596639	0.31569613	59926	57844	0
59926	57849	-0.00123101	0.04147478	0.50091944	0.04153113	0.50150642	0.61860255	0.61851816	0.31592308	0.31581043	0.61872318	0.61865374	0.31601364	0.31586285	59926	57847	0
59926	57852	-0.00170779	0.04141695	0.50099064	0.04145444	0.50146742	0.61871792	0.61867609	0.31599350	0.31578454	0.61872605	0.61862391	0.31603706	0.31581741	59926	57851	0
59926	57855	0.00029334	0.04148698	0.50248263	0.04157162	0.50048150	0.61868899	0.61848825	0.31606138	0.31574395	0.61855694	0.61857461	0.31606836	0.31581051	59926	57854	0
59926	57859	0.00063301	0.04148698	0.50043447	0.04153395	0.50009480	0.61873460	0.61859228	0.31606458	0.31580073	0.61876024	0.61874569	0.31609679	0.31591848	59926	57857	0
59926	58760	-0.00077538	0.04136755	0.49972225	0.04133662	0.50113065	0.61870978	0.61867798	0.31610353	0.31592843	0.61890543	0.61874536	0.31626286	0.31600246	59926	58759	0
59926	58764	-0.00122202	0.04127894	0.50151045	0.04145753	0.50195708	0.61880165	0.61868365	0.31624380	0.31593648	0.61896780	0.61887717	0.31626755	0.31595916	59926	58762	0
59926	58767	-0.00084409	0.04139292	0.50137070	0.04127167	0.50099278	0.61886402	0.61884126	0.31621159	0.31597608	0.61881365	0.61870962	0.31617971	0.31590961	59926	58765	0
59926	58770	0.00011774	0.04128806	0.50204269	0.04122902	0.50108086	0.61883657	0.61865563	0.31620847	0.31591339	0.61884644	0.61865818	0.31612038	0.31592522	59926	58769	0
