% File initiated 13/12/2022 14:09:42 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 and 1550 1600 1940 1980 2300 no FSK uwave leakage no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59926.590076
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59926	50985	0.00118062	0.03995480	0.51537333	0.03998895	0.51183148	0.61920479	0.61894414	0.31611249	0.31574272	0.61892680	0.61904636	0.31621299	0.31584428	59926	50983	0
59926	50988	0.00018164	0.04013754	0.51389610	0.04031466	0.51689304	0.61900141	0.61922492	0.31622309	0.31595858	0.61895901	0.61911045	0.31586639	0.31583039	59926	50986	0
59926	50991	0.00089840	0.04055647	0.51461507	0.04049382	0.51246477	0.61914464	0.61902516	0.31613205	0.31579424	0.61896591	0.61897750	0.31608718	0.31571355	59926	50990	0
59926	50995	0.00110959	0.04070486	0.51538692	0.04058322	0.51475336	0.61887191	0.61905581	0.31578052	0.31579136	0.61885506	0.61881989	0.31577444	0.31558955	59926	50993	0
59926	50998	0.00054980	0.04074008	0.51386008	0.04086906	0.51553943	0.61890009	0.61882433	0.31565570	0.31548881	0.61892212	0.61899056	0.31573581	0.31558125	59926	50996	0
59926	51900	0.00085944	0.04139300	0.51490969	0.04134710	0.51398078	0.61813992	0.61823524	0.31509373	0.31501558	0.61804206	0.61809908	0.31538272	0.31497154	59926	51898	0
59926	51903	0.00008254	0.04139599	0.51361105	0.04152768	0.51594176	0.61787607	0.61798084	0.31533219	0.31491771	0.61817107	0.61818676	0.31512117	0.31502873	59926	51901	0
59926	51906	0.00036625	0.04130340	0.51477023	0.04125749	0.51391909	0.61803737	0.61801067	0.31509792	0.31492076	0.61789374	0.61791124	0.31507992	0.31486578	59926	51905	0
59926	51909	0.00148430	0.04136162	0.51558995	0.04140840	0.51223582	0.61787969	0.61792283	0.31508041	0.31483497	0.61790779	0.61813754	0.31509751	0.31504557	59926	51908	0
59926	51913	-0.00015642	0.04152133	0.51166243	0.04149525	0.51658458	0.61800730	0.61782356	0.31514993	0.31482930	0.61792496	0.61782439	0.31494910	0.31476849	59926	51911	0
59926	52815	0.00078604	0.04145594	0.51552352	0.04143990	0.51269615	0.61752881	0.61752364	0.31507401	0.31491919	0.61745322	0.61764805	0.31530951	0.31498526	59926	52813	0
59926	52818	0.00089889	0.04141843	0.51394972	0.04138902	0.51361116	0.61774345	0.61781017	0.31532964	0.31502725	0.61765404	0.61768100	0.31543030	0.31497819	59926	52816	0
59926	52821	0.00114518	0.04154889	0.51345492	0.04161704	0.51271604	0.61766785	0.61782389	0.31544485	0.31506316	0.61773704	0.61758469	0.31515897	0.31497556	59926	52819	0
59926	52824	0.00074518	0.04168623	0.51336667	0.04153203	0.51456669	0.61760942	0.61763547	0.31518609	0.31496776	0.61757269	0.61756694	0.31514517	0.31498477	59926	52823	0
59926	52828	0.00107881	0.04158722	0.51405591	0.04152920	0.51305501	0.61754697	0.61765339	0.31530803	0.31505839	0.61786062	0.61779521	0.31526653	0.31517623	59926	52826	0
59926	53729	0.00040308	0.04128058	0.51258256	0.04126039	0.51460977	0.61862934	0.61868875	0.31592522	0.31571996	0.61864881	0.61874043	0.31620362	0.31581569	59926	53728	0
59926	53733	0.00120330	0.04130270	0.51496509	0.04137466	0.51256444	0.61873033	0.61873205	0.31625276	0.31587041	0.61883238	0.61891283	0.31594264	0.31597050	59926	53731	0
59926	53736	0.00097311	0.04133537	0.51366561	0.04132806	0.51435616	0.61876919	0.61893222	0.31618234	0.31593894	0.61873024	0.61875654	0.31625350	0.31588956	59926	53734	0
59926	53739	0.00088077	0.04143465	0.51501540	0.04142110	0.51529241	0.61882302	0.61874356	0.31599005	0.31582177	0.61879360	0.61864470	0.31592440	0.31578676	59926	53738	0
59926	53742	0.00090027	0.04144465	0.51490892	0.04122078	0.51485042	0.61859236	0.61868546	0.31622301	0.31580361	0.61867264	0.61877708	0.31610838	0.31583680	59926	53741	0
59926	54644	0.00018205	0.04112083	0.51390840	0.04111096	0.51606306	0.61864906	0.61866623	0.31626163	0.31589120	0.61877248	0.61882828	0.31627765	0.31599893	59926	54643	0
59926	54647	0.00049136	0.04131809	0.51488442	0.04126794	0.51395650	0.61886098	0.61914817	0.31621348	0.31622967	0.61889952	0.61890749	0.31622638	0.31602070	59926	54646	0
59926	54651	0.00007909	0.04115414	0.51438185	0.04113094	0.51561865	0.61881028	0.61888744	0.31636730	0.31601947	0.61862613	0.61875539	0.31633575	0.31601766	59926	54649	0
59926	54654	0.00011944	0.04107589	0.51463210	0.04108431	0.51451106	0.61876467	0.61873838	0.31614610	0.31596820	0.61870535	0.61876665	0.31636435	0.31593122	59926	54652	0
59926	54657	0.00080075	0.04123956	0.51671370	0.04112781	0.51466977	0.61877807	0.61890420	0.31623008	0.31600862	0.61886714	0.61889360	0.31605686	0.31599753	59926	54656	0
59926	55559	-0.00046417	0.04098064	0.51637043	0.04087469	0.52016518	0.62233470	0.62239641	0.31575891	0.31556309	0.62244596	0.62257554	0.31590607	0.31574461	59926	55557	0
59926	55562	-0.00075924	0.04093713	0.51855202	0.04087750	0.51943723	0.62233716	0.62283299	0.31605144	0.31587699	0.62252238	0.62251622	0.31597830	0.31570853	59926	55561	0
59926	55566	0.00097542	0.04094292	0.52060948	0.04083891	0.51540551	0.62244949	0.62244308	0.31603295	0.31562809	0.62256774	0.62251400	0.31577534	0.31561091	59926	55564	0
59926	55569	0.00003407	0.04085657	0.51683128	0.04088139	0.51965532	0.62254169	0.62260077	0.31574264	0.31565052	0.62289042	0.62265747	0.31600394	0.31571568	59926	55567	0
59926	55572	-0.00062476	0.04082134	0.51578003	0.04093412	0.51775652	0.62243413	0.62273233	0.31595373	0.31568018	0.62279215	0.62256034	0.31599301	0.31555545	59926	55570	0
59926	56474	-0.00037738	0.04091561	0.51646530	0.04090869	0.51572315	0.62013571	0.62016989	0.31484984	0.31453447	0.62028403	0.62019019	0.31479594	0.31458681	59926	56472	0
59926	56477	0.00145898	0.04082924	0.51950549	0.04062630	0.51399639	0.62036431	0.62028082	0.31477474	0.31471409	0.62007786	0.62014918	0.31510860	0.31459437	59926	56476	0
59926	56480	0.00090513	0.04071571	0.51471686	0.04080691	0.51637843	0.61996824	0.61998377	0.31482264	0.31450037	0.62005888	0.62008427	0.31491755	0.31455033	59926	56479	0
59926	56484	0.00071314	0.04071217	0.51516803	0.04067053	0.51574398	0.62002708	0.62001911	0.31502010	0.31455649	0.62014376	0.62019849	0.31501123	0.31467687	59926	56482	0
59926	56487	-0.00006092	0.04071731	0.51526694	0.04080121	0.51758913	0.62038378	0.62023661	0.31482609	0.31460119	0.62026776	0.62010267	0.31485641	0.31467202	59926	56485	0
59926	57389	0.00099735	0.04129139	0.51741160	0.04129975	0.51423680	0.61976495	0.61970217	0.31631258	0.31599827	0.61989946	0.61983011	0.31626779	0.31619647	59926	57387	0
59926	57392	0.00070399	0.04132314	0.51484963	0.04135810	0.51572972	0.62000859	0.61980965	0.31628094	0.31611150	0.61990702	0.61983890	0.31637692	0.31612892	59926	57390	0
59926	57395	0.00070520	0.04142673	0.51555510	0.04147862	0.51555145	0.61990752	0.61998525	0.31626442	0.31628004	0.61992157	0.61993225	0.31659993	0.31621644	59926	57393	0
59926	57398	0.00079868	0.04137836	0.51321166	0.04139957	0.51293122	0.61961244	0.61956765	0.31648711	0.31605472	0.61970694	0.61972633	0.31654389	0.31642786	59926	57397	0
59926	57402	-0.00009263	0.04133181	0.51252025	0.04137603	0.51519420	0.61969256	0.61968122	0.31628423	0.31612177	0.61970726	0.61969880	0.31646780	0.31621077	59926	57400	0
59926	58303	0.00100596	0.04150949	0.51490024	0.04158605	0.51160444	0.61813401	0.61827255	0.31564995	0.31551839	0.61847765	0.61850000	0.31577411	0.31571716	59926	58302	0
59926	58307	0.00011849	0.04163285	0.51316122	0.04150131	0.51582362	0.61832769	0.61826959	0.31583976	0.31554411	0.61805134	0.61816269	0.31577772	0.31543811	59926	58305	0
59926	58310	-0.00000018	0.04134526	0.51290373	0.04153120	0.51325975	0.61827551	0.61824428	0.31567493	0.31560541	0.61830723	0.61818290	0.31574321	0.31552324	59926	58308	0
59926	58313	0.00056676	0.04153595	0.51457085	0.04149322	0.51287003	0.61840682	0.61823302	0.31601520	0.31559128	0.61838175	0.61836836	0.31579588	0.31568405	59926	58312	0
59926	58316	0.00086828	0.04139793	0.51451451	0.04142105	0.51360996	0.61839112	0.61826762	0.31577608	0.31559522	0.61829268	0.61836557	0.31583467	0.31561305	59926	58315	0
59926	59218	0.00015821	0.04116005	0.51151229	0.04123131	0.51364250	0.61894208	0.61892910	0.31623090	0.31597346	0.61884561	0.61907578	0.31650034	0.31620362	59926	59217	0
59926	59221	0.00033881	0.04125774	0.51453084	0.04115057	0.51398904	0.61902080	0.61916165	0.31659097	0.31614774	0.61919073	0.61919377	0.31633854	0.31615497	59926	59220	0
59926	59225	0.00019582	0.04108833	0.51420050	0.04130945	0.51462946	0.61914529	0.61914727	0.31624109	0.31608562	0.61929641	0.61921637	0.31635999	0.31618094	59926	59223	0
59926	59228	0.00043283	0.04126518	0.51551440	0.04115815	0.51480338	0.61916058	0.61917233	0.31644693	0.31616598	0.61911768	0.61912393	0.31652828	0.31613525	59926	59226	0
59926	59231	0.00006746	0.04111426	0.51301548	0.04117116	0.51411158	0.61897544	0.61924012	0.31643920	0.31616960	0.61904373	0.61905860	0.31645219	0.31603024	59926	59230	0
59926	60133	-0.00024474	0.04146385	0.51366983	0.04148449	0.51460644	0.61847527	0.61842991	0.31551494	0.31525807	0.61849951	0.61846721	0.31542915	0.31526431	59926	60131	0
59926	60136	0.00001841	0.04141610	0.51358853	0.04150520	0.51279908	0.61851430	0.61850797	0.31545569	0.31523021	0.61852901	0.61846113	0.31547287	0.31537730	59926	60135	0
59926	60140	0.00142822	0.04145603	0.51617264	0.04147333	0.51194321	0.61849704	0.61849030	0.31551009	0.31532857	0.61849934	0.61853755	0.31578643	0.31542143	59926	60138	0
59926	60143	0.00065673	0.04152816	0.51442962	0.04152229	0.51674409	0.61843763	0.61849285	0.31560245	0.31539143	0.61848274	0.61826458	0.31537040	0.31519776	59926	60141	0
59926	60146	0.00043743	0.04151462	0.51300559	0.04150808	0.51366350	0.61821897	0.61836129	0.31559694	0.31523358	0.61829326	0.61820352	0.31537533	0.31524985	59926	60145	0
59926	61048	-0.00001437	0.04148835	0.51308315	0.04147596	0.51443854	0.61797911	0.61810492	0.31579827	0.31542956	0.61817575	0.61808775	0.31566909	0.31558585	59926	61046	0
