% File initiated 13/12/2022 14:09:42 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 250 720 1550 and 1550 1600 1940 1980 2300 no FSK uwave leakage no water cooling
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59926.590076
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59926	51001	0.00059205	0.00589509	0.51235334	0.00593910	0.51057718	0.61942911	0.61872030	0.31556950	0.31552685	0.61939279	0.61874643	0.31567328	0.31561280	59926	51000	0
59926	51004	0.00054530	0.00586607	0.51137927	0.00592233	0.51151954	0.61944473	0.61891529	0.31571568	0.31572168	0.61937003	0.61873772	0.31570451	0.31552546	59926	51003	0
59926	51008	0.00073085	0.00590162	0.51329288	0.00590226	0.51273623	0.61931522	0.61880009	0.31566145	0.31562480	0.61925318	0.61866311	0.31561001	0.31553942	59926	51006	0
59926	51011	0.00151190	0.00591995	0.51248941	0.00589703	0.51014626	0.61921711	0.61861438	0.31559949	0.31556079	0.61936305	0.61861266	0.31561124	0.31556991	59926	51009	0
59926	51014	0.00083351	0.00586456	0.51130401	0.00590308	0.51333916	0.61937348	0.61885178	0.31563179	0.31565718	0.61950783	0.61874627	0.31570886	0.31555841	59926	51013	0
59926	51017	0.00021100	0.00591310	0.51095941	0.00591805	0.51282694	0.61931079	0.61869212	0.31556745	0.31551855	0.61940019	0.61879606	0.31562176	0.31553606	59926	51016	0
59926	51021	0.00027822	0.00593579	0.51196935	0.00596557	0.51176771	0.61953010	0.61902820	0.31567287	0.31575143	0.61954193	0.61877199	0.31572571	0.31556794	59926	51019	0
59926	51024	0.00034776	0.00591428	0.51256973	0.00591797	0.51236111	0.61950578	0.61892598	0.31571141	0.31553680	0.61956116	0.61892524	0.31566457	0.31558741	59926	51022	0
59926	51027	0.00063841	0.00596678	0.51327855	0.00595602	0.51240660	0.61946354	0.61890552	0.31565044	0.31556860	0.61962690	0.61894471	0.31576342	0.31563261	59926	51026	0
59926	51031	0.00114498	0.00590626	0.51357432	0.00594084	0.51205460	0.61951860	0.61892105	0.31573195	0.31560171	0.61953684	0.61885309	0.31567353	0.31570656	59926	51029	0
59926	51034	0.00160125	0.00593441	0.51416598	0.00596096	0.51279719	0.61951572	0.61883838	0.31569103	0.31557007	0.61958384	0.61894414	0.31575784	0.31564502	59926	51032	0
59926	51037	0.00014442	0.00595328	0.51040457	0.00591502	0.51477504	0.61946272	0.61894940	0.31561034	0.31561946	0.61954021	0.61888604	0.31569917	0.31558454	59926	51035	0
59926	51040	0.00015272	0.00591101	0.51072531	0.00590648	0.51070041	0.61951860	0.61891447	0.31567542	0.31561272	0.61948170	0.61886879	0.31571486	0.31559883	59926	51039	0
59926	51044	0.00075867	0.00594052	0.51136336	0.00594311	0.50954550	0.61944653	0.61872548	0.31566885	0.31562094	0.61955007	0.61888284	0.31563951	0.31565258	59926	51042	0
59926	51047	0.00046583	0.00596536	0.51193756	0.00593845	0.51281609	0.61946913	0.61878333	0.31564863	0.31554666	0.61937496	0.61872301	0.31556416	0.31555709	59926	51045	0
59926	51050	0.00084601	0.00593967	0.51280653	0.00593011	0.51166598	0.61930208	0.61869729	0.31561699	0.31544279	0.61934776	0.61875218	0.31563598	0.31556818	59926	51049	0
59926	51053	0.00070368	0.00591972	0.51261899	0.00591391	0.51304601	0.61924776	0.61859384	0.31552036	0.31550450	0.61911177	0.61849375	0.31545199	0.31548256	59926	51052	0
59926	51057	0.00005471	0.00595566	0.51030880	0.00595024	0.51225570	0.61915918	0.61860674	0.31549735	0.31548462	0.61915293	0.61858217	0.31547106	0.31541239	59926	51055	0
59926	51060	0.00016951	0.00594389	0.51195469	0.00598970	0.51161029	0.61917726	0.61852958	0.31558150	0.31540244	0.61918137	0.61853057	0.31543811	0.31538067	59926	51058	0
59926	51063	0.00127209	0.00595673	0.51083969	0.00600389	0.50753195	0.61900437	0.61844823	0.31549826	0.31535996	0.61911029	0.61841158	0.31552800	0.31542323	59926	51062	0
59926	51066	0.00086883	0.00597235	0.51200808	0.00596110	0.51321785	0.61902869	0.61845316	0.31545306	0.31531493	0.61911316	0.61831980	0.31552168	0.31540269	59926	51065	0
59926	51070	0.00149580	0.00592556	0.51343943	0.00595127	0.51155851	0.61895802	0.61833196	0.31539891	0.31532183	0.61906953	0.61837173	0.31542373	0.31536046	59926	51068	0
59926	51073	-0.00014505	0.00594563	0.50975208	0.00599156	0.51467463	0.61884183	0.61829638	0.31539809	0.31532455	0.61896665	0.61825143	0.31537163	0.31528100	59926	51071	0
59926	51076	-0.00041060	0.00593273	0.51074448	0.00598713	0.51154115	0.61891562	0.61824034	0.31535240	0.31536021	0.61896764	0.61815504	0.31540417	0.31520154	59926	51075	0
59926	51080	0.00094806	0.00596868	0.51429089	0.00596117	0.51021490	0.61888818	0.61818191	0.31532241	0.31527902	0.61873978	0.61826803	0.31530918	0.31520556	59926	51078	0
59926	51083	0.00087471	0.00595302	0.51294234	0.00595613	0.51316241	0.61882104	0.61826409	0.31538396	0.31530433	0.61868275	0.61814428	0.31532282	0.31526021	59926	51081	0
59926	51086	0.00126408	0.00593375	0.51123453	0.00592879	0.51006641	0.61877264	0.61817238	0.31536013	0.31526242	0.61872433	0.61808281	0.31525782	0.31518444	59926	51084	0
59926	51089	0.00057578	0.00592026	0.51082874	0.00594173	0.51289364	0.61866664	0.61805003	0.31529357	0.31524895	0.61880543	0.61797303	0.31532381	0.31523687	59926	51088	0
59926	51093	0.00078266	0.00598010	0.51209007	0.00597629	0.51146942	0.61885597	0.61814395	0.31529940	0.31523292	0.61872622	0.61803647	0.31534073	0.31520515	59926	51091	0
59926	51096	0.00041666	0.00597305	0.51039076	0.00596536	0.51148877	0.61863205	0.61800607	0.31524229	0.31516678	0.61864725	0.61804017	0.31530080	0.31519989	59926	51094	0
59926	51916	0.00161715	0.00600254	0.51115450	0.00599322	0.50755303	0.61827074	0.61767952	0.31482889	0.31471993	0.61810434	0.61752397	0.31483587	0.31473020	59926	51914	0
59926	51919	0.00038511	0.00598429	0.50918102	0.00601430	0.51287714	0.61808183	0.61747179	0.31477252	0.31472634	0.61804641	0.61732117	0.31473447	0.31464967	59926	51918	0
59926	51923	0.00135345	0.00599720	0.51329915	0.00598424	0.51039413	0.61797246	0.61728945	0.31468369	0.31466528	0.61796671	0.61734960	0.31470900	0.31453077	59926	51921	0
59926	51926	0.00029923	0.00597130	0.50902100	0.00596708	0.51218364	0.61804773	0.61735478	0.31477950	0.31469528	0.61812472	0.61750729	0.31482429	0.31472708	59926	51924	0
59926	51929	-0.00012072	0.00601093	0.51045351	0.00602749	0.51171337	0.61804691	0.61741566	0.31485305	0.31477827	0.61801445	0.61737565	0.31477737	0.31463003	59926	51927	0
59926	51932	0.00042940	0.00599130	0.51320115	0.00596165	0.51155079	0.61804765	0.61744073	0.31482083	0.31477211	0.61798947	0.61730243	0.31480752	0.31473521	59926	51931	0
59926	51936	0.00039139	0.00597891	0.51103890	0.00599352	0.51115292	0.61786851	0.61722716	0.31476964	0.31465222	0.61776949	0.61718986	0.31467786	0.31456857	59926	51934	0
59926	51939	0.00077826	0.00597995	0.51077919	0.00598270	0.50961858	0.61776662	0.61702494	0.31469380	0.31459683	0.61784715	0.61707523	0.31474737	0.31464638	59926	51937	0
59926	51942	0.00113168	0.00594834	0.51089918	0.00594927	0.50983893	0.61798257	0.61727737	0.31478501	0.31475354	0.61795249	0.61719520	0.31482067	0.31472469	59926	51941	0
59926	51945	0.00044226	0.00599009	0.50847252	0.00597442	0.51054077	0.61773876	0.61715058	0.31472930	0.31464655	0.61796934	0.61728608	0.31474335	0.31465723	59926	51944	0
59926	51949	0.00088286	0.00594915	0.51131289	0.00595570	0.50999110	0.61783014	0.61713899	0.31469363	0.31469445	0.61778231	0.61703159	0.31473809	0.31451442	59926	51947	0
59926	51952	0.00086485	0.00597726	0.51047473	0.00596828	0.51052875	0.61764287	0.61703595	0.31458739	0.31456076	0.61763547	0.61693373	0.31458056	0.31452370	59926	51950	0
59926	51955	0.00018053	0.00600465	0.50960039	0.00599056	0.51165334	0.61757524	0.61688122	0.31465887	0.31447218	0.61764648	0.61703652	0.31465419	0.31450094	59926	51954	0
59926	51958	0.00013437	0.00597449	0.50993108	0.00594944	0.51006958	0.61763876	0.61698385	0.31463965	0.31457440	0.61758814	0.61698648	0.31462264	0.31457876	59926	51957	0
59926	51962	0.00038143	0.00597426	0.51003819	0.00594888	0.50929700	0.61769538	0.61694531	0.31467169	0.31454244	0.61767278	0.61701738	0.31471196	0.31467235	59926	51960	0
59926	51965	0.00135546	0.00599760	0.51154596	0.00599568	0.50862387	0.61769266	0.61712930	0.31475428	0.31454449	0.61751706	0.61702666	0.31459922	0.31454326	59926	51963	0
59926	51968	0.00003588	0.00598054	0.50929450	0.00597681	0.51325323	0.61759250	0.61705123	0.31467810	0.31463513	0.61773170	0.61699675	0.31474302	0.31461228	59926	51967	0
59926	51972	0.00032780	0.00593514	0.51000856	0.00596243	0.50913282	0.61776259	0.61704137	0.31478961	0.31462280	0.61759866	0.61694063	0.31462494	0.31460793	59926	51970	0
59926	51975	0.00042304	0.00600076	0.51188166	0.00599357	0.51159593	0.61762906	0.61694893	0.31466307	0.31454975	0.61747976	0.61685780	0.31459577	0.31453948	59926	51973	0
59926	51978	0.00217548	0.00599204	0.51289428	0.00595362	0.50763696	0.61761583	0.61686216	0.31470325	0.31460760	0.61746801	0.61697383	0.31466701	0.31462329	59926	51976	0
59926	51981	0.00058620	0.00597680	0.50721743	0.00597877	0.51198527	0.61765758	0.61697432	0.31475386	0.31465156	0.61765191	0.61698139	0.31472453	0.31467284	59926	51980	0
59926	51985	0.00062758	0.00601163	0.51167865	0.00601733	0.51155452	0.61754574	0.61696200	0.31469922	0.31459264	0.61762898	0.61698813	0.31470185	0.31465041	59926	51983	0
59926	51988	0.00098982	0.00598594	0.51126342	0.00599066	0.51017669	0.61760967	0.61691064	0.31470054	0.31458081	0.61741846	0.61676084	0.31469248	0.31454482	59926	51986	0
59926	51991	-0.00004951	0.00600622	0.50847712	0.00598308	0.51159511	0.61758034	0.61689659	0.31467169	0.31464704	0.61757984	0.61694827	0.31473669	0.31465444	59926	51989	0
59926	51994	0.00040998	0.00599094	0.51047576	0.00602997	0.50909730	0.61767434	0.61700801	0.31478862	0.31465468	0.61749052	0.61683258	0.31462896	0.31460316	59926	51993	0
59926	51998	0.00093674	0.00599949	0.51174146	0.00599252	0.51016118	0.61746891	0.61680694	0.31457892	0.31455386	0.61776448	0.61674005	0.31476997	0.31461647	59926	51996	0
59926	52001	0.00062461	0.00596683	0.50939518	0.00597132	0.51033158	0.61759217	0.61684079	0.31485107	0.31464326	0.61742257	0.61677629	0.31465016	0.31453956	59926	51999	0
59926	52004	0.00121896	0.00600826	0.51378453	0.00602465	0.51200148	0.61741583	0.61674219	0.31459872	0.31453110	0.61733062	0.61671458	0.31462108	0.31452107	59926	52003	0
59926	52007	0.00081075	0.00597526	0.51055936	0.00597016	0.51178399	0.61749389	0.61699330	0.31469634	0.31467005	0.61751468	0.61692946	0.31472708	0.31457284	59926	52006	0
59926	52011	0.00068367	0.00598993	0.51025228	0.00601505	0.51063350	0.61747491	0.61680817	0.31460883	0.31455756	0.61741829	0.61668450	0.31466463	0.31455353	59926	52009	0
59926	52831	0.00026972	0.00603244	0.50948397	0.00601017	0.51072581	0.61818553	0.61756250	0.31514771	0.31503777	0.61816137	0.61748724	0.31509151	0.31498444	59926	52829	0
59926	52834	0.00036130	0.00602822	0.51084283	0.00610639	0.51056811	0.61805603	0.61731279	0.31501550	0.31484499	0.61824231	0.61769472	0.31520129	0.31516932	59926	52833	0
59926	52837	0.00081530	0.00601129	0.51048104	0.00604661	0.50911902	0.61819687	0.61752364	0.31515445	0.31502010	0.61808955	0.61726989	0.31511575	0.31494508	59926	52836	0
59926	52841	-0.00009614	0.00599669	0.50806609	0.00602861	0.51080040	0.61806934	0.61733637	0.31505067	0.31497474	0.61811248	0.61733538	0.31506267	0.31493234	59926	52839	0
59926	52844	0.00031035	0.00597850	0.51184536	0.00598131	0.51062590	0.61792989	0.61746645	0.31492536	0.31499537	0.61781173	0.61730769	0.31491582	0.31495535	59926	52842	0
59926	52847	0.00086003	0.00597877	0.51182366	0.00598735	0.51017463	0.61811494	0.61717844	0.31519340	0.31485313	0.61790475	0.61722782	0.31497762	0.31494426	59926	52846	0
59926	52850	0.00080122	0.00601515	0.51157509	0.00601380	0.51175150	0.61793376	0.61734516	0.31505182	0.31499833	0.61800368	0.61747236	0.31509266	0.31501599	59926	52849	0
59926	52854	0.00076778	0.00597246	0.50920031	0.00596653	0.50930063	0.61797073	0.61728608	0.31510194	0.31494516	0.61803663	0.61719890	0.31511542	0.31495149	59926	52852	0
