% File initiated 15/12/2022 11:44:15 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59928.489065
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59937	0	0.00102346	0.00542706	0.49538415	0.00543245	0.49535152	0.61691655	0.61624538	0.31381900	0.31364767	0.61676799	0.61624694	0.31363518	0.31356008	59936	86399	0
59937	4	0.00063235	0.00540863	0.49439457	0.00541437	0.49556790	0.61690185	0.61617142	0.31371300	0.31358686	0.61682370	0.61604751	0.31366789	0.31358440	59937	2	0
59937	7	0.00116144	0.00539789	0.49671557	0.00534175	0.49512830	0.61671088	0.61607150	0.31371259	0.31366213	0.61679149	0.61626255	0.31366756	0.31371242	59937	5	0
59937	10	0.00076548	0.00536463	0.49236991	0.00539771	0.49355782	0.61668458	0.61614817	0.31371341	0.31358037	0.61672181	0.61606148	0.31366107	0.31354225	59937	9	0
59937	13	0.00083961	0.00540112	0.49438465	0.00537833	0.49416224	0.61667744	0.61595046	0.31358350	0.31359344	0.61662296	0.61600839	0.31362951	0.31358958	59937	12	0
59937	17	0.00090645	0.00539906	0.49449514	0.00539539	0.49429461	0.61664687	0.61589311	0.31363493	0.31354512	0.61660110	0.61591119	0.31360749	0.31354315	59937	15	0
59937	20	0.00073897	0.00541432	0.49502726	0.00536372	0.49552972	0.61665730	0.61590741	0.31360248	0.31349812	0.61661277	0.61609640	0.31366731	0.31361176	59937	18	0
59937	40	0.00119794	0.00537605	0.49516611	0.00537731	0.49378918	0.61631892	0.61553361	0.31350946	0.31349130	0.61620824	0.61558176	0.31347979	0.31341258	59937	39	0
59937	43	0.00122854	0.00537922	0.49410577	0.00537031	0.49401397	0.61641383	0.61575366	0.31358900	0.31354266	0.61621736	0.61550304	0.31352770	0.31341545	59937	42	0
59937	47	0.00034376	0.00539211	0.49352370	0.00535208	0.49617804	0.61617849	0.61559310	0.31347708	0.31343698	0.61623938	0.61560756	0.31357996	0.31345736	59937	45	0
59937	50	0.00032030	0.00537883	0.49516800	0.00539448	0.49523838	0.61620815	0.61567166	0.31356525	0.31356303	0.61608358	0.61558151	0.31361513	0.31345227	59937	48	0
59937	53	0.00118483	0.00539566	0.49626495	0.00537485	0.49367138	0.61619303	0.61555431	0.31352532	0.31351907	0.61616419	0.61551183	0.31362261	0.31350313	59937	52	0
59937	57	0.00081644	0.00539652	0.49344921	0.00537630	0.49455437	0.61619542	0.61556344	0.31356065	0.31350806	0.61625203	0.61540526	0.31369574	0.31342909	59937	55	0
59937	60	0.00101442	0.00536472	0.49429876	0.00540263	0.49370483	0.61605794	0.61555004	0.31360272	0.31353017	0.61602992	0.61546228	0.31357561	0.31346172	59937	58	0
59937	63	0.00049820	0.00536767	0.49292075	0.00539980	0.49446941	0.61596123	0.61532982	0.31346657	0.31342367	0.61601086	0.61540016	0.31361308	0.31349787	59937	61	0
59937	66	0.00140558	0.00539762	0.49547285	0.00539500	0.49275068	0.61596205	0.61544683	0.31352022	0.31349623	0.61604381	0.61535234	0.31356164	0.31343665	59937	65	0
59937	70	0.00016940	0.00541054	0.49323139	0.00539786	0.49693994	0.61596616	0.61538890	0.31347454	0.31344487	0.61596534	0.61547255	0.31349278	0.31352902	59937	68	0
59937	73	0.00065027	0.00538895	0.49505052	0.00540941	0.49360791	0.61614414	0.61547075	0.31356180	0.31351587	0.61611965	0.61545061	0.31359516	0.31351242	59937	71	0
59937	76	0.00126654	0.00539756	0.49673577	0.00540524	0.49488696	0.61618621	0.61548192	0.31364636	0.31357733	0.61609426	0.61541208	0.31355383	0.31345235	59937	74	0
