% File initiated 15/12/2022 11:44:15 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59928.489065
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59937	24	0.00058787	0.04004612	0.49636661	0.04000422	0.49768850	0.61602434	0.61614784	0.31357281	0.31347979	0.61596657	0.61600396	0.31365926	0.31347240	59937	22	0
59937	27	0.00035687	0.04003345	0.49616431	0.03999648	0.49685731	0.61607693	0.61596345	0.31361291	0.31357750	0.61604743	0.61606493	0.31367783	0.31357101	59937	25	0
59937	30	0.00048376	0.04008130	0.49639924	0.04002733	0.49601854	0.61609936	0.61618112	0.31368884	0.31367249	0.61584783	0.61593091	0.31368103	0.31349919	59937	29	0
59937	34	0.00105787	0.04000797	0.49652602	0.04007333	0.49480370	0.61590510	0.61590100	0.31374850	0.31346714	0.61597898	0.61610100	0.31365893	0.31361653	59937	32	0
59937	37	0.00016418	0.04003406	0.49512755	0.04000650	0.49780863	0.61597503	0.61586402	0.31380561	0.31349606	0.61572589	0.61592261	0.31386378	0.31348588	59937	35	0
59937	139	0.00084474	0.04039751	0.49735976	0.04026744	0.49531806	0.61553911	0.61559984	0.31310780	0.31286186	0.61580921	0.61578374	0.31325703	0.31300895	59937	137	0
59937	142	0.00035816	0.04015297	0.49350288	0.04034023	0.49496262	0.61555538	0.61564528	0.31311232	0.31288569	0.61562449	0.61569877	0.31297699	0.31286507	59937	140	0
59937	145	0.00165642	0.04006057	0.49883730	0.04044128	0.49494254	0.61555612	0.61574643	0.31318431	0.31288471	0.61560707	0.61572482	0.31320814	0.31286285	59937	144	0
59937	149	0.00038044	0.04029505	0.49405877	0.04020629	0.49788671	0.61569277	0.61568538	0.31290402	0.31277024	0.61557280	0.61570617	0.31299720	0.31277172	59937	147	0
59937	152	0.00103713	0.04018176	0.49630403	0.04036954	0.49433394	0.61555924	0.61573304	0.31305209	0.31273253	0.61554667	0.61572359	0.31302473	0.31269555	59937	150	0
59937	254	0.00093743	0.04033228	0.49648260	0.04032200	0.49678172	0.61611941	0.61635935	0.31239447	0.31219439	0.61649452	0.61650142	0.31229053	0.31224147	59937	252	0
59937	257	0.00123884	0.04021997	0.49755916	0.04014537	0.49665491	0.61654013	0.61641177	0.31232816	0.31218962	0.61617479	0.61633642	0.31245314	0.31208510	59937	255	0
59937	260	0.00098750	0.04019242	0.49724055	0.04019788	0.49799457	0.61639846	0.61647201	0.31221665	0.31216817	0.61659173	0.61654448	0.31257385	0.31224566	59937	259	0
59937	263	0.00159635	0.04034786	0.49738910	0.04036366	0.49556256	0.61652419	0.61662213	0.31224229	0.31216850	0.61639822	0.61654571	0.31247459	0.31212511	59937	262	0
59937	267	0.00070271	0.04041938	0.49605131	0.04038035	0.49873222	0.61651178	0.61657300	0.31231444	0.31222832	0.61644966	0.61647192	0.31244747	0.31211221	59937	265	0
59937	369	0.00144281	0.04002535	0.49964733	0.03988603	0.49742702	0.61664769	0.61679593	0.31254624	0.31223654	0.61666634	0.61666642	0.31241378	0.31223128	59937	367	0
59937	372	0.00048709	0.04009499	0.49799197	0.04013229	0.50085913	0.61669066	0.61667144	0.31238420	0.31223802	0.61656379	0.61675303	0.31265200	0.31223835	59937	370	0
59937	375	0.00107419	0.04016175	0.49819209	0.04020466	0.49643081	0.61674440	0.61669428	0.31234558	0.31225881	0.61670291	0.61665130	0.31242611	0.31224952	59937	373	0
59937	378	0.00037248	0.04026838	0.49729253	0.04026765	0.49939764	0.61675377	0.61679157	0.31243433	0.31230318	0.61659091	0.61664563	0.31253655	0.31227565	59937	377	0
59937	382	0.00036153	0.04014480	0.49691068	0.04004689	0.49694355	0.61664227	0.61679543	0.31265151	0.31231863	0.61671860	0.61679404	0.31241723	0.31235799	59937	380	0
59937	483	0.00024262	0.04028883	0.49655248	0.04022078	0.49690920	0.61664161	0.61685977	0.31292292	0.31255849	0.61681943	0.61679453	0.31275036	0.31260072	59937	482	0
59937	487	0.00016029	0.04009067	0.49725946	0.04004918	0.49750644	0.61672575	0.61686421	0.31298931	0.31265307	0.61693258	0.61690185	0.31282168	0.31264904	59937	485	0
59937	490	0.00118103	0.04012130	0.50012414	0.04037281	0.49706193	0.61685106	0.61688015	0.31293294	0.31269686	0.61676487	0.61697350	0.31299301	0.31268158	59937	488	0
59937	493	0.00103106	0.04040792	0.49729419	0.04034692	0.49774410	0.61699552	0.61715986	0.31300279	0.31281831	0.61709544	0.61714187	0.31320247	0.31273713	59937	492	0
59937	497	-0.00002976	0.04034965	0.49541500	0.04015852	0.49859746	0.61719750	0.61715871	0.31293590	0.31278397	0.61703496	0.61719109	0.31294675	0.31281075	59937	495	0
59937	598	0.00089344	0.04002471	0.49952858	0.04003154	0.49675899	0.61634037	0.61642969	0.31318250	0.31280854	0.61657875	0.61653626	0.31298742	0.31293812	59937	597	0
59937	602	0.00039975	0.04012694	0.49700600	0.04019185	0.49848707	0.61648063	0.61651589	0.31314034	0.31296368	0.61671310	0.61674457	0.31325432	0.31304042	59937	600	0
59937	605	0.00005416	0.04016488	0.49671991	0.04014609	0.49775668	0.61671039	0.61675254	0.31327930	0.31307707	0.61668541	0.61677974	0.31313089	0.31306721	59937	603	0
59937	608	0.00028176	0.04010875	0.49741553	0.04012816	0.49673272	0.61659485	0.61685369	0.31338883	0.31311315	0.61669749	0.61677382	0.31325793	0.31308800	59937	607	0
59937	611	-0.00000876	0.04012476	0.49568277	0.04016487	0.49655432	0.61666503	0.61681261	0.31340740	0.31311109	0.61660151	0.61668006	0.31328521	0.31301372	59937	610	0
59937	713	0.00042081	0.03991389	0.49835524	0.03994485	0.49706653	0.61605589	0.61617208	0.31334561	0.31319770	0.61607791	0.61614217	0.31339812	0.31324035	59937	712	0
59937	717	0.00039446	0.04000374	0.49571995	0.04007979	0.49579901	0.61606131	0.61617693	0.31356739	0.31327453	0.61629263	0.61616370	0.31338456	0.31327502	59937	715	0
59937	720	-0.00021738	0.04013915	0.49632017	0.04017302	0.49815570	0.61598300	0.61616493	0.31351324	0.31316656	0.61599369	0.61626239	0.31350477	0.31322317	59937	718	0
59937	723	0.00077596	0.04008861	0.49717015	0.03996134	0.49419011	0.61605548	0.61619484	0.31334134	0.31318496	0.61615302	0.61606476	0.31326870	0.31318973	59937	721	0
59937	726	0.00074488	0.03990088	0.49680938	0.03989948	0.49690264	0.61613288	0.61621974	0.31346188	0.31317214	0.61604061	0.61615836	0.31327174	0.31320822	59937	725	0
59937	828	0.00077577	0.03998634	0.49631494	0.03992845	0.49622226	0.61522111	0.61528529	0.31309466	0.31297469	0.61511371	0.61516638	0.31307781	0.31294675	59937	827	0
59937	831	0.00052081	0.03995690	0.49477260	0.03992614	0.49553748	0.61518545	0.61515250	0.31304831	0.31297378	0.61516556	0.61519523	0.31303903	0.31298019	59937	830	0
59937	835	0.00166544	0.03986996	0.49703031	0.03986751	0.49359644	0.61517904	0.61516112	0.31305752	0.31297534	0.61513327	0.61505258	0.31343082	0.31294371	59937	833	0
59937	838	0.00047249	0.03988572	0.49262300	0.03987424	0.49620183	0.61514313	0.61512875	0.31303977	0.31295299	0.61501905	0.61518019	0.31321307	0.31299720	59937	836	0
59937	841	0.00089777	0.03998398	0.49637325	0.03995700	0.49509742	0.61507928	0.61514198	0.31328825	0.31290977	0.61509991	0.61512637	0.31314807	0.31296343	59937	840	0
59937	943	0.00109589	0.04028239	0.49552631	0.04026965	0.49493196	0.61482241	0.61476744	0.31332334	0.31300657	0.61492841	0.61491280	0.31322942	0.31311273	59937	941	0
59937	946	0.00107594	0.04008898	0.49700095	0.04015642	0.49706079	0.61496243	0.61498823	0.31347643	0.31307083	0.61498766	0.61491724	0.31320797	0.31307083	59937	945	0
59937	950	0.00170953	0.04008243	0.49686684	0.04034957	0.49496607	0.61493088	0.61511083	0.31348111	0.31309556	0.61500031	0.61501864	0.31323057	0.31305267	59937	948	0
59937	953	0.00092063	0.04036412	0.49332719	0.04022124	0.49569390	0.61484879	0.61500155	0.31350165	0.31313180	0.61478963	0.61482488	0.31332950	0.31297986	59937	951	0
59937	956	0.00032175	0.04009514	0.49359590	0.04027475	0.49539252	0.61470277	0.61486383	0.31325456	0.31297600	0.61470146	0.61485134	0.31331874	0.31297411	59937	955	0
59937	1058	0.00125231	0.04037735	0.49892388	0.04034532	0.49613221	0.61566870	0.61570091	0.31261855	0.31230704	0.61593707	0.61590321	0.31257180	0.31242668	59937	1056	0
59937	1061	0.00096862	0.04027682	0.49617431	0.04027603	0.49702537	0.61574799	0.61600322	0.31267879	0.31241091	0.61580740	0.61595342	0.31270188	0.31238354	59937	1060	0
59937	1065	0.00141975	0.04030288	0.49684548	0.04037760	0.49549209	0.61587191	0.61588522	0.31261839	0.31235610	0.61600051	0.61598736	0.31257311	0.31235733	59937	1063	0
59937	1068	-0.00024288	0.04038866	0.49428153	0.04033178	0.49926942	0.61605400	0.61606123	0.31246383	0.31237615	0.61609385	0.61603600	0.31253885	0.31236547	59937	1066	0
59937	1071	0.00153412	0.04036216	0.50020655	0.04016845	0.49487554	0.61587380	0.61618342	0.31256777	0.31241156	0.61610421	0.61606772	0.31250836	0.31227039	59937	1069	0
59937	1173	0.00050563	0.04027263	0.49615587	0.04029102	0.49924136	0.61666610	0.61679264	0.31289917	0.31261946	0.61670513	0.61683808	0.31284970	0.31258322	59937	1171	0
59937	1176	0.00016889	0.04010471	0.49779986	0.04012634	0.49881008	0.61680357	0.61685969	0.31296606	0.31267361	0.61686462	0.61687514	0.31280369	0.31263335	59937	1175	0
