% File initiated 11/01/2023 09:51:58 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59955.411099
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59955	35521	0.00014007	0.03976515	0.47732272	0.03987668	0.47690251	0.61492102	0.61512020	0.31658079	0.31627733	0.61499703	0.61500730	0.31663453	0.31628669	59955	35520	0
59955	35525	0.00042811	0.03985519	0.47781150	0.04010976	0.47694737	0.61504387	0.61517961	0.31682064	0.31637289	0.61485947	0.61487130	0.31641505	0.31612621	59955	35523	0
59955	35528	0.00207506	0.04007885	0.48056345	0.04041604	0.47562263	0.61481452	0.61498717	0.31669903	0.31614248	0.61475848	0.61482932	0.31645868	0.31608044	59955	35526	0
59955	35531	0.00142879	0.04016159	0.47575213	0.04029550	0.47769093	0.61489431	0.61483778	0.31623854	0.31610682	0.61461855	0.61478576	0.31634528	0.31602958	59955	35529	0
59955	35534	0.00092187	0.04054419	0.47660201	0.04035511	0.47812278	0.61478240	0.61480606	0.31618127	0.31611002	0.61476292	0.61478560	0.31617831	0.31604897	59955	35533	0
59955	35636	0.00084039	0.04074940	0.47591296	0.04063715	0.47615738	0.61377809	0.61388796	0.31510161	0.31488797	0.61386199	0.61397802	0.31539193	0.31500326	59955	35635	0
59955	35639	0.00101494	0.04067467	0.47724423	0.04068425	0.47672057	0.61391360	0.61388171	0.31517302	0.31502215	0.61397958	0.61410390	0.31511526	0.31509578	59955	35638	0
59955	35643	0.00115158	0.04073856	0.47608486	0.04086377	0.47567496	0.61399840	0.61408468	0.31507220	0.31492766	0.61398163	0.61406816	0.31508411	0.31484195	59955	35641	0
59955	35646	0.00071070	0.04077974	0.47647110	0.04072802	0.47779372	0.61383356	0.61395049	0.31519250	0.31488016	0.61391212	0.61384334	0.31486825	0.31482256	59955	35644	0
59955	35649	0.00045488	0.04088609	0.47701135	0.04069615	0.47777883	0.61390562	0.61401878	0.31528782	0.31486200	0.61407736	0.61407424	0.31500449	0.31483891	59955	35648	0
59955	35751	0.00083477	0.04073539	0.47847152	0.04074788	0.47733185	0.61435560	0.61440252	0.31531740	0.31500999	0.61480885	0.61431533	0.31544271	0.31506636	59955	35749	0
