% File initiated 11/01/2023 09:51:58 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59955.411099
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59955	35538	-0.00013551	0.00567357	0.47696739	0.00570360	0.47737392	0.61524165	0.61468510	0.31610222	0.31606467	0.61523721	0.61457236	0.31605431	0.31599991	59955	35536	0
59955	35541	0.00183241	0.00569619	0.47872303	0.00573818	0.47281928	0.61518421	0.61467524	0.31600254	0.31603270	0.61530040	0.61457491	0.31606179	0.31598143	59955	35539	0
59955	35544	0.00080956	0.00574510	0.47716951	0.00575592	0.48023807	0.61535694	0.61462413	0.31609983	0.31592284	0.61523048	0.61443062	0.31598447	0.31577682	59955	35542	0
59955	35547	-0.00043126	0.00571663	0.47659786	0.00574081	0.48032032	0.61508857	0.61444483	0.31584477	0.31584732	0.61507205	0.61433801	0.31577542	0.31571051	59955	35546	0
59955	35551	0.00119796	0.00571740	0.48100865	0.00568361	0.47612098	0.61496482	0.61447220	0.31568158	0.31575989	0.61502949	0.61437893	0.31575340	0.31563885	59955	35549	0
59955	35554	0.00067515	0.00573917	0.47604775	0.00575681	0.47761618	0.61488897	0.61454558	0.31570968	0.31580147	0.61483737	0.61406676	0.31563088	0.31550951	59955	35552	0
59955	35557	0.00080404	0.00572128	0.47690382	0.00572624	0.47651715	0.61494214	0.61418263	0.31564600	0.31556761	0.61473391	0.61419865	0.31552685	0.31547697	59955	35556	0
59955	35560	0.00081477	0.00574507	0.47792915	0.00573797	0.47789696	0.61482085	0.61411253	0.31558429	0.31550163	0.61474657	0.61401779	0.31550573	0.31545290	59955	35559	0
59955	35564	0.00047496	0.00570599	0.47538631	0.00575534	0.47640574	0.61469003	0.61408032	0.31552677	0.31542627	0.61475191	0.61417720	0.31551223	0.31536777	59955	35562	0
59955	35567	0.00126094	0.00572248	0.47846264	0.00572596	0.47610471	0.61479513	0.61416972	0.31553228	0.31549398	0.61471871	0.61402929	0.31537410	0.31534681	59955	35565	0
