% File initiated 13/01/2023 16:21:37 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV 230mV 260 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59957.681680
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59957	58899	0.00079408	0.04183439	0.44738820	0.04186576	0.44500596	0.57867770	0.57897582	0.31373855	0.31340272	0.57893169	0.57898913	0.31351727	0.31340937	59957	58898	0
59957	58903	0.00139537	0.04209608	0.44801981	0.04210263	0.44621594	0.57877729	0.57878477	0.31351538	0.31331110	0.57870778	0.57884336	0.31379090	0.31335761	59957	58901	0
59957	58906	0.00112678	0.04228263	0.44489245	0.04229764	0.44569821	0.57862577	0.57874245	0.31355367	0.31323386	0.57849232	0.57871476	0.31348645	0.31320230	59957	58904	0
59957	58909	0.00182826	0.04227358	0.44683475	0.04243948	0.44473033	0.57857227	0.57866817	0.31311290	0.31314240	0.57841722	0.57847260	0.31305645	0.31301931	59957	58908	0
59957	58913	0.00070549	0.04239689	0.44328551	0.04244038	0.44665381	0.57842930	0.57888075	0.31356624	0.31327798	0.57853817	0.57845518	0.31322868	0.31296409	59957	58911	0
59957	59243	0.00083059	0.04251666	0.44640356	0.04256361	0.44602827	0.57776897	0.57775138	0.31246333	0.31217023	0.57766255	0.57798302	0.31255627	0.31226587	59957	59241	0
59957	59246	0.00079108	0.04249557	0.44453520	0.04255360	0.44465374	0.57784481	0.57786313	0.31258544	0.31223029	0.57770717	0.57793881	0.31255997	0.31228576	59957	59245	0
59957	59249	0.00117408	0.04264519	0.44695995	0.04270387	0.44581092	0.57779469	0.57788228	0.31229833	0.31229521	0.57759764	0.57768416	0.31251255	0.31221493	59957	59248	0
59957	59253	0.00013786	0.04257176	0.44491769	0.04262273	0.44802638	0.57786568	0.57790208	0.31238133	0.31225199	0.57772164	0.57784432	0.31240902	0.31224517	59957	59251	0
59957	59256	0.00097473	0.04246746	0.44868823	0.04258494	0.44617760	0.57763930	0.57774333	0.31227508	0.31214286	0.57764760	0.57770734	0.31230326	0.31220071	59957	59254	0
