% File initiated 13/01/2023 16:21:37 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV 230mV 260 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59957.681680
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59957	58916	0.00004913	0.00590335	0.44532799	0.00590463	0.44518059	0.57904271	0.57815969	0.31304215	0.31299391	0.57900778	0.57835756	0.31312884	0.31302210	59957	58914	0
59957	58919	-0.00016947	0.00587586	0.44464986	0.00592916	0.44530567	0.57890540	0.57852872	0.31296047	0.31313804	0.57896859	0.57808204	0.31291281	0.31286852	59957	58917	0
59957	58922	0.00033888	0.00591726	0.44668163	0.00588529	0.44515658	0.57887647	0.57833176	0.31289646	0.31307880	0.57888494	0.57801737	0.31285332	0.31287592	59957	58921	0
59957	58926	0.00012687	0.00590920	0.44479276	0.00587727	0.44542878	0.57877705	0.57794892	0.31288980	0.31285907	0.57887943	0.57813167	0.31293368	0.31300427	59957	58924	0
59957	58929	0.00085011	0.00591605	0.44542116	0.00592446	0.44325145	0.57889915	0.57811072	0.31289744	0.31289062	0.57888675	0.57807760	0.31291807	0.31286129	59957	58927	0
59957	58932	0.00098134	0.00594512	0.44507938	0.00590551	0.44468569	0.57886752	0.57813011	0.31292300	0.31289136	0.57887434	0.57812633	0.31292012	0.31286113	59957	58930	0
59957	58935	0.00059680	0.00590440	0.44384193	0.00590762	0.44499556	0.57887516	0.57812551	0.31288315	0.31293303	0.57876521	0.57804408	0.31289350	0.31292210	59957	58934	0
59957	58939	0.00012074	0.00588758	0.44519972	0.00590770	0.44662788	0.57881213	0.57819330	0.31286055	0.31286803	0.57874467	0.57804046	0.31290952	0.31287551	59957	58937	0
59957	58942	0.00093234	0.00589880	0.44641021	0.00589225	0.44397543	0.57880605	0.57804251	0.31289695	0.31290238	0.57886612	0.57818747	0.31287205	0.31303582	59957	58940	0
59957	58945	0.00156130	0.00592095	0.44691857	0.00589270	0.44503167	0.57877976	0.57820891	0.31285439	0.31290591	0.57879915	0.57807867	0.31290336	0.31291873	59957	58944	0
