% File initiated 13/01/2023 17:30:28 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV 230mV 260 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59957.729492
%% clock_data = False
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59958	100	0.00121336	0.04299679	0.48313809	0.04295532	0.48132934	0.57848074	0.57864590	0.31311545	0.31285447	0.57857515	0.57864237	0.31328907	0.31283836	59958	98	0
59958	103	-0.00028272	0.04311146	0.47897333	0.04306782	0.48346159	0.57865289	0.57872092	0.31297510	0.31287920	0.57869438	0.57878748	0.31302366	0.31293122	59958	102	0
59958	106	0.00069594	0.04304524	0.48301768	0.04309494	0.48008167	0.57867828	0.57873539	0.31336188	0.31295455	0.57862856	0.57875166	0.31312087	0.31294363	59958	105	0
59958	110	0.00006917	0.04323765	0.48026198	0.04290945	0.48214229	0.57858066	0.57875281	0.31338324	0.31296935	0.57868740	0.57868690	0.31309507	0.31299046	59958	108	0
59958	113	0.00118354	0.04292726	0.48509267	0.04303723	0.48174956	0.57873530	0.57874508	0.31327100	0.31295858	0.57868600	0.57874475	0.31311249	0.31292900	59958	111	0
59958	443	0.00121317	0.04287303	0.48266320	0.04289318	0.48257433	0.57883021	0.57889759	0.31320263	0.31309983	0.57872520	0.57891608	0.31342195	0.31307954	59958	442	0
59958	447	0.00106975	0.04300117	0.48153368	0.04294956	0.48196393	0.57867425	0.57887697	0.31336574	0.31302185	0.57864984	0.57888354	0.31341003	0.31308570	59958	445	0
59958	450	0.00026509	0.04287984	0.47993189	0.04279249	0.48234587	0.57871723	0.57883136	0.31341340	0.31307822	0.57872298	0.57894517	0.31354964	0.31321405	59958	448	0
59958	453	0.00034409	0.04282288	0.48185405	0.04291022	0.48161706	0.57868074	0.57897401	0.31349574	0.31308948	0.57875544	0.57893095	0.31331118	0.31312260	59958	451	0
59958	456	-0.00045468	0.04300880	0.48075970	0.04300810	0.48315601	0.57889463	0.57900606	0.31318463	0.31318636	0.57878954	0.57895380	0.31362655	0.31314684	59958	455	0
59958	787	0.00020697	0.04326724	0.48234989	0.04327218	0.48036493	0.57862330	0.57876086	0.31319745	0.31303081	0.57897853	0.57880959	0.31321496	0.31302309	59958	785	0
59958	790	0.00049181	0.04321818	0.48182137	0.04315757	0.48096684	0.57870022	0.57882495	0.31326738	0.31310805	0.57888765	0.57890006	0.31324939	0.31311241	59958	788	0
59958	793	0.00096127	0.04331875	0.48371093	0.04318077	0.48230256	0.57891222	0.57906366	0.31323254	0.31315768	0.57890211	0.57903761	0.31321693	0.31316458	59958	792	0
59958	797	0.00035203	0.04329551	0.48104252	0.04308833	0.48287023	0.57870975	0.57889817	0.31335128	0.31308841	0.57893465	0.57911863	0.31325867	0.31316393	59958	795	0
59958	800	0.00122492	0.04329540	0.48348999	0.04317221	0.48087132	0.57894320	0.57903638	0.31322827	0.31306376	0.57903597	0.57897549	0.31317395	0.31311438	59958	798	0
59958	1130	0.00196136	0.04289710	0.48175047	0.04288717	0.47954117	0.57853300	0.57867384	0.31301618	0.31290574	0.57859200	0.57873276	0.31306417	0.31286310	59958	1129	0
59958	1133	0.00019320	0.04291514	0.48104479	0.04304159	0.48634925	0.57849717	0.57872930	0.31321249	0.31284370	0.57867828	0.57865732	0.31296606	0.31290311	59958	1132	0
59958	1137	-0.00024318	0.04289900	0.48115254	0.04293857	0.48246170	0.57850391	0.57869915	0.31332120	0.31286671	0.57843201	0.57866209	0.31304231	0.31285989	59958	1135	0
59958	1140	0.00063617	0.04286123	0.48230405	0.04307208	0.47966601	0.57851213	0.57867433	0.31321816	0.31277690	0.57853809	0.57856570	0.31298405	0.31281248	59958	1138	0
59958	1143	-0.00051771	0.04311823	0.48012159	0.04318057	0.48358322	0.57844318	0.57869644	0.31311586	0.31281388	0.57855584	0.57877450	0.31299334	0.31282119	59958	1142	0
59958	1474	0.00089604	0.04314565	0.48508790	0.04307314	0.48084666	0.57909283	0.57933844	0.31367758	0.31340190	0.57914509	0.57929719	0.31360700	0.31351611	59958	1472	0
59958	1477	0.00076313	0.04308732	0.48030208	0.04315220	0.48070081	0.57919686	0.57933170	0.31365934	0.31340576	0.57928782	0.57952481	0.31351398	0.31353658	59958	1475	0
59958	1480	0.00078193	0.04297893	0.48253675	0.04303809	0.48248033	0.57921995	0.57939818	0.31358062	0.31342745	0.57924132	0.57929292	0.31360166	0.31342638	59958	1479	0
59958	1483	0.00008487	0.04300461	0.48078764	0.04304105	0.48287883	0.57920204	0.57926925	0.31354446	0.31336475	0.57920623	0.57938733	0.31360355	0.31342704	59958	1482	0
59958	1487	0.00035418	0.04303375	0.48294005	0.04298205	0.48213211	0.57915298	0.57930574	0.31364660	0.31344898	0.57931741	0.57931502	0.31345103	0.31337084	59958	1485	0
59958	1817	-0.00011591	0.04335199	0.48031248	0.04331444	0.48172275	0.57896448	0.57898658	0.31332005	0.31315785	0.57887787	0.57902274	0.31353551	0.31319376	59958	1815	0
59958	1820	0.00032827	0.04337287	0.48326346	0.04326205	0.48193090	0.57896530	0.57896760	0.31351809	0.31314799	0.57890293	0.57909382	0.31343912	0.31312153	59958	1819	0
59958	1824	0.00054288	0.04333907	0.48272111	0.04341028	0.48207728	0.57885108	0.57900647	0.31326549	0.31314092	0.57902956	0.57908782	0.31333263	0.31313960	59958	1822	0
59958	1827	0.00169319	0.04337744	0.48302744	0.04339233	0.47957653	0.57914033	0.57912266	0.31324306	0.31314864	0.57904788	0.57914780	0.31323221	0.31316993	59958	1825	0
59958	1830	0.00113138	0.04336270	0.48056877	0.04335281	0.48225418	0.57901337	0.57909398	0.31335678	0.31318899	0.57881789	0.57898305	0.31345243	0.31314831	59958	1828	0
59958	2161	0.00110154	0.04313299	0.48136684	0.04305040	0.48145639	0.57880556	0.57892348	0.31332408	0.31310353	0.57879028	0.57899702	0.31329540	0.31314404	59958	2159	0
59958	2164	0.00097305	0.04302572	0.48298785	0.04295726	0.48337331	0.57895577	0.57899595	0.31325686	0.31313295	0.57899447	0.57898650	0.31324799	0.31310213	59958	2162	0
59958	2167	0.00088695	0.04302051	0.48213548	0.04296740	0.48239379	0.57886678	0.57901921	0.31317231	0.31315218	0.57890260	0.57895495	0.31326549	0.31304839	59958	2165	0
59958	2170	0.00007669	0.04309072	0.48161596	0.04301766	0.48404673	0.57885322	0.57897303	0.31340798	0.31314782	0.57896801	0.57908363	0.31340017	0.31320707	59958	2169	0
59958	2174	0.00058549	0.04292895	0.48314712	0.04294738	0.48162072	0.57886398	0.57901091	0.31351439	0.31315620	0.57892364	0.57907451	0.31333731	0.31313106	59958	2172	0
59958	2504	0.00061840	0.04291224	0.48078462	0.04304683	0.48068587	0.57911962	0.57924419	0.31328332	0.31333468	0.57917993	0.57922381	0.31341011	0.31326837	59958	2502	0
59958	2507	0.00016731	0.04314784	0.48176462	0.04315027	0.48311789	0.57918667	0.57924099	0.31342778	0.31339738	0.57916325	0.57927764	0.31337404	0.31327741	59958	2506	0
59958	2510	0.00027767	0.04308006	0.48215029	0.04303509	0.48181922	0.57902627	0.57929366	0.31361209	0.31335481	0.57902783	0.57924904	0.31368703	0.31338489	59958	2509	0
59958	2514	0.00088777	0.04295560	0.48297734	0.04301785	0.48114704	0.57922283	0.57925364	0.31350404	0.31329499	0.57916531	0.57923548	0.31365367	0.31331586	59958	2512	0
59958	2517	0.00096796	0.04314638	0.48230419	0.04317111	0.48206361	0.57909875	0.57928429	0.31352384	0.31331463	0.57921946	0.57925906	0.31351217	0.31335333	59958	2515	0
59958	2847	0.00099976	0.04304556	0.48138230	0.04302188	0.48128690	0.57884739	0.57902060	0.31317247	0.31298101	0.57881312	0.57884780	0.31338374	0.31296984	59958	2846	0
59958	2851	0.00102339	0.04315114	0.48287696	0.04322921	0.48280608	0.57888157	0.57905577	0.31323361	0.31297173	0.57874147	0.57901658	0.31335153	0.31297641	59958	2849	0
59958	2854	0.00036942	0.04312115	0.48201859	0.04317543	0.48398048	0.57880991	0.57890121	0.31311397	0.31294338	0.57888403	0.57893178	0.31327584	0.31288504	59958	2852	0
59958	2857	0.00082947	0.04308579	0.48265372	0.04318950	0.48127357	0.57889061	0.57901050	0.31300517	0.31287296	0.57889110	0.57894591	0.31305069	0.31300049	59958	2856	0
59958	2860	0.00101715	0.04309129	0.48154702	0.04306110	0.48098397	0.57882035	0.57916933	0.31332991	0.31307609	0.57898100	0.57899209	0.31311035	0.31300649	59958	2859	0
59958	3191	0.00147228	0.04319257	0.48197222	0.04304977	0.48060683	0.57836660	0.57866201	0.31304634	0.31274797	0.57853431	0.57868370	0.31291708	0.31269210	59958	3189	0
59958	3194	0.00160382	0.04307643	0.48141895	0.04303600	0.48102435	0.57844047	0.57854228	0.31287896	0.31268248	0.57848164	0.57848386	0.31299244	0.31258347	59958	3192	0
59958	3197	0.00125270	0.04300412	0.48011875	0.04298234	0.48117211	0.57850268	0.57863448	0.31299424	0.31263063	0.57829232	0.57851607	0.31300205	0.31256555	59958	3196	0
59958	3201	0.00020878	0.04294210	0.48026348	0.04292607	0.48339523	0.57852355	0.57849232	0.31274707	0.31261247	0.57847959	0.57864878	0.31297945	0.31264378	59958	3199	0
59958	3204	0.00083830	0.04289834	0.48227198	0.04285947	0.48038341	0.57863949	0.57867540	0.31265602	0.31260869	0.57844877	0.57853275	0.31275085	0.31256999	59958	3202	0
59958	3534	0.00001233	0.04303857	0.48109789	0.04312929	0.48357581	0.57921354	0.57922505	0.31335374	0.31334240	0.57938651	0.57930475	0.31351579	0.31343279	59958	3533	0
59958	3538	0.00022426	0.04318029	0.48208885	0.04312257	0.48145305	0.57911748	0.57915241	0.31350716	0.31339918	0.57916029	0.57928150	0.31348086	0.31344019	59958	3536	0
59958	3541	0.00084398	0.04295529	0.48305622	0.04305108	0.48119706	0.57919785	0.57916580	0.31341422	0.31338982	0.57909653	0.57919809	0.31353847	0.31326015	59958	3539	0
59958	3544	0.00037659	0.04317315	0.48226761	0.04296540	0.48366980	0.57923400	0.57931675	0.31352162	0.31340773	0.57913112	0.57929062	0.31359097	0.31338341	59958	3543	0
