% File initiated 13/01/2023 17:30:28 UTC
% Raw fountain data
%
% File notes: maser 5 MHz no water cooling 200 mV 230mV 260 mV
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59957.729492
%% clock_data = False
%% sequence = 4
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59958	116	0.00146578	0.00603570	0.47838199	0.00604000	0.47855138	0.57909850	0.57839363	0.31289523	0.31290213	0.57915060	0.57839281	0.31293754	0.31297280	59958	115	0
59958	119	0.00070608	0.00599581	0.47979313	0.00602277	0.48207225	0.57920730	0.57838928	0.31295250	0.31292481	0.57920434	0.57849216	0.31302637	0.31296096	59958	118	0
59958	123	0.00031316	0.00602287	0.47836215	0.00609837	0.47954090	0.57919423	0.57844327	0.31295012	0.31291782	0.57916983	0.57833644	0.31290402	0.31292382	59958	121	0
59958	126	0.00031992	0.00606756	0.48130400	0.00604395	0.48128373	0.57916227	0.57848394	0.31300509	0.31296935	0.57913901	0.57826824	0.31284806	0.31288389	59958	124	0
59958	129	-0.00013414	0.00603365	0.47944617	0.00604992	0.48080834	0.57917895	0.57851237	0.31288923	0.31294724	0.57919037	0.57840013	0.31289613	0.31286375	59958	128	0
59958	133	0.00156033	0.00603970	0.48123219	0.00605956	0.47614879	0.57926605	0.57848394	0.31295003	0.31292900	0.57908190	0.57843004	0.31282809	0.31281790	59958	131	0
59958	136	0.00119424	0.00605593	0.47910767	0.00604763	0.48020593	0.57917213	0.57840571	0.31287304	0.31287493	0.57906966	0.57829371	0.31283968	0.31286523	59958	134	0
59958	139	0.00123730	0.00603900	0.47986797	0.00604933	0.47973880	0.57904468	0.57823817	0.31290607	0.31274773	0.57901436	0.57835370	0.31281536	0.31280196	59958	137	0
59958	142	0.00100112	0.00609315	0.47924284	0.00608937	0.47995137	0.57904139	0.57837490	0.31280582	0.31273631	0.57921494	0.57848830	0.31281051	0.31281429	59958	141	0
59958	146	-0.00026744	0.00606846	0.47917951	0.00606041	0.48298519	0.57909612	0.57846718	0.31279202	0.31275208	0.57916490	0.57838846	0.31280188	0.31270853	59958	144	0
59958	149	0.00093558	0.00604061	0.48236734	0.00607701	0.47875827	0.57918338	0.57836660	0.31279276	0.31277830	0.57919127	0.57841993	0.31284633	0.31280500	59958	147	0
59958	152	0.00083085	0.00608722	0.47884707	0.00605312	0.47916125	0.57920869	0.57842428	0.31282201	0.31279851	0.57922759	0.57837966	0.31280599	0.31274543	59958	150	0
59958	155	0.00059003	0.00603051	0.47954039	0.00604500	0.48026285	0.57922924	0.57838501	0.31287953	0.31277624	0.57918593	0.57844039	0.31286934	0.31287230	59958	154	0
59958	159	0.00039206	0.00608723	0.48041220	0.00607001	0.48100613	0.57914591	0.57850752	0.31295431	0.31297312	0.57912636	0.57837186	0.31278586	0.31274921	59958	157	0
59958	162	0.00013892	0.00605592	0.48089846	0.00606447	0.48165789	0.57914600	0.57847120	0.31276424	0.31285710	0.57924567	0.57843160	0.31287887	0.31283499	59958	160	0
59958	165	0.00011984	0.00606586	0.47924509	0.00604849	0.47930233	0.57900474	0.57823545	0.31279720	0.31276737	0.57909324	0.57845699	0.31283286	0.31277238	59958	164	0
59958	168	-0.00042189	0.00602623	0.47631985	0.00604444	0.47794504	0.57917500	0.57839922	0.31282481	0.31278635	0.57922069	0.57849898	0.31290016	0.31279300	59958	167	0
59958	172	0.00063775	0.00602813	0.48088047	0.00604255	0.47770153	0.57908831	0.57852100	0.31279720	0.31284469	0.57910245	0.57841409	0.31277476	0.31276852	59958	170	0
59958	175	0.00094925	0.00604675	0.48148780	0.00604444	0.48055330	0.57916186	0.57848476	0.31268988	0.31283664	0.57915849	0.57847959	0.31274847	0.31273976	59958	173	0
59958	178	0.00101913	0.00604181	0.47983626	0.00606072	0.47962664	0.57909858	0.57839380	0.31269497	0.31275447	0.57902430	0.57833825	0.31265413	0.31276301	59958	177	0
59958	181	0.00060541	0.00605854	0.48026654	0.00605503	0.48150770	0.57907566	0.57832798	0.31273055	0.31265003	0.57907065	0.57839511	0.31269596	0.31269136	59958	180	0
59958	185	0.00092748	0.00604813	0.47975653	0.00602398	0.47879033	0.57910080	0.57842708	0.31263367	0.31263088	0.57910844	0.57826536	0.31270599	0.31264879	59958	183	0
59958	188	0.00132856	0.00605757	0.47994272	0.00605077	0.47873948	0.57908059	0.57843538	0.31271626	0.31269908	0.57902504	0.57821360	0.31259530	0.31264592	59958	186	0
59958	191	-0.00003731	0.00601876	0.47802570	0.00604494	0.48212331	0.57918338	0.57845855	0.31268224	0.31276112	0.57927772	0.57844113	0.31265225	0.31267460	59958	190	0
59958	195	0.00148311	0.00606632	0.48157812	0.00603022	0.47701685	0.57920836	0.57846652	0.31272242	0.31260204	0.57911148	0.57841048	0.31270221	0.31265750	59958	193	0
59958	198	0.00090154	0.00606151	0.47792282	0.00608851	0.47966753	0.57910351	0.57842428	0.31275093	0.31268027	0.57916062	0.57839824	0.31268947	0.31263450	59958	196	0
