% File initiated 30/01/2023 14:26:31 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 200 220 180
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59974.601759
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59974	52239	0.00036915	0.00510134	0.44939534	0.00510059	0.44828790	0.53111607	0.53036182	0.28022981	0.28014008	0.53118387	0.53038261	0.28028051	0.28016104	59974	52238	0
59974	52243	0.00106087	0.00514499	0.45072933	0.00512180	0.44865417	0.53111024	0.53043306	0.28029029	0.28022324	0.53114911	0.53045928	0.28027747	0.28019473	59974	52241	0
59974	52246	0.00099572	0.00513026	0.44792611	0.00513109	0.44812156	0.53092010	0.53032641	0.28024534	0.28008856	0.53105420	0.53039814	0.28016925	0.28017566	59974	52244	0
59974	52249	0.00139528	0.00512358	0.44969454	0.00521732	0.44849583	0.53097827	0.53038779	0.28026810	0.28019177	0.53112659	0.53035664	0.28031067	0.28013392	59974	52247	0
59974	52252	0.00125245	0.00515453	0.44887656	0.00514162	0.44930505	0.53103834	0.53040028	0.28023737	0.28019505	0.53114582	0.53033906	0.28034000	0.28019292	59974	52251	0
59974	52256	0.00143835	0.00515242	0.44869713	0.00515253	0.44813943	0.53108214	0.53041416	0.28026868	0.28018166	0.53102125	0.53037407	0.28013597	0.28020541	59974	52254	0
59974	52259	0.00101333	0.00512369	0.44816892	0.00514594	0.44944398	0.53099586	0.53032090	0.28022858	0.28021732	0.53096833	0.53031375	0.28020459	0.28020089	59974	52257	0
59974	52262	0.00114891	0.00514664	0.44897609	0.00512572	0.44856937	0.53100679	0.53044876	0.28023080	0.28019473	0.53105905	0.53042025	0.28027041	0.28017032	59974	52260	0
59974	52265	0.00121453	0.00512435	0.44872007	0.00511979	0.44852322	0.53115371	0.53060201	0.28019185	0.28026013	0.53112709	0.53054893	0.28024773	0.28018692	59974	52264	0
59974	52269	0.00192439	0.00513796	0.45243071	0.00513935	0.45030113	0.53128888	0.53050858	0.28027106	0.28016145	0.53109134	0.53037094	0.28020820	0.28018963	59974	52267	0
59974	52272	0.00212899	0.00513560	0.45126578	0.00512621	0.45065199	0.53108863	0.53047522	0.28021305	0.28016473	0.53108090	0.53043668	0.28012258	0.28014074	59974	52270	0
59974	52275	0.00118809	0.00514533	0.44668543	0.00514561	0.44950811	0.53110408	0.53045615	0.28014559	0.28007648	0.53106751	0.53047045	0.28017796	0.28015323	59974	52274	0
59974	52278	0.00097565	0.00514147	0.44899478	0.00516529	0.44963213	0.53106587	0.53038130	0.28008371	0.28009045	0.53097630	0.53035747	0.28010105	0.28000006	59974	52277	0
59974	52282	0.00093816	0.00516140	0.44892903	0.00515073	0.44904148	0.53099635	0.53041195	0.28014559	0.28007106	0.53106998	0.53044654	0.28018930	0.28012718	59974	52280	0
59974	52285	0.00008380	0.00514059	0.44927790	0.00515384	0.45184099	0.53106110	0.53042403	0.28010869	0.28000606	0.53102848	0.53039863	0.28007508	0.28005561	59974	52283	0
59974	52288	0.00068079	0.00518187	0.44929564	0.00516446	0.44750464	0.53109381	0.53040324	0.28015504	0.28006481	0.53096192	0.53046224	0.28007927	0.28001682	59974	52287	0
59974	52291	0.00053302	0.00515379	0.44907525	0.00513004	0.44951857	0.53091640	0.53040348	0.28004517	0.27998642	0.53091779	0.53030734	0.27994238	0.27999834	59974	52290	0
59974	52295	0.00039241	0.00518891	0.44848402	0.00517649	0.44890587	0.53098140	0.53035393	0.28000376	0.27999308	0.53092363	0.53030833	0.28002915	0.27993695	59974	52293	0
59974	52298	0.00068088	0.00516316	0.45032845	0.00514118	0.44946303	0.53086488	0.53018901	0.27990614	0.27982462	0.53093390	0.53020980	0.27999949	0.27982150	59974	52296	0
