% File initiated 31/01/2023 17:34:50 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 200 220 180
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59975.732534
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59975	63293	0.00187801	0.03564083	0.48142500	0.03580748	0.47579098	0.53095222	0.53100276	0.28117454	0.28095703	0.53087958	0.53105773	0.28122688	0.28099179	59975	63292	0
59975	63297	0.00095048	0.03592936	0.47607990	0.03607856	0.47886248	0.53101147	0.53100432	0.28098111	0.28096303	0.53091385	0.53088115	0.28091570	0.28093600	59975	63295	0
59975	63300	0.00132646	0.03613574	0.47739875	0.03624669	0.47627081	0.53082412	0.53087934	0.28108440	0.28079836	0.53108534	0.53089676	0.28108086	0.28085292	59975	63298	0
59975	63303	0.00035611	0.03630044	0.47606912	0.03635577	0.47898017	0.53076109	0.53077309	0.28073229	0.28072547	0.53062600	0.53077367	0.28082128	0.28067132	59975	63301	0
59975	63306	0.00055992	0.03640936	0.47906175	0.03644581	0.47845031	0.53080029	0.53105034	0.28080863	0.28091307	0.53060612	0.53081303	0.28090255	0.28068126	59975	63305	0
59975	63637	0.00057991	0.03641197	0.47942428	0.03642673	0.47936431	0.52938842	0.52934224	0.27924885	0.27911540	0.52951784	0.52945514	0.27922116	0.27911162	59975	63635	0
59975	63640	0.00089570	0.03643797	0.47843715	0.03641738	0.47748978	0.52938727	0.52953189	0.27945189	0.27924540	0.52939573	0.52945103	0.27937005	0.27925542	59975	63638	0
59975	63643	0.00060275	0.03644233	0.47645976	0.03629641	0.47733860	0.52942581	0.52947264	0.27939668	0.27916544	0.52949664	0.52955177	0.27952881	0.27934376	59975	63642	0
59975	63647	0.00116534	0.03636654	0.47852626	0.03634331	0.47683850	0.52941594	0.52945005	0.27938131	0.27924482	0.52946911	0.52947010	0.27936767	0.27926495	59975	63645	0
59975	63650	0.00124327	0.03624077	0.47669520	0.03638485	0.47646141	0.52958505	0.52945415	0.27948131	0.27922551	0.52954331	0.52946221	0.27943858	0.27927588	59975	63648	0
59975	63980	0.00099287	0.03653750	0.47699813	0.03650625	0.47774932	0.53019189	0.53030274	0.28037830	0.28017492	0.53020619	0.53025935	0.28054478	0.28021946	59975	63979	0
59975	63983	0.00095531	0.03660395	0.47781329	0.03654352	0.47792595	0.53021893	0.53019846	0.28021962	0.28019464	0.53019419	0.53038442	0.28042785	0.28028216	59975	63982	0
59975	63987	0.00058942	0.03650991	0.47487012	0.03654770	0.47596779	0.53023010	0.53024596	0.28040484	0.28022907	0.53029337	0.53040841	0.28050081	0.28032127	59975	63985	0
