% File initiated 01/02/2023 12:35:24 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 200 220 180
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59976.524594
%% clock_data = True
%% sequence = 4
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59979	227	0.00152127	0.00519052	0.48350564	0.00517899	0.48110864	0.53345065	0.53276945	0.28262536	0.28260416	0.53337743	0.53276222	0.28263875	0.28259874	59979	226	0
59979	231	0.00007950	0.00517169	0.48174075	0.00517585	0.48606606	0.53340233	0.53301547	0.28273678	0.28280310	0.53340537	0.53276953	0.28264697	0.28266924	59979	229	0
59979	234	0.00082272	0.00518020	0.48444200	0.00519988	0.48221234	0.53344268	0.53271349	0.28270285	0.28263128	0.53345016	0.53278399	0.28270055	0.28268181	59979	232	0
59979	237	0.00033167	0.00516196	0.48013545	0.00513936	0.48160862	0.53337464	0.53282261	0.28275511	0.28264804	0.53329954	0.53271423	0.28262265	0.28265207	59979	236	0
59979	240	0.00023682	0.00514387	0.48275191	0.00518433	0.48303646	0.53352247	0.53274373	0.28273670	0.28265379	0.53342904	0.53281760	0.28271936	0.28273366	59979	239	0
59979	244	0.00112880	0.00519742	0.48329356	0.00517667	0.48061762	0.53345024	0.53282450	0.28268625	0.28270038	0.53350718	0.53284694	0.28277450	0.28272150	59979	242	0
59979	247	0.00039517	0.00515676	0.48337121	0.00521826	0.48557210	0.53350423	0.53279969	0.28274245	0.28274311	0.53344367	0.53281341	0.28275881	0.28265864	59979	245	0
59979	250	0.00012254	0.00520354	0.48141697	0.00521470	0.48223485	0.53354137	0.53279278	0.28279718	0.28276250	0.53355640	0.53290971	0.28284961	0.28278066	59979	249	0
59979	253	0.00113184	0.00518307	0.48576236	0.00514971	0.48273444	0.53350258	0.53284866	0.28282980	0.28275174	0.53346339	0.53292787	0.28280655	0.28277869	59979	252	0
59979	257	0.00061183	0.00516390	0.48220520	0.00524953	0.48376525	0.53355008	0.53285261	0.28285059	0.28274402	0.53350825	0.53279944	0.28282109	0.28273432	59979	255	0
59979	260	0.00014586	0.00520255	0.48314894	0.00515601	0.48454686	0.53360291	0.53291695	0.28283745	0.28277902	0.53355969	0.53310274	0.28282758	0.28293720	59979	258	0
59979	263	0.00041582	0.00513377	0.48497770	0.00514613	0.48416782	0.53356257	0.53293716	0.28278444	0.28280080	0.53351351	0.53299920	0.28281838	0.28280351	59979	262	0
59979	267	0.00042736	0.00516038	0.48278703	0.00518023	0.48275240	0.53368369	0.53306954	0.28284763	0.28282989	0.53367284	0.53311802	0.28291255	0.28286678	59979	265	0
