% File initiated 01/02/2023 12:35:24 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 200 220 180
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59976.524594
%% clock_data = True
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59980	20	0.00099681	0.03733898	0.48673326	0.03729960	0.48419460	0.53947070	0.53946988	0.28900015	0.28894690	0.53933561	0.53929592	0.28905931	0.28889653	59980	18	0
59980	23	0.00042877	0.03703606	0.48540150	0.03723426	0.48710563	0.53954885	0.53950472	0.28900713	0.28893178	0.53922821	0.53924974	0.28887903	0.28871337	59980	21	0
59980	26	0.00035756	0.03714859	0.48620465	0.03717278	0.48641827	0.53934079	0.53946635	0.28900828	0.28885700	0.53917529	0.53937949	0.28893852	0.28880918	59980	24	0
59980	29	0.00099617	0.03718922	0.48670865	0.03729765	0.48479280	0.53944391	0.53941203	0.28884945	0.28877820	0.53947218	0.53945509	0.28909103	0.28883753	59980	28	0
59980	33	0.00111577	0.03730721	0.48612260	0.03715061	0.48576382	0.53950431	0.53952222	0.28894895	0.28892167	0.53946101	0.53938549	0.28904855	0.28880400	59980	31	0
59980	363	0.00014333	0.03710123	0.48421392	0.03717986	0.48713123	0.53977646	0.53986332	0.28969984	0.28949096	0.53982650	0.53979807	0.28967864	0.28947732	59980	361	0
59980	366	0.00131086	0.03713690	0.48730478	0.03715592	0.48380219	0.53981360	0.53987145	0.28971299	0.28951462	0.53988279	0.53990276	0.28962843	0.28953533	59980	365	0
59980	369	0.00137033	0.03705670	0.48704908	0.03709435	0.48687066	0.53987433	0.53986512	0.28974684	0.28949934	0.53998115	0.53993226	0.28957157	0.28953451	59980	368	0
59980	373	0.00053517	0.03697048	0.48567877	0.03695243	0.48818425	0.53980695	0.53977391	0.28967699	0.28943073	0.53968681	0.53968517	0.28954043	0.28946672	59980	371	0
59980	376	0.00019391	0.03700083	0.48588808	0.03699687	0.48691184	0.53970744	0.53998189	0.28960592	0.28961824	0.53972938	0.53979947	0.28944009	0.28946713	59980	374	0
59980	706	0.00033541	0.03727006	0.48756140	0.03730770	0.48713692	0.53995420	0.53993020	0.28940328	0.28946105	0.53983538	0.53985009	0.28936195	0.28936261	59980	705	0
59980	710	0.00036660	0.03724984	0.48670063	0.03737956	0.48660706	0.53977260	0.53989882	0.28932793	0.28934305	0.53985978	0.53990958	0.28949466	0.28934387	59980	708	0
59980	713	0.00038807	0.03735602	0.48651239	0.03737223	0.48644797	0.53987819	0.53983653	0.28951356	0.28932004	0.53994385	0.53997376	0.28938512	0.28937518	59980	711	0
59980	716	0.00033175	0.03732439	0.48627473	0.03731881	0.48644368	0.53981270	0.53986299	0.28947485	0.28931018	0.53983571	0.53999233	0.28951454	0.28943007	59980	715	0
59980	719	0.00002379	0.03729895	0.48524699	0.03720343	0.48617087	0.54002848	0.54000260	0.28950838	0.28947855	0.53994130	0.53991476	0.28956467	0.28932341	59980	718	0
59980	1050	0.00080162	0.03715991	0.48765574	0.03711434	0.48532225	0.54007055	0.53997581	0.28965612	0.28962317	0.53999643	0.53999011	0.28960419	0.28964676	59980	1048	0
59980	1053	0.00114616	0.03703403	0.48784947	0.03707826	0.48681585	0.53998362	0.54005765	0.28973197	0.28965678	0.54002865	0.54020474	0.28969820	0.28981973	59980	1051	0
59980	1056	0.00007426	0.03703515	0.48487769	0.03709395	0.48809341	0.53995814	0.53993004	0.28980231	0.28957173	0.53996948	0.53999874	0.28961257	0.28954125	59980	1055	0
59980	1060	-0.00002898	0.03691791	0.48651344	0.03692267	0.48682314	0.53998033	0.53995740	0.28971570	0.28956179	0.54007294	0.53998370	0.28960074	0.28955448	59980	1058	0
59980	1063	-0.00023211	0.03693092	0.48638010	0.03687973	0.48698952	0.53988542	0.53997236	0.28981652	0.28953459	0.54006086	0.53998625	0.28972556	0.28965801	59980	1061	0
59980	1393	0.00052542	0.03723864	0.48937926	0.03737923	0.48710666	0.53974861	0.53992092	0.28930665	0.28914584	0.53981352	0.53977712	0.28923976	0.28916145	59980	1392	0
59980	1397	0.00017791	0.03734812	0.48662756	0.03734665	0.48767007	0.53989906	0.53992725	0.28947913	0.28927937	0.54003810	0.53967408	0.28959022	0.28913064	59980	1395	0
59980	1400	0.00047984	0.03733428	0.48762510	0.03725449	0.48671932	0.53991254	0.53982913	0.28932119	0.28921305	0.53976364	0.53994951	0.28932144	0.28924379	59980	1398	0
59980	1403	0.00073631	0.03731359	0.48797811	0.03721922	0.48720869	0.53981705	0.54002544	0.28946869	0.28935365	0.54000079	0.53976471	0.28950041	0.28913984	59980	1401	0
59980	1406	0.00066720	0.03740709	0.48611440	0.03719963	0.48632174	0.53975888	0.53981697	0.28915233	0.28918413	0.53983694	0.53992544	0.28926638	0.28931232	59980	1405	0
59980	1737	0.00078531	0.03710501	0.48685193	0.03712219	0.48649760	0.53995905	0.53984943	0.28944018	0.28936573	0.53974433	0.53980292	0.28928980	0.28928923	59980	1735	0
59980	1740	0.00160460	0.03700369	0.48841389	0.03694354	0.48595601	0.53973620	0.53979733	0.28951150	0.28926679	0.54010663	0.53996932	0.28971701	0.28948225	59980	1738	0
59980	1743	0.00073632	0.03710764	0.48552014	0.03716882	0.48812500	0.53986365	0.53993037	0.28936491	0.28941232	0.53978583	0.53988854	0.28946639	0.28939950	59980	1742	0
59980	1747	0.00028395	0.03716143	0.48688794	0.03714937	0.48824504	0.53998715	0.53993875	0.28965596	0.28945990	0.53991730	0.53983760	0.28957790	0.28934831	59980	1745	0
59980	1750	0.00043188	0.03708790	0.48693710	0.03711382	0.48649332	0.53989898	0.53989462	0.28943508	0.28941741	0.53985600	0.53980785	0.28939679	0.28945250	59980	1748	0
59980	2080	0.00072910	0.03712691	0.48660445	0.03716230	0.48571280	0.53933298	0.53931803	0.28874246	0.28867319	0.53925566	0.53933117	0.28878790	0.28870827	59980	2079	0
59980	2083	0.00028020	0.03714714	0.48628489	0.03707166	0.48763159	0.53931112	0.53925180	0.28894887	0.28870326	0.53936938	0.53936289	0.28877886	0.28873375	59980	2082	0
59980	2087	0.00068704	0.03707942	0.48808728	0.03708681	0.48686675	0.53937579	0.53926494	0.28872011	0.28873572	0.53939905	0.53949774	0.28882718	0.28877631	59980	2085	0
59980	2090	0.00092422	0.03709367	0.48601250	0.03705038	0.48530095	0.53944646	0.53934523	0.28882216	0.28874895	0.53941220	0.53949190	0.28894485	0.28876128	59980	2088	0
