% File initiated 08/02/2023 10:20:11 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 210 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59983.430684
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
59987	2	0.00035547	0.00579619	0.46935628	0.00581055	0.46947811	0.52576063	0.52519775	0.27623504	0.27622691	0.52571173	0.52522010	0.27622222	0.27610916	59987	0	0
59987	5	0.00031818	0.00577713	0.46831302	0.00579093	0.46842488	0.52579218	0.52533925	0.27626298	0.27619683	0.52577895	0.52527557	0.27617136	0.27618188	59987	4	0
59987	8	0.00084814	0.00584081	0.46905045	0.00580291	0.46746058	0.52594165	0.52536604	0.27635173	0.27627991	0.52587271	0.52536094	0.27626093	0.27630283	59987	7	0
59987	12	0.00048092	0.00581525	0.46995725	0.00582702	0.47105893	0.52603204	0.52540318	0.27633118	0.27628591	0.52596729	0.52537228	0.27632560	0.27624646	59987	10	0
59987	15	0.00152384	0.00583086	0.47167550	0.00581860	0.46854675	0.52585841	0.52534443	0.27627103	0.27620817	0.52584518	0.52538469	0.27633365	0.27627144	59987	13	0
59987	18	0.00011737	0.00577098	0.46732269	0.00579256	0.47154211	0.52590336	0.52532495	0.27632034	0.27634803	0.52593236	0.52527450	0.27630776	0.27626084	59987	17	0
59987	21	0.00052343	0.00576907	0.46980306	0.00579061	0.46858486	0.52589604	0.52526111	0.27633110	0.27621959	0.52585307	0.52544246	0.27627925	0.27630062	59987	20	0
59987	25	0.00033641	0.00580714	0.47023647	0.00581133	0.47079753	0.52595307	0.52537475	0.27634704	0.27634006	0.52577747	0.52528863	0.27623217	0.27626438	59987	23	0
59987	45	0.00090287	0.00581757	0.46893304	0.00577541	0.46723367	0.52579645	0.52528691	0.27625000	0.27629191	0.52572505	0.52523678	0.27624383	0.27620094	59987	43	0
59987	48	0.00009153	0.00582549	0.46735620	0.00580171	0.46979021	0.52578873	0.52516784	0.27620571	0.27624310	0.52585488	0.52524089	0.27632691	0.27625402	59987	47	0
