% File initiated 08/02/2023 10:20:11 UTC
% Raw fountain data
%
% File notes: maser 5 MHz RF amplitudes 210 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 59983.430684
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60001	24	0.00095389	0.03689369	0.48364287	0.03698402	0.48418451	0.53929913	0.53922090	0.28970436	0.28957420	0.53933865	0.53924867	0.28974717	0.28966566	60001	23	0
60001	28	0.00068881	0.03692623	0.48424254	0.03699971	0.48503777	0.53924662	0.53939740	0.28982581	0.28974618	0.53933767	0.53942460	0.28968595	0.28976344	60001	26	0
60001	31	-0.00005260	0.03700149	0.48216500	0.03706595	0.48438924	0.53918392	0.53933011	0.28968587	0.28968842	0.53933265	0.53931671	0.28972901	0.28965432	60001	29	0
60001	34	0.00128618	0.03698275	0.48641581	0.03693457	0.48239948	0.53929033	0.53926889	0.28973517	0.28965095	0.53935435	0.53933750	0.28978168	0.28961569	60001	33	0
60001	37	0.00057198	0.03680919	0.48303027	0.03702309	0.48517284	0.53905705	0.53917184	0.28967897	0.28957034	0.53919592	0.53932008	0.28958956	0.28960214	60001	36	0
60001	139	0.00045480	0.03688730	0.48371088	0.03681882	0.48406244	0.53875047	0.53876879	0.28923623	0.28917542	0.53875721	0.53885573	0.28919563	0.28907303	60001	138	0
60001	143	0.00098841	0.03689310	0.48482299	0.03687951	0.48322216	0.53881177	0.53896206	0.28922045	0.28921059	0.53896830	0.53902673	0.28955160	0.28926704	60001	141	0
60001	146	0.00016170	0.03682949	0.48199594	0.03692856	0.48447606	0.53892295	0.53896288	0.28939515	0.28928652	0.53897250	0.53907652	0.28952950	0.28932645	60001	144	0
60001	149	0.00160186	0.03697337	0.48561535	0.03686435	0.48129486	0.53897126	0.53896173	0.28936910	0.28927353	0.53900577	0.53901761	0.28937699	0.28930624	60001	147	0
60001	152	0.00069782	0.03688720	0.48281661	0.03685816	0.48552874	0.53900816	0.53917143	0.28938249	0.28944971	0.53887052	0.53888934	0.28955283	0.28924494	60001	151	0
60001	254	0.00183234	0.03682235	0.48639970	0.03682586	0.48299614	0.53920783	0.53912525	0.28956048	0.28949441	0.53903281	0.53914974	0.28974758	0.28956680	60001	253	0
60001	257	0.00046064	0.03680116	0.48366480	0.03674486	0.48777992	0.53919124	0.53943331	0.28972079	0.28974651	0.53923438	0.53918442	0.28960378	0.28954938	60001	256	0
60001	261	0.00084209	0.03674855	0.48444568	0.03699556	0.48330131	0.53912468	0.53921794	0.28958168	0.28956721	0.53925434	0.53921515	0.28975711	0.28960690	60001	259	0
60001	264	0.00104720	0.03698695	0.48382666	0.03694817	0.48321135	0.53930077	0.53925434	0.28962909	0.28961709	0.53935303	0.53933495	0.28971192	0.28969746	60001	262	0
60001	267	0.00106485	0.03703804	0.48462999	0.03691295	0.48457702	0.53910643	0.53941975	0.28990420	0.28974413	0.53934481	0.53934901	0.28990371	0.28975128	60001	266	0
60001	369	0.00099408	0.03718348	0.48305780	0.03724417	0.48327012	0.53931967	0.53943734	0.28996772	0.28989984	0.53952477	0.53950102	0.28995712	0.28990461	60001	367	0
60001	372	0.00149121	0.03716890	0.48348433	0.03714989	0.48199294	0.53938261	0.53938475	0.29011398	0.28990749	0.53937727	0.53944547	0.28998004	0.28993748	60001	371	0
60001	376	0.00099870	0.03702073	0.48368476	0.03707949	0.48516228	0.53946758	0.53966726	0.28999607	0.29012450	0.53935541	0.53950842	0.29018958	0.28999894	60001	374	0
60001	379	0.00182030	0.03724445	0.48508923	0.03731809	0.48262445	0.53946142	0.53952148	0.28996016	0.28992852	0.53933290	0.53936840	0.29008736	0.28992014	60001	377	0
60001	382	0.00085009	0.03728234	0.48351642	0.03726680	0.48642705	0.53951984	0.53951844	0.28998004	0.28989187	0.53944671	0.53950727	0.29001899	0.28991455	60001	381	0
60001	484	0.00048540	0.03716326	0.48446492	0.03714860	0.48555898	0.53950981	0.53964063	0.28991143	0.28987495	0.53954737	0.53952009	0.29020930	0.28987733	60001	482	0
60001	487	0.00066935	0.03715247	0.48375862	0.03718864	0.48320678	0.53955230	0.53957481	0.29015811	0.28991102	0.53950521	0.53950209	0.29008859	0.28994413	60001	486	0
60001	491	0.00105928	0.03717466	0.48381076	0.03718074	0.48264097	0.53954556	0.53960464	0.29003296	0.28992704	0.53964170	0.53970785	0.29010166	0.29001809	60001	489	0
60001	494	0.00048952	0.03720638	0.48300510	0.03722710	0.48471436	0.53951762	0.53955632	0.28990831	0.28986418	0.53953808	0.53956791	0.28997207	0.28986993	60001	492	0
60001	497	0.00051597	0.03732354	0.48448108	0.03728708	0.48440173	0.53949461	0.53952880	0.29015030	0.28990560	0.53936881	0.53945944	0.28997815	0.28986911	60001	495	0
60001	599	0.00014388	0.03697613	0.48273812	0.03705070	0.48385440	0.53940209	0.53941975	0.28989606	0.28978521	0.53947308	0.53953701	0.29003017	0.28992943	60001	597	0
60001	602	-0.00014139	0.03702894	0.48483552	0.03706443	0.48569135	0.53951310	0.53951425	0.29013453	0.28992006	0.53955074	0.53962157	0.29014102	0.28997914	60001	601	0
60001	605	0.00075264	0.03694103	0.48299923	0.03694100	0.48031712	0.53935739	0.53949190	0.29000297	0.28991644	0.53935254	0.53950184	0.29014118	0.28993091	60001	604	0
60001	609	0.00143352	0.03699044	0.48385431	0.03702226	0.48181167	0.53960094	0.53961614	0.29005375	0.29001357	0.53963020	0.53962272	0.29015055	0.29003050	60001	607	0
60001	612	0.00052427	0.03705670	0.48228076	0.03701161	0.48500852	0.53954301	0.53970579	0.29006517	0.28995498	0.53946643	0.53956799	0.29009204	0.28999073	60001	610	0
60001	714	0.00054360	0.03694210	0.48324560	0.03684718	0.48318759	0.53915960	0.53928204	0.28974881	0.28962802	0.53945616	0.53936544	0.28977634	0.28971668	60001	712	0
60001	717	0.00094759	0.03687326	0.48535866	0.03695168	0.48414670	0.53933134	0.53944523	0.28977609	0.28972022	0.53930192	0.53934777	0.28985810	0.28967322	60001	715	0
60001	720	0.00127493	0.03708474	0.48462901	0.03704849	0.48364699	0.53954120	0.53939749	0.28988341	0.28970354	0.53945936	0.53940751	0.28981496	0.28963862	60001	719	0
60001	724	0.00020028	0.03687528	0.48173699	0.03685382	0.48496092	0.53932468	0.53929083	0.28981817	0.28966607	0.53920685	0.53930521	0.28987955	0.28962046	60001	722	0
60001	727	0.00108629	0.03680848	0.48477559	0.03692956	0.48211758	0.53924662	0.53919871	0.28978694	0.28959145	0.53925097	0.53933857	0.28967157	0.28966303	60001	725	0
60001	829	0.00019030	0.03696467	0.48181072	0.03693549	0.48449869	0.53885014	0.53892221	0.28923121	0.28917493	0.53890594	0.53899353	0.28928257	0.28926630	60001	827	0
60001	832	0.00141083	0.03691586	0.48370287	0.03700503	0.48004128	0.53893618	0.53901481	0.28943738	0.28925332	0.53892919	0.53899854	0.28940887	0.28924050	60001	830	0
60001	835	0.00039954	0.03702609	0.48208683	0.03705762	0.48512071	0.53903002	0.53898523	0.28931018	0.28917271	0.53895121	0.53897619	0.28920591	0.28912809	60001	834	0
60001	838	0.00104548	0.03704954	0.48487066	0.03694736	0.48293284	0.53888145	0.53888202	0.28927797	0.28912439	0.53888424	0.53892730	0.28917402	0.28916482	60001	837	0
