% File initiated 06/04/2023 12:22:53 UTC
% Raw fountain data
%
% File notes: 1-1 fringe track thermocube on
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60040.515898
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60040	44576	0.01732658	0.02618536	0.94372747	0.02623263	0.94788585	0.50947349	0.50970603	0.27367367	0.27383933	0.50963019	0.50970176	0.27382273	0.27391172	60040	44574	0
60040	44579	0.02649950	0.02634361	0.94512517	0.02637005	0.94732667	0.50966930	0.50993307	0.27385264	0.27408322	0.50953758	0.50965122	0.27369487	0.27381944	60040	44578	0
60040	44582	0.02542073	0.02651682	0.94632711	0.02658363	0.94606821	0.50961367	0.50973865	0.27380548	0.27385733	0.50980661	0.50973693	0.27386702	0.27386160	60040	44581	0
60040	44586	0.02516009	0.02663128	0.94526768	0.02664083	0.94520513	0.50946083	0.50968746	0.27368222	0.27391485	0.50974654	0.50974547	0.27378674	0.27389340	60040	44584	0
60040	44589	0.02522232	0.02670943	0.94583293	0.02676140	0.94584787	0.50980365	0.50963183	0.27386324	0.27381895	0.50978336	0.50959683	0.27390967	0.27388765	60040	44587	0
60040	44592	0.02259616	0.02671580	0.94462957	0.02661497	0.94399930	0.50949814	0.50944678	0.27367836	0.27368140	0.50947571	0.50977350	0.27364771	0.27388568	60040	44591	0
60040	44595	0.02045539	0.02670782	0.94656032	0.02658629	0.94604653	0.50940643	0.50947538	0.27356241	0.27365748	0.50952345	0.50955319	0.27366636	0.27367458	60040	44594	0
60040	44599	0.02200838	0.02681124	0.94564193	0.02671598	0.94601464	0.50948170	0.50946067	0.27363127	0.27370071	0.50943840	0.50963956	0.27367786	0.27373095	60040	44597	0
60040	44602	0.02885464	0.02673429	0.94589991	0.02665782	0.94754301	0.50950734	0.50955360	0.27368542	0.27370662	0.50943561	0.50951523	0.27356874	0.27364508	60040	44600	0
60040	44605	0.02955095	0.02679669	0.94714048	0.02675061	0.94730760	0.50948655	0.50954991	0.27373366	0.27376825	0.50943207	0.50948335	0.27359684	0.27369307	60040	44604	0
60040	44609	0.01619668	0.02674985	0.94663765	0.02677461	0.94343263	0.50933725	0.50948211	0.27352272	0.27369060	0.50933478	0.50933026	0.27353439	0.27357071	60040	44607	0
60040	44612	0.02167882	0.02666483	0.94412792	0.02672633	0.94544364	0.50938063	0.50932582	0.27354581	0.27360966	0.50931950	0.50948113	0.27351623	0.27356973	60040	44610	0
60040	44615	0.03446179	0.02672768	0.94308624	0.02665212	0.94615415	0.50935500	0.50939238	0.27349972	0.27354499	0.50935228	0.50938400	0.27352765	0.27358542	60040	44613	0
