% File initiated 06/04/2023 16:00:28 UTC
% Raw fountain data
%
% File notes: Normal operation
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60040.666998
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60040	57631	0.00101956	0.07327689	0.48245449	0.07316863	0.47939582	0.63967815	0.64001169	0.32645189	0.32635780	0.63968259	0.63996394	0.32650933	0.32628385	60040	57629	0
60040	57634	0.00097950	0.07293383	0.47951081	0.07266979	0.47963100	0.63979262	0.64013889	0.32657926	0.32633915	0.63962597	0.63992278	0.32643718	0.32625928	60040	57633	0
60040	57637	0.00067901	0.07321991	0.47864433	0.07170680	0.47954580	0.63951997	0.63980995	0.32646159	0.32628352	0.63953788	0.63972877	0.32645123	0.32625451	60040	57636	0
60040	57641	0.00185913	0.07344078	0.48203947	0.07294608	0.47849910	0.63977725	0.64025795	0.32666118	0.32667047	0.64000092	0.64047604	0.32667548	0.32669232	60040	57639	0
60040	57644	0.00052581	0.07279377	0.47828267	0.07283248	0.48228263	0.63986246	0.63983880	0.32669676	0.32637374	0.63893992	0.63936582	0.32627851	0.32615607	60040	57642	0
60040	57746	0.00076349	0.07244901	0.48014172	0.07228598	0.47942868	0.63961932	0.63998638	0.32665896	0.32645485	0.63962080	0.64002664	0.32664869	0.32662133	60040	57744	0
60040	57749	0.00215331	0.07234151	0.48030976	0.07270524	0.47614031	0.63988917	0.63978054	0.32674993	0.32644901	0.63964101	0.63987635	0.32665411	0.32656972	60040	57747	0
60040	57752	0.00127860	0.07297830	0.47837771	0.07279560	0.48100184	0.63961825	0.63977158	0.32677072	0.32644515	0.63972589	0.64001111	0.32667088	0.32652354	60040	57751	0
60040	57756	0.00121992	0.07273725	0.47852086	0.07250195	0.47869689	0.63976903	0.63988835	0.32682133	0.32646528	0.63968029	0.64003346	0.32660810	0.32645600	60040	57754	0
60040	57759	0.00136815	0.07249839	0.47996721	0.07169013	0.47952254	0.63938957	0.63970856	0.32647909	0.32620685	0.63967643	0.63979878	0.32659339	0.32636076	60040	57757	0
60040	57861	0.00174347	0.07346489	0.47928189	0.07313853	0.47815591	0.63979122	0.63956287	0.32651837	0.32621335	0.63925628	0.63966279	0.32632666	0.32631154	60040	57859	0
60040	57864	0.00106757	0.07273583	0.47936670	0.07324685	0.48139440	0.63905504	0.63920994	0.32612887	0.32617949	0.63954988	0.63992286	0.32651072	0.32658304	60040	57862	0
60040	57867	0.00180311	0.07311682	0.47943717	0.07287090	0.47723055	0.63941906	0.63966542	0.32666307	0.32635065	0.63936064	0.63953008	0.32652962	0.32641360	60040	57866	0
60040	57870	0.00011141	0.07328217	0.47616998	0.07314128	0.48124509	0.63972236	0.63978703	0.32664014	0.32643077	0.63977010	0.63981825	0.32703523	0.32648501	60040	57869	0
60040	57874	0.00031156	0.07335752	0.47820183	0.07321897	0.47760136	0.63967626	0.63987019	0.32660744	0.32659610	0.63968325	0.64001768	0.32682035	0.32666093	60040	57872	0
60040	57976	0.00129373	0.07311191	0.48099747	0.07288015	0.47805096	0.63883877	0.63902029	0.32579353	0.32559722	0.63901692	0.63916031	0.32579731	0.32576830	60040	57974	0
60040	57979	0.00068393	0.07233567	0.47873944	0.07314523	0.48056885	0.63898339	0.63926606	0.32598540	0.32579016	0.63927773	0.63942671	0.32603890	0.32577447	60040	57977	0
60040	57982	0.00156643	0.07310790	0.47957628	0.07326636	0.47692877	0.63913105	0.63925185	0.32601120	0.32575631	0.63890985	0.63916992	0.32573198	0.32562204	60040	57980	0
60040	57985	0.00047070	0.07271480	0.47668741	0.07329012	0.47997460	0.63866046	0.63905102	0.32575097	0.32562360	0.63879226	0.63904822	0.32570635	0.32562212	60040	57984	0
60040	57989	0.00017422	0.07293943	0.47825425	0.07324735	0.47914370	0.63873030	0.63886211	0.32577126	0.32533534	0.63892357	0.63909260	0.32571785	0.32564143	60040	57987	0
60040	58090	0.00101133	0.07287280	0.48036394	0.07301293	0.47785262	0.63944856	0.63968177	0.32618500	0.32601761	0.63945522	0.63981809	0.32627596	0.32617045	60040	58089	0
60040	58094	0.00051840	0.07322383	0.47765808	0.07289874	0.47913687	0.63951981	0.63978859	0.32639610	0.32613085	0.63970436	0.63988826	0.32644622	0.32616519	60040	58092	0
60040	58097	-0.00043399	0.07291649	0.47742426	0.07264968	0.48028142	0.63935127	0.63964890	0.32622165	0.32611047	0.63947297	0.63965038	0.32654302	0.32622386	60040	58095	0
60040	58100	0.00121606	0.07319979	0.48224511	0.07288215	0.47729497	0.63939589	0.63966353	0.32623274	0.32619420	0.63954561	0.63974685	0.32629560	0.32612304	60040	58099	0
60040	58104	0.00150513	0.07170406	0.48036224	0.07296601	0.47949503	0.63948620	0.63985597	0.32614038	0.32615147	0.63959582	0.63988161	0.32629576	0.32614260	60040	58102	0
60040	58205	0.00138306	0.07341754	0.47869416	0.07351919	0.47906036	0.63908109	0.63935916	0.32578556	0.32562820	0.63917847	0.63941397	0.32569115	0.32564455	60040	58204	0
60040	58209	0.00025451	0.07320968	0.47789712	0.07333784	0.48128279	0.63948809	0.63950921	0.32586823	0.32570840	0.63918167	0.63938159	0.32572130	0.32573420	60040	58207	0
60040	58212	0.00246226	0.07317462	0.48171393	0.07311641	0.47509069	0.63945144	0.63942638	0.32601030	0.32566921	0.63938661	0.63956237	0.32587463	0.32583831	60040	58210	0
60040	58215	0.00051411	0.07325781	0.47606420	0.07324646	0.48190865	0.63931832	0.63974389	0.32608779	0.32593322	0.63939203	0.63956360	0.32612197	0.32589888	60040	58214	0
60040	58218	0.00030456	0.07355858	0.47868204	0.07328939	0.47931068	0.63944355	0.63982072	0.32599255	0.32599058	0.63954364	0.63963115	0.32607982	0.32591137	60040	58217	0
60040	58320	0.00098965	0.07353265	0.47878069	0.07337553	0.47672541	0.64024168	0.64081195	0.32730179	0.32719867	0.64056873	0.64061778	0.32736942	0.32698412	60040	58319	0
60040	58323	0.00070519	0.07358390	0.47837884	0.07332361	0.47923223	0.64021810	0.64044867	0.32725536	0.32693917	0.64022295	0.64039576	0.32709299	0.32688723	60040	58322	0
60040	58327	0.00127618	0.07367883	0.47889668	0.07356657	0.47718371	0.64019953	0.64053972	0.32722964	0.32696160	0.64018482	0.64037792	0.32717631	0.32683752	60040	58325	0
60040	58330	0.00118284	0.07368498	0.47821567	0.07353427	0.47849569	0.64014374	0.64044358	0.32689044	0.32680630	0.64020315	0.64020372	0.32689496	0.32671681	60040	58328	0
60040	58333	0.00119282	0.07330019	0.47883303	0.07331384	0.47880310	0.64017570	0.64023149	0.32697154	0.32675708	0.64012171	0.64046683	0.32705741	0.32683933	60040	58332	0
60040	58435	0.00069687	0.07354079	0.47832248	0.07359021	0.47981032	0.64005474	0.64026223	0.32650201	0.32620932	0.64027061	0.64049674	0.32648517	0.32636865	60040	58433	0
60040	58438	0.00174454	0.07350519	0.48033255	0.07350048	0.47718956	0.64032238	0.64044826	0.32647605	0.32636265	0.64035040	0.64043339	0.32638673	0.32640333	60040	58437	0
60040	58442	0.00170428	0.07401712	0.48009176	0.07398979	0.48021254	0.64011169	0.64055262	0.32650325	0.32642305	0.64014554	0.64031893	0.32665987	0.32636651	60040	58440	0
60040	58445	0.00127536	0.07380223	0.47612363	0.07378658	0.47741037	0.64021818	0.64043158	0.32659322	0.32646413	0.64022476	0.64039387	0.32670062	0.32633734	60040	58443	0
60040	58448	0.00092787	0.07382928	0.47834455	0.07370506	0.47938704	0.64016222	0.64048146	0.32667400	0.32652593	0.64022648	0.64051121	0.32644482	0.32638952	60040	58447	0
60040	58550	0.00148192	0.07325789	0.47982760	0.07343150	0.47816542	0.64032344	0.64061795	0.32684952	0.32658895	0.64051260	0.64071598	0.32702142	0.32670596	60040	58548	0
60040	58553	0.00150937	0.07372477	0.47938406	0.07360209	0.47930172	0.64038852	0.64077112	0.32691123	0.32676348	0.64076635	0.64081631	0.32693465	0.32681049	60040	58552	0
