% File initiated 12/04/2023 15:36:49 UTC
% Raw fountain data
%
% File notes: Normal operation
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60046.650577
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60046	56229	0.00007185	0.00993257	0.43877571	0.00995724	0.43856015	0.67124558	0.66998071	0.34945360	0.34946929	0.67138100	0.66972343	0.34946157	0.34935450	60046	56227	0
60046	56232	0.00184114	0.00988332	0.44161352	0.00993001	0.43630566	0.67135692	0.66977389	0.34942985	0.34938342	0.67134509	0.66979410	0.34946675	0.34933839	60046	56230	0
60046	56235	0.00016278	0.00982690	0.43678193	0.00987066	0.44181701	0.67137393	0.66962253	0.34950865	0.34929476	0.67119044	0.66974381	0.34939509	0.34937529	60046	56233	0
60046	56238	0.00167674	0.00992147	0.43920560	0.00996258	0.43466372	0.67125889	0.66992927	0.34926879	0.34936937	0.67137648	0.66998433	0.34934267	0.34940380	60046	56237	0
60046	56242	0.00048882	0.00996729	0.43656918	0.01001198	0.44013293	0.67110400	0.66964463	0.34932788	0.34923979	0.67111435	0.66928587	0.34926099	0.34912927	60046	56240	0
60046	56245	0.00206847	0.01000313	0.44014880	0.00996691	0.43540986	0.67125979	0.66948793	0.34925014	0.34916435	0.67127910	0.66987561	0.34916937	0.34923765	60046	56243	0
60046	56248	0.00116932	0.00995589	0.43836809	0.00986630	0.44106554	0.67079561	0.66930608	0.34911637	0.34907733	0.67095560	0.66961932	0.34908728	0.34901965	60046	56246	0
60046	56251	0.00062769	0.00991879	0.43781910	0.00991205	0.43944398	0.67095403	0.66933287	0.34917331	0.34902614	0.67101665	0.66946804	0.34913863	0.34905581	60046	56250	0
60046	56255	0.00069059	0.00992910	0.43964862	0.00994080	0.43945991	0.67086816	0.66943772	0.34912425	0.34901850	0.67067843	0.66911635	0.34889516	0.34886410	60046	56253	0
60046	56258	0.00057402	0.00995145	0.43848179	0.00993892	0.43883151	0.67077786	0.66925769	0.34892786	0.34894241	0.67083636	0.66927921	0.34893436	0.34895531	60046	56256	0
60046	56261	0.00141742	0.00996029	0.43869150	0.01005534	0.43616130	0.67085181	0.66934890	0.34889007	0.34889631	0.67100375	0.66966222	0.34907988	0.34918794	60046	56260	0
60046	56264	0.00126693	0.00998725	0.43655786	0.00994620	0.43700933	0.67107425	0.66954175	0.34912598	0.34899492	0.67092026	0.66927560	0.34907282	0.34888267	60046	56263	0
60046	56268	0.00086352	0.00997975	0.43695678	0.00999639	0.43816701	0.67106595	0.66937766	0.34911612	0.34901423	0.67099980	0.66979361	0.34913453	0.34912647	60046	56266	0
60046	56271	0.00043797	0.00997295	0.43882126	0.01003463	0.44009790	0.67118978	0.66973313	0.34914036	0.34914997	0.67097334	0.66926722	0.34899007	0.34884882	60046	56269	0
60046	56274	0.00028136	0.00994720	0.43790206	0.00994322	0.43837189	0.67072913	0.66932482	0.34888842	0.34883296	0.67113489	0.66947076	0.34909204	0.34896131	60046	56273	0
60046	56277	0.00025454	0.01000595	0.43610125	0.01003263	0.43618171	0.67096973	0.66942244	0.34903773	0.34899541	0.67078082	0.66920699	0.34886673	0.34878415	60046	56276	0
60046	56281	0.00089063	0.01002421	0.43953855	0.00999205	0.43763029	0.67095831	0.66952745	0.34901365	0.34897856	0.67073685	0.66946985	0.34897446	0.34888735	60046	56279	0
60046	56284	0.00009975	0.01000386	0.43655234	0.00999578	0.43892497	0.67095954	0.66923476	0.34902622	0.34883731	0.67090177	0.66932654	0.34890897	0.34888842	60046	56282	0
60046	56287	0.00076746	0.00999584	0.43916471	0.00998604	0.43716158	0.67101813	0.66964825	0.34904512	0.34905548	0.67103563	0.66967701	0.34898884	0.34910412	60046	56286	0
60046	56291	0.00097219	0.00999048	0.43830908	0.01000468	0.43769489	0.67088238	0.66936155	0.34903904	0.34887856	0.67082116	0.66915883	0.34897783	0.34890182	60046	56289	0
60046	56294	0.00006683	0.01002591	0.43685181	0.01001962	0.43956790	0.67073529	0.66905875	0.34899221	0.34901949	0.67077482	0.66916590	0.34896345	0.34879664	60046	56292	0
60046	56297	0.00123160	0.01008098	0.43874636	0.00991990	0.43525203	0.67059445	0.66911619	0.34890083	0.34889771	0.67095502	0.66945720	0.34915532	0.34908605	60046	56295	0
60046	56300	-0.00019637	0.00997310	0.43576517	0.00996473	0.44004908	0.67093513	0.66946583	0.34913642	0.34916205	0.67126809	0.66963559	0.34927997	0.34921070	60046	56299	0
