% File initiated 25/04/2023 16:15:10 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 460 430 400 380 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60059.677200
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60059	59078	0.00128692	0.00889847	0.47258939	0.00889384	0.47101960	0.64585548	0.64449768	0.33704857	0.33696738	0.64571324	0.64441173	0.33698070	0.33686171	60059	59076	0
60059	59081	0.00160153	0.00882868	0.47170146	0.00886030	0.47075763	0.64544980	0.64451896	0.33689861	0.33692638	0.64555794	0.64416677	0.33684536	0.33667699	60059	59080	0
60059	59085	0.00090158	0.00889572	0.47128252	0.00885480	0.47338237	0.64530140	0.64414179	0.33672325	0.33658068	0.64547618	0.64425165	0.33682268	0.33675094	60059	59083	0
60059	59088	0.00097103	0.00886647	0.47418365	0.00880754	0.47397530	0.64550674	0.64407523	0.33670172	0.33669671	0.64517526	0.64404245	0.33674043	0.33664281	60059	59086	0
60059	59091	0.00147825	0.00882595	0.47344807	0.00888971	0.47192642	0.64516138	0.64404228	0.33650985	0.33652892	0.64510180	0.64378426	0.33639761	0.33642941	60059	59090	0
60059	59094	0.00216888	0.00887197	0.47430063	0.00885535	0.47222875	0.64521462	0.64377268	0.33650443	0.33641503	0.64537979	0.64384803	0.33659967	0.33646228	60059	59093	0
60059	59098	-0.00000821	0.00886346	0.47012094	0.00888118	0.47665220	0.64539828	0.64409594	0.33659202	0.33652686	0.64531076	0.64410317	0.33657123	0.33654436	60059	59096	0
60059	59101	0.00153751	0.00893326	0.47628019	0.00890628	0.47164302	0.64528496	0.64405140	0.33652177	0.33645981	0.64519876	0.64381935	0.33651306	0.33641618	60059	59099	0
60059	59104	0.00109851	0.00883082	0.47035482	0.00886376	0.47167181	0.64519737	0.64388961	0.33633844	0.33637074	0.64530624	0.64393045	0.33647353	0.33644173	60059	59103	0
60059	59107	0.00197428	0.00890840	0.47444263	0.00886632	0.47181531	0.64486811	0.64370924	0.33630960	0.33626367	0.64482538	0.64344383	0.33638536	0.33614649	60059	59106	0
60059	59111	0.00099061	0.00883592	0.47066337	0.00890687	0.47361439	0.64520953	0.64386011	0.33650164	0.33637263	0.64535497	0.64392141	0.33653623	0.33634452	60059	59109	0
60059	59114	0.00098044	0.00894887	0.47232359	0.00888189	0.47235411	0.64516261	0.64389076	0.33629415	0.33635644	0.64502012	0.64356938	0.33634896	0.33619037	60059	59112	0
60059	59117	0.00060502	0.00886599	0.47165966	0.00892214	0.47278590	0.64498956	0.64402075	0.33638816	0.33645011	0.64503902	0.64371968	0.33630779	0.33631001	60059	59116	0
