% File initiated 25/04/2023 16:15:10 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 460 430 400 380 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60059.677200
%% clock_data = False
%% sequence = 7
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60059	58947	0.00058751	0.06825008	0.47799548	0.06807214	0.48182488	0.64479678	0.64496096	0.33765204	0.33760816	0.64477887	0.64512843	0.33780258	0.33776346	60059	58946	0
60059	58951	0.00115690	0.06787435	0.48117700	0.06770531	0.47946884	0.64461305	0.64502168	0.33758835	0.33778598	0.64514470	0.64514732	0.33793841	0.33781293	60059	58949	0
60059	58954	0.00161061	0.06765062	0.48057074	0.06798386	0.47920962	0.64494025	0.64495209	0.33801441	0.33773766	0.64475257	0.64507477	0.33781392	0.33769017	60059	58952	0
60059	58957	0.00058336	0.06787798	0.47882586	0.06787353	0.48190760	0.64493729	0.64499399	0.33782263	0.33777414	0.64504428	0.64505266	0.33774629	0.33788351	60059	58956	0
60059	58961	0.00177636	0.06786775	0.48137430	0.06826400	0.47779528	0.64490985	0.64487386	0.33782378	0.33761958	0.64487936	0.64494272	0.33777365	0.33771145	60059	58959	0
60059	59748	0.00096842	0.06847098	0.47988747	0.06879736	0.48231129	0.64659297	0.64639485	0.33789551	0.33768828	0.64652222	0.64651885	0.33805887	0.33773971	60059	59746	0
60059	59751	0.00149264	0.06885674	0.47927104	0.06859211	0.47769839	0.64633553	0.64683077	0.33785895	0.33776149	0.64659568	0.64679182	0.33795928	0.33781885	60059	59750	0
60059	59755	0.00020615	0.06910655	0.47825613	0.06873803	0.48211559	0.64661080	0.64661450	0.33806857	0.33782830	0.64643446	0.64660242	0.33800184	0.33776749	60059	59753	0
60059	59758	0.00248735	0.06850415	0.48192369	0.06859746	0.47508008	0.64643816	0.64627792	0.33794030	0.33762845	0.64656462	0.64658163	0.33783569	0.33778031	60059	59756	0
60059	59761	-0.00006649	0.06874319	0.47585210	0.06877431	0.48351362	0.64658697	0.64666018	0.33794761	0.33783158	0.64647735	0.64648343	0.33790332	0.33780923	60059	59759	0
