% File initiated 26/04/2023 07:03:41 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 460 430 400 380 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.294232
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	25438	-0.00008530	0.06867604	0.47767353	0.06891345	0.48226909	0.65211358	0.65209986	0.34153900	0.34121812	0.65218318	0.65210117	0.34153169	0.34157376	60060	25436	0
60060	25441	0.00139709	0.06872539	0.48357520	0.06873071	0.47912804	0.65235204	0.65253019	0.34167047	0.34168888	0.65237037	0.65226272	0.34170950	0.34150572	60060	25439	0
60060	25444	0.00140964	0.06840312	0.47927100	0.06875992	0.47923335	0.65221934	0.65220003	0.34158296	0.34158370	0.65198572	0.65212311	0.34176111	0.34149980	60060	25443	0
60060	25447	0.00092380	0.06846128	0.47967080	0.06850860	0.48112834	0.65214891	0.65210339	0.34157063	0.34142445	0.65209805	0.65205261	0.34161188	0.34153267	60060	25446	0
60060	25451	0.00190188	0.06835394	0.48185218	0.06857695	0.47891792	0.65213215	0.65199879	0.34182068	0.34145601	0.65207471	0.65220479	0.34151928	0.34142963	60060	25449	0
60060	25553	0.00086572	0.06853491	0.47737733	0.06860792	0.48048581	0.65046202	0.65060088	0.34016460	0.34003625	0.65075487	0.65069744	0.34044119	0.34017857	60060	25551	0
60060	25556	0.00167815	0.06927023	0.48146774	0.06863329	0.47903046	0.65064172	0.65062948	0.34038736	0.33999836	0.65065816	0.65061403	0.34007528	0.34020388	60060	25554	0
60060	25559	0.00161151	0.06910146	0.48010344	0.06866453	0.48030336	0.65067772	0.65076252	0.34040281	0.34010535	0.65100073	0.65081239	0.34049263	0.34026904	60060	25558	0
60060	25562	0.00065690	0.06874728	0.47672372	0.06898682	0.47958754	0.65085734	0.65090410	0.34021431	0.34022171	0.65083014	0.65063589	0.34038712	0.34008086	60060	25561	0
60060	25566	0.00033424	0.06899683	0.47851891	0.06895384	0.47948690	0.65053548	0.65074222	0.34010847	0.34008078	0.65056407	0.65067813	0.34036937	0.34006394	60060	25564	0
