% File initiated 26/04/2023 11:52:06 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 460 430 400 380 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.494523
%% clock_data = True
%% sequence = 8
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	43174	0.00113652	0.06865129	0.47413285	0.06857985	0.47577223	0.64896395	0.64915089	0.33979285	0.33951100	0.64905721	0.64911514	0.33980041	0.33967181	60060	43172	0
60060	43177	0.00083033	0.06845650	0.47549544	0.06871337	0.47641400	0.64912278	0.64940496	0.33979105	0.33977847	0.64900298	0.64908589	0.33980469	0.33954149	60060	43176	0
60060	43181	0.00058618	0.06879669	0.47338053	0.06864981	0.47411300	0.64903322	0.64919197	0.33965193	0.33957863	0.64917570	0.64928351	0.33997149	0.33959145	60060	43179	0
60060	43184	0.00036105	0.06854855	0.47400806	0.06852091	0.47468343	0.64905606	0.64915639	0.33979828	0.33974281	0.64905516	0.64920652	0.33973681	0.33961224	60060	43182	0
60060	43187	-0.00055823	0.06833513	0.47389399	0.06836888	0.47665184	0.64916272	0.64921909	0.33967642	0.33957255	0.64899295	0.64901243	0.33990050	0.33959383	60060	43185	0
60060	43190	0.00101671	0.06848864	0.47798589	0.06854092	0.47326105	0.64892606	0.64917061	0.33998974	0.33972884	0.64889205	0.64916395	0.33970493	0.33975193	60060	43189	0
60060	43194	0.00126714	0.06856065	0.47691945	0.06853916	0.47616818	0.64908178	0.64916675	0.33971808	0.33967124	0.64894784	0.64923881	0.33965160	0.33967362	60060	43192	0
60060	43197	0.00148952	0.06855036	0.47656403	0.06813912	0.47589689	0.64905524	0.64900955	0.34002647	0.33966606	0.64892656	0.64885630	0.33973509	0.33948676	60060	43195	0
60060	43200	0.00167985	0.06840829	0.47644520	0.06843911	0.47587422	0.64940389	0.64929764	0.34013444	0.33963278	0.64902697	0.64919994	0.33971043	0.33972777	60060	43198	0
60060	43203	0.00124671	0.06856535	0.47391752	0.06872240	0.47521693	0.64928047	0.64944144	0.33996508	0.33981126	0.64909616	0.64919427	0.33973640	0.33974174	60060	43202	0
60060	43207	0.00119158	0.06852733	0.47511626	0.06860975	0.47528166	0.64923314	0.64938212	0.34000165	0.33984388	0.64915557	0.64932057	0.33989064	0.33991414	60060	43205	0
60060	43210	0.00117040	0.06761201	0.47608442	0.06853180	0.47614795	0.64914785	0.64912303	0.33995744	0.33983862	0.64934621	0.64946790	0.33986738	0.33972851	60060	43208	0
60060	43213	0.00029935	0.06864366	0.47491178	0.06842128	0.47752495	0.64913979	0.64917776	0.34002622	0.33975596	0.64901908	0.64912582	0.34003493	0.33976845	60060	43212	0
60060	43216	0.00142282	0.06854040	0.47718228	0.06832210	0.47381187	0.64933569	0.64936470	0.33989425	0.33981783	0.64944777	0.64943849	0.34001504	0.33984577	60060	43215	0
60060	43220	0.00132544	0.06847253	0.47617043	0.06835617	0.47646258	0.64928006	0.64927998	0.33991011	0.33993230	0.64938984	0.64913429	0.34012335	0.34004832	60060	43218	0
60060	43223	0.00144179	0.06799999	0.47571564	0.06852028	0.47536657	0.64906461	0.64931317	0.34017396	0.33985465	0.64941162	0.64939732	0.34001044	0.33983279	60060	43221	0
60060	43226	0.00114086	0.06796608	0.47539414	0.06797499	0.47629694	0.64902755	0.64919896	0.33998078	0.33984577	0.64920471	0.64932895	0.34017774	0.33994791	60060	43225	0
60060	43229	0.00099712	0.06793719	0.47427365	0.06823083	0.47470486	0.64921104	0.64943430	0.33987609	0.33990880	0.64952740	0.64942805	0.34000592	0.33997511	60060	43228	0
60060	43233	0.00024733	0.06824730	0.47331328	0.06790818	0.47556268	0.64908712	0.64938220	0.34009533	0.34002671	0.64938335	0.64926527	0.34015244	0.34001480	60060	43231	0
60060	43236	0.00052239	0.06822258	0.47522721	0.06740619	0.47440201	0.64931112	0.64932895	0.34032984	0.33999417	0.64906025	0.64927217	0.34011382	0.33988102	60060	43234	0
60060	43239	0.00094592	0.06807933	0.47604178	0.06795258	0.47477120	0.64944522	0.64946585	0.34011636	0.34001348	0.64937546	0.64927349	0.34002499	0.33998029	60060	43238	0
60060	43243	0.00151162	0.06772305	0.47672584	0.06773871	0.47502874	0.64911070	0.64927603	0.34011546	0.33990913	0.64911087	0.64920528	0.34011636	0.33980321	60060	43241	0
60060	43246	0.00083295	0.06755034	0.47412501	0.06800348	0.47616102	0.64918606	0.64917398	0.34007256	0.33979959	0.64912936	0.64921539	0.34025186	0.33996763	60060	43244	0
60060	43249	0.00093604	0.06789982	0.47588676	0.06797185	0.47557747	0.64903724	0.64920035	0.33987223	0.33987264	0.64896764	0.64932805	0.34005712	0.33990411	60060	43247	0
60060	43252	0.00065187	0.06824273	0.47472535	0.06785544	0.47557788	0.64908047	0.64919575	0.33984363	0.33999836	0.64864553	0.64889303	0.33996928	0.33982950	60060	43251	0
