% File initiated 26/04/2023 12:04:13 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 380 430 400 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.502928
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	43469	0.00121600	0.06771109	0.47941696	0.06851998	0.48052624	0.64942838	0.64940825	0.34019623	0.34015038	0.64949091	0.64945845	0.34038309	0.34003271	60060	43467	0
60060	43472	0.00154066	0.06820996	0.48056471	0.06837598	0.47959074	0.64934530	0.64929995	0.34025129	0.34003394	0.64935311	0.64938672	0.34025573	0.34024874	60060	43471	0
60060	43476	0.00154534	0.06839638	0.47976808	0.06832144	0.47975404	0.64923314	0.64933495	0.34000905	0.33987576	0.64945073	0.64954835	0.34023781	0.34012639	60060	43474	0
60060	43479	0.00024297	0.06866052	0.47814892	0.06857985	0.48205603	0.64917644	0.64917850	0.34006032	0.33978176	0.64907455	0.64911399	0.33997232	0.33990157	60060	43477	0
60060	43482	0.00173271	0.06855193	0.48234861	0.06843325	0.47787938	0.64922279	0.64911580	0.34002589	0.33983673	0.64878785	0.64910282	0.33991907	0.33960673	60060	43480	0
60060	43584	0.00234709	0.06774249	0.48261574	0.06788818	0.48077260	0.64666232	0.64702823	0.33818599	0.33803438	0.64700522	0.64711205	0.33821910	0.33808081	60060	43582	0
60060	43587	0.00134609	0.06795631	0.47771071	0.06753452	0.48071372	0.64714442	0.64719824	0.33806396	0.33812945	0.64694244	0.64716850	0.33816265	0.33810604	60060	43586	0
60060	43590	0.00123063	0.06787907	0.47945492	0.06790760	0.47980129	0.64699742	0.64707745	0.33806429	0.33789296	0.64728707	0.64703300	0.33824638	0.33790956	60060	43589	0
60060	43594	0.00093110	0.06791031	0.47896969	0.06792305	0.47986829	0.64695773	0.64684786	0.33819864	0.33790184	0.64695419	0.64698205	0.33796026	0.33783027	60060	43592	0
60060	43597	0.00110527	0.06833927	0.47915578	0.06777389	0.47863327	0.64690637	0.64683628	0.33811976	0.33792731	0.64669963	0.64671360	0.33789354	0.33773454	60060	43595	0
60060	43699	0.00119079	0.06763341	0.47862624	0.06755237	0.47836968	0.64786827	0.64794921	0.33947337	0.33925775	0.64800081	0.64825357	0.33945455	0.33934502	60060	43697	0
60060	43702	0.00125322	0.06779776	0.47989118	0.06756499	0.47970388	0.64847503	0.64807419	0.33958011	0.33938052	0.64790155	0.64803869	0.33947961	0.33934535	60060	43700	0
60060	43705	0.00063314	0.06779898	0.47981172	0.06696401	0.48167196	0.64815267	0.64812555	0.33971471	0.33934904	0.64802308	0.64816705	0.33932160	0.33941889	60060	43704	0
60060	43709	0.00019239	0.06765370	0.47875817	0.06773672	0.48008042	0.64809350	0.64799827	0.33949169	0.33922291	0.64799958	0.64811750	0.33945521	0.33931051	60060	43707	0
60060	43712	0.00083729	0.06785235	0.48131935	0.06806027	0.47938465	0.64801988	0.64804872	0.33928043	0.33920163	0.64802514	0.64795373	0.33954658	0.33925488	60060	43710	0
60060	43814	0.00009812	0.06838180	0.47956291	0.06821726	0.48178040	0.64793360	0.64779686	0.33900606	0.33896695	0.64775644	0.64803122	0.33898289	0.33900113	60060	43812	0
60060	43817	0.00165032	0.06830044	0.48129089	0.06816112	0.47663429	0.64768922	0.64799416	0.33917410	0.33902841	0.64780163	0.64795151	0.33897467	0.33896415	60060	43815	0
60060	43820	0.00047401	0.06819599	0.47981519	0.06839816	0.48334412	0.64765906	0.64779407	0.33922069	0.33881674	0.64788931	0.64770130	0.33911239	0.33886719	60060	43819	0
