% File initiated 26/04/2023 12:04:13 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 380 430 400 360 340 310
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.502928
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	43485	0.00065449	0.00898655	0.47721930	0.00892508	0.47619273	0.64986537	0.64845728	0.33976582	0.33958751	0.64979717	0.64842408	0.33952382	0.33943664	60060	43484	0
60060	43489	0.00081334	0.00891288	0.47601593	0.00893260	0.47553939	0.64962370	0.64843410	0.33947468	0.33962982	0.64969067	0.64835842	0.33941076	0.33933549	60060	43487	0
60060	43492	0.00184396	0.00889629	0.47860974	0.00889213	0.47551789	0.64959371	0.64853895	0.33925405	0.33938462	0.64951688	0.64824618	0.33930903	0.33925142	60060	43490	0
60060	43495	0.00070305	0.00889386	0.47268845	0.00886456	0.47611119	0.64977514	0.64832325	0.33937575	0.33919645	0.64930373	0.64799268	0.33925266	0.33902931	60060	43494	0
60060	43498	0.00179238	0.00890352	0.47668587	0.00889982	0.47341788	0.64971236	0.64808972	0.33924896	0.33904854	0.64948615	0.64803993	0.33914715	0.33935586	60060	43497	0
60060	43502	0.00090750	0.00890160	0.47323652	0.00885761	0.47589115	0.64923914	0.64825316	0.33908240	0.33899916	0.64933158	0.64788413	0.33899850	0.33887081	60060	43500	0
60060	43505	-0.00031107	0.00888474	0.47540171	0.00890998	0.47905743	0.64909632	0.64787123	0.33899406	0.33888716	0.64902985	0.64790853	0.33889907	0.33888436	60060	43503	0
60060	43508	0.00152738	0.00887669	0.47901796	0.00891321	0.47350259	0.64917274	0.64785857	0.33875535	0.33885667	0.64899747	0.64748938	0.33880269	0.33868921	60060	43507	0
60060	43511	0.00204440	0.00889147	0.47877374	0.00885996	0.47722269	0.64897011	0.64769481	0.33897500	0.33868321	0.64884241	0.64754723	0.33861780	0.33864804	60060	43510	0
60060	43515	0.00053556	0.00887611	0.47354256	0.00889414	0.47806909	0.64870971	0.64734237	0.33869644	0.33853308	0.64878563	0.64758305	0.33862215	0.33865346	60060	43513	0
60060	43518	0.00101237	0.00886739	0.47721823	0.00889820	0.47578780	0.64876509	0.64734229	0.33873259	0.33850999	0.64865851	0.64737031	0.33875231	0.33856537	60060	43516	0
60060	43521	0.00083903	0.00887291	0.47545208	0.00888622	0.47597210	0.64892105	0.64754328	0.33851574	0.33863555	0.64858670	0.64727047	0.33857589	0.33844516	60060	43520	0
60060	43525	0.00059769	0.00888423	0.47445631	0.00889872	0.47518033	0.64881727	0.64753022	0.33863695	0.33868000	0.64888868	0.64740244	0.33862832	0.33872487	60060	43523	0
60060	43528	0.00178204	0.00881714	0.47878287	0.00890895	0.47522984	0.64834002	0.64706299	0.33853933	0.33855543	0.64856213	0.64724779	0.33872701	0.33844080	60060	43526	0
60060	43531	0.00043672	0.00884825	0.47422169	0.00884096	0.47825765	0.64880199	0.64761083	0.33871862	0.33858238	0.64857100	0.64737163	0.33846800	0.33855305	60060	43529	0
60060	43534	0.00048408	0.00884672	0.47588804	0.00883751	0.47574593	0.64859598	0.64745922	0.33865494	0.33857934	0.64866188	0.64754106	0.33864130	0.33863251	60060	43533	0
60060	43538	0.00157787	0.00885783	0.47746564	0.00886076	0.47418429	0.64882138	0.64740638	0.33878050	0.33870811	0.64860625	0.64736177	0.33866653	0.33861714	60060	43536	0
60060	43541	0.00085222	0.00886287	0.47471110	0.00886272	0.47688803	0.64854964	0.64722947	0.33852642	0.33858403	0.64850913	0.64715576	0.33853259	0.33860465	60060	43539	0
60060	43544	0.00054338	0.00887253	0.47521042	0.00885202	0.47613696	0.64865210	0.64702338	0.33861558	0.33849635	0.64854175	0.64696808	0.33854582	0.33840013	60060	43542	0
60060	43547	0.00149280	0.00883580	0.47605093	0.00884000	0.47320267	0.64846845	0.64724401	0.33850555	0.33845033	0.64849450	0.64725617	0.33857622	0.33846710	60060	43546	0
60060	43551	0.00107160	0.00887146	0.47575466	0.00887526	0.47701827	0.64855333	0.64716053	0.33850950	0.33850909	0.64863994	0.64717285	0.33851763	0.33854771	60060	43549	0
60060	43554	0.00062152	0.00885079	0.47459044	0.00885098	0.47594067	0.64834322	0.64731830	0.33833743	0.33861024	0.64840173	0.64711180	0.33860079	0.33836586	60060	43552	0
60060	43557	0.00081148	0.00881319	0.47748891	0.00884942	0.47691902	0.64848949	0.64709323	0.33849134	0.33837663	0.64847741	0.64710490	0.33855428	0.33841015	60060	43556	0
60060	43560	0.00150666	0.00880260	0.47642380	0.00880051	0.47433827	0.64864052	0.64740022	0.33870474	0.33843858	0.64847157	0.64717178	0.33849117	0.33856373	60060	43559	0
60060	43564	0.00061366	0.00884241	0.47530180	0.00882923	0.47798082	0.64841635	0.64704434	0.33842453	0.33834384	0.64837741	0.64717573	0.33847351	0.33832888	60060	43562	0
60060	43567	0.00115651	0.00880767	0.47752166	0.00890087	0.47589310	0.64852227	0.64709101	0.33845247	0.33834844	0.64827642	0.64710868	0.33836175	0.33830325	60060	43565	0
60060	43570	0.00024073	0.00880285	0.47456798	0.00884217	0.47731533	0.64838661	0.64705181	0.33854434	0.33835485	0.64849516	0.64695033	0.33847466	0.33824104	60060	43569	0
60060	43573	-0.00041992	0.00882595	0.47426903	0.00875149	0.47625099	0.64832383	0.64691467	0.33829807	0.33835156	0.64810320	0.64681935	0.33819914	0.33812165	60060	43572	0
60060	43577	0.00249425	0.00879283	0.48127808	0.00879810	0.47253557	0.64825768	0.64696890	0.33829478	0.33819141	0.64827009	0.64687613	0.33826446	0.33812781	60060	43575	0
60060	43580	0.00008841	0.00883194	0.47412851	0.00881543	0.48134603	0.64852022	0.64711648	0.33850670	0.33818385	0.64810846	0.64685789	0.33810694	0.33803151	60060	43578	0
