% File initiated 26/04/2023 14:19:51 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 380 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.597121
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	51607	0.00144059	0.04464617	0.48018805	0.04474833	0.47907549	0.64802234	0.64741978	0.33833414	0.33823956	0.64782957	0.64722076	0.33811039	0.33815271	60060	51606	0
60060	51611	0.00135746	0.04455905	0.47891579	0.04464256	0.47916518	0.64787254	0.64742660	0.33811318	0.33806848	0.64775101	0.64728148	0.33799749	0.33794490	60060	51609	0
60060	51614	0.00109581	0.04467187	0.47842604	0.04470404	0.47921100	0.64766950	0.64701098	0.33803175	0.33798409	0.64761403	0.64712347	0.33787653	0.33791499	60060	51612	0
60060	51617	0.00137175	0.04487900	0.47873393	0.04427872	0.47790612	0.64794617	0.64714508	0.33807456	0.33798212	0.64775397	0.64715124	0.33791663	0.33793906	60060	51615	0
60060	51620	0.00117597	0.04487921	0.47878720	0.04460039	0.47937453	0.64765331	0.64712848	0.33790455	0.33792485	0.64822029	0.64765117	0.33821877	0.33813348	60060	51619	0
60060	51722	0.00112855	0.04440994	0.47783896	0.04421827	0.47798121	0.64789867	0.64737384	0.33861903	0.33847301	0.64799917	0.64755955	0.33850703	0.33852265	60060	51721	0
60060	51725	0.00121121	0.04448624	0.47981607	0.04410071	0.47956812	0.64816261	0.64737376	0.33865815	0.33861073	0.64776194	0.64710654	0.33849734	0.33850342	60060	51724	0
60060	51729	0.00073814	0.04436254	0.47792905	0.04431157	0.47934824	0.64826606	0.64754254	0.33853579	0.33853809	0.64799350	0.64753120	0.33860621	0.33862462	60060	51727	0
60060	51732	0.00181039	0.04423566	0.48064279	0.04421181	0.47742607	0.64807690	0.64753630	0.33841114	0.33858929	0.64791774	0.64725363	0.33851270	0.33848419	60060	51730	0
60060	51735	0.00193955	0.04432599	0.47753845	0.04426028	0.47715095	0.64789982	0.64740795	0.33836118	0.33840678	0.64800394	0.64726489	0.33846595	0.33845403	60060	51734	0
60060	51837	0.00084829	0.04440425	0.47784004	0.04417378	0.48111384	0.64690892	0.64615508	0.33712491	0.33704002	0.64653586	0.64602188	0.33689064	0.33703476	60060	51835	0
60060	51840	0.00157835	0.04434307	0.47986776	0.04457501	0.47767758	0.64723119	0.64667432	0.33736271	0.33728120	0.64665813	0.64623199	0.33707421	0.33714882	60060	51839	0
60060	51844	0.00194163	0.04418024	0.47887782	0.04463574	0.47778799	0.64706094	0.64627587	0.33724299	0.33710182	0.64677021	0.64601769	0.33696393	0.33698144	60060	51842	0
60060	51847	0.00056363	0.04432066	0.47585742	0.04433365	0.47999141	0.64670784	0.64620060	0.33715728	0.33710584	0.64692100	0.64628113	0.33717700	0.33713510	60060	51845	0
60060	51850	0.00215769	0.04407897	0.48035804	0.04443135	0.47557583	0.64686134	0.64618195	0.33710798	0.33702063	0.64688640	0.64619386	0.33714594	0.33701554	60060	51848	0
60060	51952	0.00050718	0.04461601	0.47632753	0.04470447	0.48127907	0.64737146	0.64694170	0.33777907	0.33795533	0.64761543	0.64694779	0.33805657	0.33797596	60060	51950	0
60060	51955	0.00128870	0.04466131	0.47948045	0.04464559	0.47713590	0.64778446	0.64713629	0.33824006	0.33807185	0.64773499	0.64729586	0.33815731	0.33818319	60060	51954	0
60060	51958	0.00026563	0.04464229	0.47707335	0.04472191	0.48014256	0.64765610	0.64730720	0.33822444	0.33816881	0.64805710	0.64752356	0.33841747	0.33852684	60060	51957	0
60060	51962	0.00041805	0.04471799	0.47828761	0.04459050	0.47783036	0.64794214	0.64736653	0.33834967	0.33828484	0.64832703	0.64759053	0.33842922	0.33851681	60060	51960	0
60060	51965	0.00190025	0.04465092	0.48020009	0.04408878	0.47575348	0.64820164	0.64751452	0.33859356	0.33854960	0.64820386	0.64751666	0.33853020	0.33849980	60060	51963	0
60060	52067	0.00172514	0.04468318	0.47827526	0.04489150	0.47880059	0.64883970	0.64823928	0.33872594	0.33880006	0.64893642	0.64827962	0.33900384	0.33894090	60060	52065	0
60060	52070	0.00118142	0.04463491	0.47850110	0.04460028	0.48013229	0.64887372	0.64832268	0.33887672	0.33882421	0.64903412	0.64820715	0.33922119	0.33884435	60060	52068	0
60060	52073	0.00041643	0.04472154	0.47587646	0.04478037	0.47817143	0.64895409	0.64841175	0.33905725	0.33885634	0.64889451	0.64833270	0.33887155	0.33890244	60060	52072	0
60060	52077	0.00061389	0.04469609	0.48026011	0.04480687	0.47966771	0.64905039	0.64846960	0.33904567	0.33898470	0.64882294	0.64821520	0.33890836	0.33890606	60060	52075	0
60060	52080	0.00047395	0.04456588	0.47747723	0.04479091	0.47789705	0.64917981	0.64852835	0.33907024	0.33909341	0.64900774	0.64847601	0.33906859	0.33919489	60060	52078	0
60060	52182	0.00015121	0.04465329	0.47821865	0.04434090	0.47918689	0.64909526	0.64846130	0.33903761	0.33896432	0.64922106	0.64855687	0.33923335	0.33910467	60060	52180	0
60060	52185	0.00079901	0.04451295	0.48037837	0.04436886	0.47843497	0.64907488	0.64870256	0.33896555	0.33906563	0.64904743	0.64867043	0.33893728	0.33910220	60060	52183	0
60060	52188	0.00116907	0.04454231	0.47991631	0.04454060	0.47880611	0.64893182	0.64870527	0.33904953	0.33899176	0.64900355	0.64848316	0.33894525	0.33889028	60060	52187	0
60060	52192	0.00055893	0.04450865	0.47702051	0.04440160	0.47885095	0.64904135	0.64832835	0.33893523	0.33888108	0.64893034	0.64835842	0.33888420	0.33877335	60060	52190	0
60060	52195	0.00175505	0.04417075	0.48071395	0.04452752	0.47712558	0.64908926	0.64810369	0.33879077	0.33863128	0.64891670	0.64850707	0.33880844	0.33874558	60060	52193	0
60060	52297	0.00137785	0.04441891	0.47711904	0.04474445	0.47825065	0.64883280	0.64826943	0.33850498	0.33858666	0.64890240	0.64829170	0.33869323	0.33869085	60060	52295	0
60060	52300	0.00221718	0.04487319	0.47855868	0.04459897	0.47604069	0.64875909	0.64813755	0.33864196	0.33863563	0.64878054	0.64832482	0.33877483	0.33862996	60060	52298	0
60060	52303	0.00095300	0.04477527	0.47562117	0.04491315	0.47941372	0.64891735	0.64832810	0.33888625	0.33863982	0.64883617	0.64814889	0.33867212	0.33853366	60060	52302	0
60060	52306	0.00118688	0.04471387	0.47770592	0.04479720	0.47700428	0.64897989	0.64827617	0.33866135	0.33856266	0.64898761	0.64851595	0.33879545	0.33876546	60060	52305	0
60060	52310	0.00076066	0.04477434	0.47690199	0.04484527	0.47818062	0.64882368	0.64829375	0.33875872	0.33866899	0.64891349	0.64837765	0.33879619	0.33874508	60060	52308	0
60060	52411	0.00056046	0.04499207	0.47820879	0.04503228	0.47880938	0.64887627	0.64831397	0.33842798	0.33854434	0.64906970	0.64825283	0.33856554	0.33845707	60060	52410	0
60060	52415	0.00065605	0.04523103	0.47907468	0.04500611	0.47878793	0.64870420	0.64825809	0.33839396	0.33821080	0.64891604	0.64834133	0.33841319	0.33853735	60060	52413	0
60060	52418	0.00171295	0.04505036	0.48038232	0.04491111	0.47721161	0.64903568	0.64824108	0.33850884	0.33828813	0.64907710	0.64832580	0.33853177	0.33855272	60060	52416	0
60060	52421	0.00189355	0.04497100	0.47864880	0.04474481	0.47810703	0.64879484	0.64837313	0.33838090	0.33841451	0.64858620	0.64787254	0.33834055	0.33824482	60060	52420	0
60060	52425	0.00116327	0.04475090	0.47714413	0.04494447	0.47933497	0.64899082	0.64830863	0.33862856	0.33852223	0.64897093	0.64824626	0.33852330	0.33844713	60060	52423	0
60060	52526	0.00085909	0.04459016	0.47603820	0.04459587	0.47695073	0.64922533	0.64864216	0.33896728	0.33896654	0.64929008	0.64871792	0.33910138	0.33893860	60060	52525	0
60060	52530	0.00006822	0.04432020	0.47763505	0.04460351	0.48000764	0.64903642	0.64851923	0.33897319	0.33891477	0.64924752	0.64850066	0.33886489	0.33886267	60060	52528	0
60060	52533	0.00055776	0.04446121	0.47874246	0.04466352	0.47727386	0.64914850	0.64857462	0.33880285	0.33879734	0.64893017	0.64847716	0.33876168	0.33878124	60060	52531	0
60060	52536	0.00143529	0.04443905	0.47994993	0.04469335	0.47731735	0.64896025	0.64834413	0.33881140	0.33878338	0.64904571	0.64835095	0.33887040	0.33864796	60060	52535	0
60060	52539	0.00159949	0.04461757	0.48040265	0.04443949	0.47991004	0.64904201	0.64842564	0.33857515	0.33869825	0.64913675	0.64842975	0.33884352	0.33855576	60060	52538	0
