% File initiated 26/04/2023 14:19:51 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 380 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.597121
%% clock_data = False
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	51624	0.00013498	0.00586164	0.46821449	0.00580313	0.47352255	0.64837100	0.64661680	0.33789814	0.33767767	0.64819194	0.64657489	0.33785303	0.33770750	60060	51622	0
60060	51627	0.00213860	0.00581577	0.47389347	0.00583306	0.46788263	0.64815760	0.64677095	0.33769501	0.33780315	0.64812300	0.64668993	0.33780364	0.33771745	60060	51625	0
60060	51630	0.00041000	0.00588666	0.46724262	0.00577694	0.47242842	0.64821906	0.64716012	0.33775656	0.33825345	0.64801371	0.64664063	0.33777086	0.33771901	60060	51629	0
60060	51633	0.00051585	0.00584197	0.46883012	0.00581097	0.46851257	0.64824642	0.64660439	0.33784974	0.33777020	0.64837354	0.64667284	0.33794062	0.33769666	60060	51632	0
60060	51637	0.00096245	0.00577805	0.47108698	0.00581219	0.46974718	0.64812654	0.64675764	0.33766329	0.33774292	0.64807912	0.64660332	0.33767620	0.33766765	60060	51635	0
60060	51640	0.00205242	0.00578644	0.47027087	0.00582069	0.46700095	0.64828242	0.64676882	0.33771712	0.33792296	0.64825267	0.64657382	0.33791014	0.33779666	60060	51638	0
60060	51643	-0.00006530	0.00583231	0.46813071	0.00578507	0.47448386	0.64806441	0.64656774	0.33768712	0.33789181	0.64806137	0.64642139	0.33777538	0.33771712	60060	51642	0
60060	51646	0.00227827	0.00578320	0.47398544	0.00576302	0.46695475	0.64812875	0.64653857	0.33779773	0.33791630	0.64805135	0.64651778	0.33782452	0.33777636	60060	51645	0
60060	51650	0.00198679	0.00581183	0.46875842	0.00577840	0.46963285	0.64810575	0.64661343	0.33775483	0.33793241	0.64825538	0.64665608	0.33771465	0.33775738	60060	51648	0
60060	51653	0.00105236	0.00577820	0.46953394	0.00575890	0.47233723	0.64820320	0.64651096	0.33790373	0.33783635	0.64808520	0.64659642	0.33772829	0.33761375	60060	51651	0
60060	51656	0.00205972	0.00579008	0.47069829	0.00576785	0.46767622	0.64833377	0.64662263	0.33785303	0.33772755	0.64799786	0.64645015	0.33773971	0.33777094	60060	51655	0
