% File initiated 26/04/2023 15:35:26 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 250 350 380 410 510 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.649612
%% clock_data = False
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	56195	0.00119685	0.04554851	0.34043466	0.04531481	0.34130006	0.65245632	0.65189961	0.33975481	0.33946211	0.65247711	0.65195902	0.33961857	0.33957822	60060	56193	0
60060	56198	0.00165105	0.04536263	0.34142897	0.04550177	0.34006638	0.65245270	0.65236946	0.33968915	0.33976048	0.65244021	0.65177964	0.33960369	0.33953590	60060	56196	0
60060	56201	0.00066427	0.04561217	0.33937182	0.04523445	0.34233215	0.65249132	0.65187808	0.33962432	0.33954700	0.65250192	0.65183929	0.33966039	0.33961643	60060	56200	0
60060	56205	0.00100158	0.04549599	0.34102737	0.04548596	0.34001544	0.65249165	0.65190675	0.33968521	0.33956376	0.65236338	0.65170050	0.33948709	0.33937238	60060	56203	0
60060	56208	0.00162097	0.04522376	0.34127358	0.04558372	0.33941544	0.65245131	0.65178958	0.33972547	0.33956573	0.65227883	0.65168349	0.33957272	0.33947411	60060	56206	0
60060	56767	0.00080606	0.04587901	0.33919771	0.04535448	0.34164242	0.65319471	0.65263258	0.34040659	0.34010198	0.65299134	0.65252041	0.34018078	0.34021308	60060	56765	0
60060	56770	0.00124026	0.04535928	0.34142299	0.04512868	0.34012039	0.65307597	0.65255690	0.34026452	0.34015309	0.65299117	0.65267325	0.34027216	0.34025671	60060	56768	0
60060	56773	0.00129174	0.04525652	0.34128638	0.04532878	0.34113196	0.65294622	0.65245821	0.34023206	0.34015942	0.65302412	0.65255008	0.34021538	0.34031916	60060	56772	0
60060	56777	0.00112183	0.04520548	0.33983031	0.04550863	0.34034003	0.65324393	0.65266232	0.34050027	0.34012433	0.65317581	0.65258105	0.34041432	0.34035918	60060	56775	0
60060	56780	0.00111368	0.04539865	0.34150829	0.04518242	0.34153272	0.65313588	0.65272896	0.34033601	0.34031168	0.65315749	0.65266438	0.34051383	0.34034275	60060	56778	0
60060	57339	0.00098605	0.04547211	0.34106818	0.04529850	0.34145110	0.65279815	0.65226420	0.33995522	0.33968020	0.65285723	0.65211999	0.33984191	0.33971841	60060	57337	0
