% File initiated 26/04/2023 15:35:26 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 250 350 380 410 510 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.649612
%% clock_data = False
%% sequence = 10
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	56668	0.00073939	0.00587226	0.34788444	0.00586084	0.34891124	0.65311254	0.65150198	0.33989433	0.33980008	0.65320219	0.65162893	0.33992737	0.33989105	60060	56667	0
60060	56672	0.00194320	0.00589466	0.35153865	0.00592928	0.34792724	0.65313448	0.65200421	0.33982096	0.33999993	0.65321912	0.65153148	0.33990765	0.33978439	60060	56670	0
60060	56675	0.00082927	0.00592277	0.34766785	0.00588576	0.35100962	0.65320712	0.65159122	0.33997552	0.34000173	0.65330088	0.65183050	0.34002014	0.34000954	60060	56673	0
60060	56678	0.00169936	0.00587534	0.35027716	0.00588464	0.34766690	0.65351477	0.65188753	0.34017265	0.34004290	0.65346514	0.65180609	0.34017051	0.34018851	60060	56676	0
60060	56681	0.00122974	0.00586712	0.34775676	0.00591559	0.34916563	0.65359300	0.65200076	0.34029615	0.34027471	0.65360245	0.65183058	0.34026271	0.34028514	60060	56680	0
60060	56685	0.00209305	0.00584502	0.34926830	0.00589010	0.34667836	0.65358059	0.65182680	0.34042278	0.34032056	0.65357254	0.65184537	0.34039887	0.34037841	60060	56683	0
60060	56688	0.00024148	0.00588645	0.34697140	0.00589045	0.35252613	0.65352110	0.65197479	0.34048022	0.34051243	0.65355224	0.65174751	0.34052895	0.34037060	60060	56686	0
60060	56691	0.00152353	0.00587125	0.35020312	0.00590615	0.34635696	0.65350811	0.65183888	0.34045450	0.34033272	0.65339644	0.65187093	0.34056140	0.34049731	60060	56689	0
60060	56694	0.00218381	0.00590588	0.35022460	0.00589226	0.34824375	0.65358922	0.65188408	0.34064727	0.34042212	0.65354452	0.65183428	0.34078433	0.34048441	60060	56693	0
60060	56698	0.00127246	0.00592997	0.34929333	0.00589118	0.35202739	0.65368560	0.65213429	0.34053207	0.34071145	0.65366013	0.65225426	0.34066798	0.34059781	60060	56696	0
60060	56701	0.00089232	0.00595059	0.34741470	0.00592115	0.34855513	0.65409819	0.65230816	0.34068721	0.34060668	0.65388405	0.65218178	0.34063906	0.34053807	60060	56699	0
60060	56704	0.00055432	0.00592703	0.34731816	0.00591187	0.34833217	0.65390402	0.65235467	0.34090200	0.34075590	0.65418422	0.65260546	0.34090439	0.34099313	60060	56703	0
60060	56707	0.00182112	0.00591520	0.35176977	0.00584986	0.34796936	0.65368881	0.65198104	0.34065163	0.34039016	0.65380040	0.65191703	0.34049287	0.34027742	60060	56706	0
60060	56711	0.00167997	0.00590378	0.34805134	0.00590965	0.34847481	0.65399161	0.65256199	0.34060923	0.34070381	0.65392489	0.65219485	0.34060841	0.34050051	60060	56709	0
60060	56714	0.00076418	0.00591992	0.34646326	0.00591904	0.34921062	0.65393130	0.65249897	0.34063725	0.34067538	0.65393204	0.65222928	0.34058244	0.34039624	60060	56712	0
60060	56717	0.00083843	0.00592607	0.35065901	0.00593074	0.35043626	0.65376293	0.65214735	0.34054226	0.34049739	0.65368076	0.65243068	0.34046830	0.34063092	60060	56716	0
60060	56720	0.00098650	0.00592244	0.34725795	0.00589622	0.34681372	0.65362808	0.65192302	0.34034841	0.34020609	0.65377895	0.65225508	0.34041727	0.34043404	60060	56719	0
60060	56724	0.00198877	0.00592155	0.35135757	0.00591359	0.34835077	0.65384937	0.65236675	0.34022984	0.34055541	0.65379760	0.65217061	0.34031497	0.34039517	60060	56722	0
60060	56727	0.00165056	0.00594407	0.34728545	0.00593047	0.34830010	0.65397181	0.65208334	0.34031579	0.34021127	0.65393072	0.65194595	0.34048137	0.34020240	60060	56725	0
60060	56730	0.00092585	0.00593560	0.34765606	0.00590914	0.34983017	0.65367961	0.65186485	0.34035408	0.34017528	0.65376038	0.65221301	0.34026148	0.34027471	60060	56729	0
60060	56734	0.00061821	0.00592900	0.34743140	0.00593554	0.34835432	0.65405217	0.65246577	0.34049969	0.34047537	0.65402842	0.65211596	0.34049164	0.34038736	60060	56732	0
60060	56737	0.00015576	0.00594740	0.34850508	0.00587561	0.34989244	0.65396795	0.65232608	0.34035392	0.34039969	0.65374222	0.65218704	0.34023477	0.34016747	60060	56735	0
60060	56740	0.00048293	0.00588945	0.35107443	0.00587894	0.35009291	0.65392193	0.65201719	0.34042853	0.34018095	0.65363318	0.65194357	0.34024324	0.34003460	60060	56738	0
60060	56743	0.00062958	0.00590257	0.34829641	0.00590130	0.34785645	0.65397140	0.65196953	0.34044053	0.34021990	0.65369078	0.65195951	0.34014159	0.34010634	60060	56742	0
60060	56747	0.00175989	0.00589602	0.35025338	0.00583870	0.34686244	0.65382004	0.65222994	0.34018374	0.34014258	0.65357311	0.65185737	0.34008415	0.33994462	60060	56745	0
60060	56750	0.00153240	0.00585564	0.34956684	0.00589964	0.35024933	0.65354049	0.65183921	0.34019870	0.34002211	0.65366087	0.65184554	0.34010050	0.33998152	60060	56748	0
60060	56753	0.00189260	0.00587593	0.34912909	0.00584766	0.34804850	0.65363836	0.65218449	0.34018645	0.34020396	0.65325231	0.65153854	0.33985440	0.33991858	60060	56752	0
60060	56756	0.00187048	0.00588236	0.35030275	0.00591058	0.35036910	0.65362677	0.65189985	0.34012499	0.33994586	0.65364214	0.65178950	0.34010206	0.34012187	60060	56755	0
60060	56760	0.00087537	0.00588987	0.34614668	0.00591881	0.34913201	0.65372973	0.65212336	0.34027882	0.34020116	0.65365652	0.65215023	0.34011546	0.34032023	60060	56758	0
60060	56763	0.00052457	0.00584224	0.34730509	0.00585473	0.34835749	0.65379078	0.65230405	0.34032327	0.34013937	0.65376301	0.65224645	0.34025819	0.34019648	60060	56761	0
60060	57240	0.00195250	0.00588050	0.35199762	0.00584333	0.34771385	0.65343966	0.65226650	0.33998916	0.34019936	0.65361691	0.65161217	0.34007585	0.33979910	60060	57239	0
60060	57243	0.00001635	0.00583368	0.34510813	0.00582407	0.35091656	0.65371814	0.65180190	0.34004356	0.33968997	0.65362430	0.65191021	0.34003690	0.33985941	60060	57242	0
60060	57247	0.00065667	0.00592829	0.34932743	0.00579291	0.34740648	0.65304680	0.65164060	0.33968595	0.33977404	0.65306463	0.65162211	0.33961388	0.33955554	60060	57245	0
60060	57250	0.00077961	0.00583569	0.34999914	0.00586201	0.34963031	0.65351083	0.65160346	0.33989286	0.33965694	0.65310580	0.65149582	0.33953525	0.33952432	60060	57248	0
60060	57253	-0.00037030	0.00582271	0.34785698	0.00588082	0.35130672	0.65294458	0.65176378	0.33944009	0.33961528	0.65312380	0.65146796	0.33945965	0.33945809	60060	57252	0
60060	57257	0.00073700	0.00589525	0.34955384	0.00589434	0.34623194	0.65273307	0.65108381	0.33945209	0.33913129	0.65355273	0.65129729	0.33971923	0.33937534	60060	57255	0
60060	57260	0.00092853	0.00586973	0.34912358	0.00580531	0.34854897	0.65279996	0.65128546	0.33937649	0.33925981	0.65289528	0.65149844	0.33936926	0.33947099	60060	57258	0
