% File initiated 26/04/2023 15:35:26 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 250 350 380 410 510 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.649612
%% clock_data = True
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	56309	0.00213591	0.04552975	0.47036227	0.04567541	0.46781876	0.65331140	0.65289594	0.34092477	0.34076782	0.65340729	0.65305716	0.34081498	0.34093052	60060	56307	0
60060	56312	0.00092731	0.04592103	0.46662013	0.04577491	0.47024592	0.65340154	0.65319734	0.34089050	0.34104137	0.65345988	0.65311476	0.34095385	0.34093446	60060	56311	0
60060	56316	0.00093925	0.04588790	0.46912905	0.04570108	0.46909322	0.65343991	0.65282354	0.34085098	0.34087218	0.65336653	0.65266388	0.34088228	0.34076954	60060	56314	0
60060	56319	0.00148179	0.04563295	0.46858894	0.04589292	0.46696133	0.65321624	0.65286414	0.34073396	0.34074974	0.65340154	0.65275616	0.34086347	0.34085804	60060	56317	0
60060	56322	0.00089237	0.04578822	0.46764311	0.04603944	0.46941135	0.65350244	0.65285214	0.34080241	0.34079296	0.65348469	0.65273545	0.34081696	0.34066847	60060	56321	0
60060	56881	0.00159233	0.04526791	0.46953718	0.04492840	0.46743733	0.65235936	0.65184463	0.33973599	0.33972219	0.65252879	0.65183946	0.33992047	0.33974478	60060	56879	0
60060	56884	0.00022358	0.04492402	0.46653524	0.04522071	0.47064148	0.65248031	0.65186337	0.33980805	0.33983681	0.65251655	0.65183025	0.33981134	0.33969836	60060	56883	0
60060	56888	0.00134515	0.04492913	0.47051072	0.04508926	0.46714600	0.65230414	0.65173132	0.33974832	0.33969573	0.65233627	0.65178621	0.33965776	0.33957797	60060	56886	0
60060	56891	0.00007539	0.04464517	0.46719979	0.04415549	0.47100909	0.65236034	0.65166895	0.33953418	0.33963574	0.65226412	0.65174143	0.33952555	0.33956688	60060	56889	0
60060	56894	0.00190171	0.04507100	0.47024030	0.04490182	0.46476133	0.65218745	0.65169804	0.33956976	0.33944091	0.65216354	0.65161258	0.33941429	0.33938200	60060	56893	0
60060	57453	0.00111198	0.04629072	0.46860527	0.04599704	0.47097446	0.65241597	0.65189550	0.33941815	0.33934929	0.65229395	0.65177224	0.33919177	0.33916514	60060	57451	0
60060	57456	0.00103300	0.04638002	0.46653167	0.04624818	0.46676862	0.65216518	0.65160543	0.33913482	0.33921494	0.65233060	0.65173962	0.33924567	0.33921888	60060	57455	0
60060	57460	0.00102145	0.04617771	0.46751817	0.04626002	0.46755280	0.65237760	0.65172787	0.33928134	0.33904600	0.65214612	0.65170831	0.33934568	0.33921280	60060	57458	0
60060	57463	0.00169313	0.04598125	0.46952762	0.04612399	0.46751258	0.65206050	0.65174323	0.33911239	0.33920639	0.65239461	0.65174693	0.33953574	0.33923606	60060	57461	0
60060	57466	0.00160933	0.04617386	0.46835540	0.04620874	0.46860680	0.65227497	0.65174800	0.33950994	0.33926638	0.65231564	0.65181801	0.33940262	0.33931174	60060	57464	0
60060	58025	0.00085615	0.04492131	0.46694608	0.04525234	0.46920562	0.65420074	0.65347212	0.34121861	0.34104876	0.65405825	0.65369357	0.34112896	0.34111803	60060	58023	0
60060	58028	0.00040923	0.04496870	0.46663855	0.04499372	0.46797934	0.65405653	0.65370327	0.34121302	0.34127893	0.65404880	0.65336259	0.34086182	0.34089699	60060	58027	0
60060	58032	0.00212064	0.04497298	0.47112719	0.04495890	0.46599294	0.65379210	0.65310958	0.34084868	0.34072295	0.65411372	0.65340104	0.34093709	0.34091269	60060	58030	0
60060	58035	0.00048009	0.04526018	0.46583235	0.04526949	0.47075400	0.65395521	0.65342307	0.34094268	0.34071441	0.65381946	0.65336251	0.34073585	0.34082115	60060	58033	0
60060	58038	0.00106113	0.04509661	0.46848788	0.04526861	0.46674475	0.65404749	0.65333531	0.34077061	0.34074358	0.65397674	0.65320564	0.34069707	0.34061284	60060	58036	0
60060	58597	0.00122445	0.04606047	0.46852765	0.04571964	0.46803771	0.65407888	0.65351041	0.34095287	0.34082304	0.65413212	0.65356925	0.34091630	0.34081589	60060	58595	0
60060	58600	0.00075417	0.04596540	0.46811661	0.04568991	0.46952744	0.65425596	0.65371461	0.34095484	0.34084588	0.65422383	0.65375750	0.34092526	0.34095221	60060	58599	0
60060	58604	0.00116339	0.04576374	0.46965801	0.04588603	0.46843035	0.65422005	0.65371083	0.34094457	0.34083840	0.65437897	0.65365389	0.34108139	0.34096643	60060	58602	0
60060	58607	0.00087996	0.04580785	0.46771319	0.04578080	0.46856348	0.65415061	0.65383499	0.34098590	0.34106470	0.65406507	0.65368971	0.34109034	0.34085739	60060	58605	0
60060	58610	0.00117445	0.04576591	0.46885673	0.04566335	0.46797326	0.65435514	0.65381675	0.34099905	0.34103019	0.65432358	0.65384798	0.34107637	0.34115739	60060	58609	0
60060	59169	0.00170353	0.04528549	0.46993644	0.04510429	0.46834918	0.65530364	0.65473781	0.34194312	0.34180877	0.65548993	0.65495655	0.34221716	0.34193507	60060	59167	0
60060	59172	0.00150539	0.04496670	0.46971183	0.04532026	0.47030625	0.65535344	0.65499435	0.34205298	0.34209127	0.65548426	0.65493363	0.34216038	0.34196276	60060	59171	0
60060	59176	0.00196954	0.04517982	0.46874965	0.04519669	0.46735721	0.65526207	0.65487553	0.34199522	0.34198281	0.65534037	0.65479681	0.34207607	0.34190918	60060	59174	0
60060	59179	0.00211172	0.04520278	0.46909383	0.04520657	0.46866730	0.65537760	0.65483157	0.34209283	0.34203392	0.65517496	0.65462006	0.34189571	0.34182224	60060	59177	0
60060	59182	0.00155672	0.04516274	0.46776705	0.04515640	0.46943203	0.65487594	0.65409367	0.34163958	0.34152199	0.65519074	0.65451899	0.34176283	0.34170121	60060	59181	0
60060	59741	0.00106961	0.04645500	0.46680679	0.04634204	0.46826814	0.65517439	0.65485293	0.34153407	0.34152495	0.65502155	0.65443345	0.34132083	0.34113652	60060	59739	0
