% File initiated 26/04/2023 15:35:26 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 250 350 380 410 510 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60060.649612
%% clock_data = True
%% sequence = 4
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60060	56325	0.00029831	0.00590435	0.45987421	0.00591630	0.46318115	0.65419548	0.65237595	0.34072887	0.34063454	0.65396704	0.65235623	0.34070085	0.34062993	60060	56324	0
60060	56329	0.00079224	0.00590109	0.46086521	0.00589240	0.45938344	0.65406351	0.65241835	0.34076864	0.34075812	0.65399950	0.65241951	0.34072139	0.34058655	60060	56327	0
60060	56332	0.00077305	0.00589755	0.45881611	0.00595455	0.45887368	0.65413459	0.65245394	0.34072410	0.34065680	0.65404395	0.65226165	0.34059715	0.34050216	60060	56330	0
60060	56335	0.00150983	0.00589234	0.46234028	0.00590578	0.46012994	0.65371790	0.65217562	0.34051966	0.34045926	0.65387920	0.65211506	0.34054070	0.34032113	60060	56334	0
60060	56339	0.00266304	0.00593078	0.46149675	0.00589142	0.45803710	0.65390928	0.65220635	0.34046378	0.34025564	0.65371905	0.65229756	0.34051596	0.34051391	60060	56337	0
60060	56342	0.00107098	0.00585529	0.45693814	0.00592259	0.46171432	0.65382908	0.65200240	0.34052788	0.34035737	0.65358355	0.65183609	0.34025178	0.34013526	60060	56340	0
60060	56345	-0.00005191	0.00590896	0.46206376	0.00603276	0.46543242	0.65376350	0.65203404	0.34023551	0.34015728	0.65361280	0.65202064	0.34013033	0.34020765	60060	56343	0
60060	56348	0.00022357	0.00592393	0.46160536	0.00587332	0.46077894	0.65384370	0.65211498	0.34032598	0.34020577	0.65377303	0.65209854	0.34011710	0.34008612	60060	56347	0
60060	56352	0.00229356	0.00588264	0.46304308	0.00588189	0.45683309	0.65355076	0.65195754	0.34017807	0.34005457	0.65361921	0.65196879	0.34015013	0.33999615	60060	56350	0
60060	56355	0.00149313	0.00589727	0.45872865	0.00591232	0.46112996	0.65352134	0.65172491	0.33996550	0.33989622	0.65368634	0.65195376	0.34026172	0.34002129	60060	56353	0
60060	56358	0.00088257	0.00589511	0.45992423	0.00590591	0.46175592	0.65372201	0.65193864	0.34010995	0.34003657	0.65348256	0.65196403	0.34016279	0.34010601	60060	56356	0
60060	56361	0.00145135	0.00589456	0.46003590	0.00588685	0.45832954	0.65342356	0.65161899	0.34000905	0.33993402	0.65333013	0.65174397	0.34003263	0.33993049	60060	56360	0
60060	56365	0.00183136	0.00595326	0.46203029	0.00592676	0.46089027	0.65359694	0.65181900	0.34004290	0.33984577	0.65339209	0.65158620	0.33999935	0.33987124	60060	56363	0
60060	56368	0.00157918	0.00588586	0.46092704	0.00590059	0.46168357	0.65333309	0.65171957	0.33994914	0.33981011	0.65348354	0.65184077	0.33996977	0.33994840	60060	56366	0
60060	56371	0.00129753	0.00582698	0.46014751	0.00593631	0.46099246	0.65326637	0.65179969	0.34001250	0.33994273	0.65338855	0.65174036	0.34005358	0.33988620	60060	56370	0
60060	56374	0.00123059	0.00589053	0.46041645	0.00586419	0.46061728	0.65353326	0.65185597	0.34001693	0.33986673	0.65326349	0.65170724	0.33992605	0.33996221	60060	56373	0
