% File initiated 27/04/2023 12:42:33 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 360 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.529558
%% clock_data = False
%% sequence = 3
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	45936	0.00180059	0.04433653	0.46917139	0.04417944	0.46576885	0.64281382	0.64223196	0.33613063	0.33611748	0.64293642	0.64232087	0.33626934	0.33604534	60061	45935	0
60061	45940	0.00158617	0.04424186	0.46775229	0.04420811	0.46839556	0.64301925	0.64255473	0.33628914	0.33616728	0.64306263	0.64240378	0.33634337	0.33629612	60061	45938	0
60061	45943	0.00024238	0.04436402	0.46631923	0.04420587	0.47035060	0.64308433	0.64245144	0.33634346	0.33614386	0.64300084	0.64243936	0.33616260	0.33618421	60061	45941	0
60061	45946	0.00141978	0.04407155	0.46922496	0.04422204	0.46569275	0.64298490	0.64241833	0.33629580	0.33606169	0.64317102	0.64242687	0.33618150	0.33609119	60061	45945	0
60061	45950	0.00155490	0.04413451	0.46574774	0.04391861	0.46534238	0.64304595	0.64229186	0.33601814	0.33617246	0.64282302	0.64242827	0.33618371	0.33624337	60061	45948	0
60061	46508	0.00119748	0.04442359	0.46662895	0.04444720	0.46770120	0.64651819	0.64546442	0.33830851	0.33806709	0.64627390	0.64552211	0.33815945	0.33807596	60061	46507	0
60061	46512	0.00090095	0.04425566	0.46781199	0.04431238	0.46870160	0.64620783	0.64570330	0.33823299	0.33819831	0.64623675	0.64550592	0.33802000	0.33806421	60061	46510	0
60061	46515	0.00158978	0.04426260	0.46822394	0.04468359	0.46615746	0.64609994	0.64547749	0.33801984	0.33796963	0.64599575	0.64544717	0.33790808	0.33789395	60061	46513	0
60061	46518	0.00083788	0.04427906	0.46564937	0.04425234	0.46790506	0.64614719	0.64539491	0.33800069	0.33801474	0.64602048	0.64527272	0.33796692	0.33788787	60061	46517	0
60061	46521	0.00125500	0.04442964	0.46758179	0.04414423	0.46633042	0.64603823	0.64534922	0.33797374	0.33789116	0.64609230	0.64543106	0.33795492	0.33786897	60061	46520	0
