% File initiated 27/04/2023 12:42:33 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 360 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.529558
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	46067	0.00134295	0.00566479	0.47110361	0.00569804	0.46891468	0.64515423	0.64351096	0.33740988	0.33750972	0.64491289	0.64331375	0.33737430	0.33739698	60061	46065	0
60061	46070	-0.00008294	0.00568003	0.46750947	0.00567143	0.47178714	0.64490517	0.64326116	0.33733740	0.33736813	0.64476169	0.64329074	0.33722516	0.33728128	60061	46069	0
60061	46074	0.00057380	0.00570714	0.47024769	0.00568357	0.46827748	0.64494025	0.64331276	0.33728695	0.33723773	0.64473943	0.64311210	0.33727734	0.33725638	60061	46072	0
60061	46077	0.00015630	0.00575074	0.46697366	0.00569337	0.46822617	0.64518422	0.64336527	0.33726936	0.33741604	0.64512045	0.64330611	0.33736468	0.33724726	60061	46075	0
60061	46080	0.00151753	0.00569041	0.47148785	0.00563924	0.46740416	0.64498651	0.64357021	0.33731727	0.33742565	0.64460738	0.64314513	0.33720798	0.33713633	60061	46078	0
60061	46083	0.00104731	0.00577712	0.46823391	0.00564247	0.46964455	0.64458124	0.64309394	0.33715597	0.33693986	0.64422240	0.64287553	0.33685982	0.33696245	60061	46082	0
60061	46087	0.00044736	0.00569774	0.46866013	0.00568362	0.47045998	0.64421870	0.64286616	0.33692852	0.33688267	0.64445914	0.64271825	0.33693961	0.33691143	60061	46085	0
60061	46090	0.00064689	0.00562846	0.46980289	0.00572105	0.46920431	0.64452422	0.64302097	0.33688398	0.33691479	0.64432010	0.64270584	0.33681200	0.33675004	60061	46088	0
60061	46093	0.00124554	0.00565656	0.46979688	0.00566614	0.46800093	0.64447738	0.64288868	0.33703674	0.33699549	0.64449653	0.64298038	0.33700699	0.33694733	60061	46092	0
60061	46096	0.00162436	0.00569713	0.47025775	0.00567751	0.46912126	0.64441008	0.64296140	0.33683616	0.33679762	0.64435881	0.64283255	0.33693550	0.33681446	60061	46095	0
60061	46100	0.00160404	0.00569785	0.47220985	0.00570202	0.47227082	0.64440630	0.64289131	0.33676056	0.33691397	0.64437573	0.64282434	0.33684865	0.33679277	60061	46098	0
60061	46103	0.00207366	0.00569566	0.46951109	0.00572484	0.46810224	0.64437163	0.64289131	0.33708538	0.33667370	0.64427170	0.64265909	0.33679778	0.33674667	60061	46101	0
60061	46106	0.00148336	0.00569148	0.46899088	0.00570086	0.47076177	0.64453252	0.64289541	0.33684224	0.33689146	0.64451370	0.64298399	0.33704956	0.33698234	60061	46105	0
60061	46110	0.00103830	0.00568145	0.46899225	0.00569850	0.47032745	0.64468601	0.64301612	0.33689450	0.33691652	0.64455602	0.64276813	0.33690978	0.33683131	60061	46108	0
60061	46113	0.00155826	0.00568678	0.46978371	0.00571002	0.46822381	0.64449677	0.64259327	0.33688283	0.33670616	0.64430153	0.64269261	0.33680304	0.33680846	60061	46111	0
60061	46116	0.00005758	0.00571275	0.46658342	0.00570863	0.47108546	0.64423333	0.64276172	0.33676031	0.33676828	0.64460795	0.64298021	0.33679195	0.33681126	60061	46114	0
60061	46119	0.00056403	0.00575668	0.47110069	0.00571308	0.46958135	0.64460360	0.64304940	0.33694060	0.33694906	0.64462751	0.64305294	0.33677329	0.33681627	60061	46118	0
60061	46123	0.00202606	0.00575186	0.47188248	0.00575333	0.46749641	0.64451896	0.64296641	0.33665595	0.33674347	0.64473285	0.64327176	0.33698283	0.33716517	60061	46121	0
60061	46126	0.00173676	0.00570757	0.47044806	0.00570884	0.47131594	0.64481568	0.64296682	0.33691537	0.33682104	0.64457574	0.64297372	0.33683320	0.33684322	60061	46124	0
60061	46129	0.00030593	0.00569490	0.46893073	0.00572408	0.47322321	0.64481815	0.64307677	0.33693246	0.33682104	0.64463038	0.64303133	0.33685128	0.33683254	60061	46127	0
60061	46132	0.00078315	0.00572349	0.47155217	0.00572548	0.47012053	0.64447861	0.64297759	0.33699960	0.33685078	0.64461567	0.64309764	0.33692120	0.33677642	60061	46131	0
60061	46136	0.00230751	0.00574136	0.47192637	0.00573219	0.46735329	0.64439726	0.64287380	0.33686188	0.33671775	0.64469850	0.64297430	0.33687165	0.33687724	60061	46134	0
60061	46139	0.00083545	0.00572856	0.46885424	0.00563268	0.47327043	0.64452134	0.64289821	0.33672506	0.33672128	0.64502505	0.64290560	0.33695999	0.33676089	60061	46137	0
60061	46142	0.00027787	0.00572577	0.47217341	0.00576145	0.47384614	0.64505077	0.64323864	0.33697577	0.33691537	0.64469645	0.64317241	0.33680148	0.33667502	60061	46141	0
60061	46145	0.00033472	0.00575066	0.47073721	0.00573481	0.47056665	0.64475052	0.64318934	0.33689696	0.33691578	0.64484230	0.64311604	0.33699779	0.33676491	60061	46144	0
60061	46149	0.00124799	0.00574228	0.47157656	0.00573837	0.46883675	0.64460253	0.64305088	0.33686935	0.33683443	0.64472225	0.64324177	0.33689261	0.33693205	60061	46147	0
60061	46152	0.00119736	0.00571063	0.46974526	0.00573813	0.46989715	0.64471346	0.64323815	0.33686467	0.33684519	0.64470861	0.64297857	0.33685267	0.33683509	60061	46150	0
60061	46155	0.00057183	0.00575329	0.46888441	0.00572403	0.47076100	0.64471280	0.64297586	0.33680855	0.33687716	0.64467648	0.64318112	0.33692219	0.33688990	60061	46154	0
60061	46158	0.00075736	0.00574357	0.46902833	0.00577045	0.46847172	0.64473852	0.64315228	0.33699910	0.33690247	0.64490097	0.64304119	0.33702088	0.33690395	60061	46157	0
60061	46162	0.00096406	0.00575101	0.47083557	0.00575592	0.47021548	0.64499013	0.64319600	0.33699204	0.33696845	0.64484551	0.64319057	0.33695826	0.33700609	60061	46160	0
60061	46639	0.00152246	0.00579810	0.46893443	0.00579372	0.46725923	0.64790903	0.64589254	0.33880195	0.33859413	0.64773203	0.64596896	0.33866184	0.33864081	60061	46637	0
60061	46642	0.00018265	0.00581858	0.46601989	0.00580831	0.47003932	0.64777632	0.64598515	0.33896358	0.33874213	0.64779062	0.64617545	0.33877976	0.33870885	60061	46641	0
60061	46646	0.00161194	0.00576368	0.47011585	0.00580359	0.46582797	0.64773655	0.64608679	0.33863966	0.33857556	0.64775315	0.64602089	0.33876176	0.33861862	60061	46644	0
60061	46649	0.00241379	0.00581439	0.46959524	0.00582853	0.46718968	0.64776958	0.64602689	0.33865075	0.33865889	0.64770771	0.64593116	0.33866012	0.33876702	60061	46647	0
60061	46652	0.00054953	0.00582604	0.46712465	0.00582795	0.47271743	0.64780648	0.64602582	0.33877458	0.33859175	0.64786449	0.64628466	0.33875453	0.33868066	60061	46651	0
60061	46655	0.00059351	0.00588079	0.47018700	0.00586010	0.47005506	0.64778585	0.64616576	0.33877672	0.33857984	0.64777024	0.64614086	0.33872019	0.33858058	60061	46654	0
60061	46659	0.00029033	0.00586944	0.46793945	0.00587389	0.46884899	0.64761354	0.64628770	0.33870885	0.33866423	0.64786712	0.64617636	0.33870835	0.33859833	60061	46657	0
60061	46662	0.00159121	0.00586160	0.47303889	0.00589502	0.46913627	0.64780368	0.64624588	0.33861336	0.33855190	0.64796474	0.64641309	0.33860186	0.33856718	60061	46660	0
60061	46665	0.00038109	0.00584278	0.46853601	0.00588232	0.47216636	0.64781765	0.64614801	0.33874763	0.33862117	0.64761239	0.64592294	0.33851278	0.33835189	60061	46664	0
60061	46668	0.00027881	0.00591746	0.46987902	0.00590510	0.47018587	0.64773376	0.64593864	0.33858994	0.33837572	0.64773630	0.64610314	0.33851689	0.33832609	60061	46667	0
60061	46672	0.00096854	0.00583296	0.46949707	0.00590864	0.46742787	0.64762389	0.64621095	0.33857236	0.33829183	0.64750737	0.64574266	0.33842437	0.33818886	60061	46670	0
60061	46675	0.00159233	0.00591319	0.46894680	0.00593154	0.46707542	0.64740277	0.64594225	0.33821089	0.33825345	0.64742800	0.64563682	0.33808484	0.33807596	60061	46673	0
60061	46678	0.00225929	0.00591725	0.46988494	0.00591069	0.46788408	0.64719586	0.64577536	0.33810431	0.33806840	0.64714089	0.64577479	0.33807990	0.33797152	60061	46677	0
60061	46682	0.00146291	0.00590701	0.46927433	0.00593875	0.47166348	0.64729825	0.64597101	0.33791885	0.33786609	0.64726612	0.64538340	0.33788278	0.33764957	60061	46680	0
60061	46685	0.00086772	0.00592189	0.46885309	0.00592329	0.47063867	0.64705872	0.64549524	0.33765261	0.33776585	0.64694261	0.64531923	0.33761539	0.33765352	60061	46683	0
60061	46688	0.00054270	0.00597902	0.46904546	0.00599406	0.47002050	0.64699544	0.64506080	0.33762057	0.33747685	0.64689865	0.64535768	0.33748909	0.33743930	60061	46686	0
60061	46691	0.00071174	0.00590724	0.47202253	0.00592329	0.47151541	0.64677301	0.64525407	0.33755787	0.33756091	0.64686290	0.64525004	0.33739616	0.33730560	60061	46690	0
60061	46695	0.00173629	0.00597168	0.47011728	0.00600486	0.46704365	0.64687235	0.64492078	0.33730445	0.33720149	0.64643849	0.64505759	0.33731645	0.33731932	60061	46693	0
60061	46698	0.00051121	0.00590958	0.46618166	0.00595624	0.46985689	0.64665649	0.64499654	0.33738925	0.33735030	0.64673011	0.64498964	0.33731053	0.33728810	60061	46696	0
60061	46701	-0.00007760	0.00590601	0.46925050	0.00591214	0.47101694	0.64661688	0.64491692	0.33725252	0.33740174	0.64697014	0.64527905	0.33738876	0.33737956	60061	46699	0
60061	46704	0.00176913	0.00592433	0.47285364	0.00592672	0.46731345	0.64656240	0.64488988	0.33730396	0.33722138	0.64635837	0.64477098	0.33715194	0.33718949	60061	46703	0
