% File initiated 27/04/2023 12:42:33 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 360 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.529558
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	45839	0.00026559	0.00583084	0.46277676	0.00584588	0.46544544	0.64445749	0.64278958	0.33710445	0.33704693	0.64455059	0.64300503	0.33705186	0.33700354	60061	45837	0
60061	45842	-0.00023529	0.00584903	0.46440927	0.00585588	0.46591190	0.64463950	0.64298925	0.33704898	0.33702499	0.64431123	0.64270108	0.33685571	0.33683270	60061	45840	0
60061	45845	0.00244361	0.00584623	0.46908056	0.00589031	0.46104387	0.64459489	0.64273354	0.33697075	0.33693838	0.64449406	0.64257355	0.33678899	0.33687018	60061	45843	0
60061	45848	0.00163225	0.00586488	0.46500647	0.00582508	0.46744056	0.64429069	0.64297890	0.33671257	0.33694479	0.64409890	0.64270182	0.33663599	0.33663155	60061	45847	0
60061	45852	0.00108287	0.00583658	0.46392840	0.00589368	0.46557652	0.64415568	0.64265087	0.33668874	0.33677609	0.64414508	0.64242991	0.33656203	0.33653409	60061	45850	0
60061	45855	0.00054842	0.00587638	0.46460036	0.00588563	0.46620373	0.64406044	0.64232038	0.33649679	0.33642308	0.64408879	0.64245350	0.33653146	0.33643360	60061	45853	0
60061	45858	0.00147546	0.00589963	0.46631540	0.00590045	0.46353427	0.64400465	0.64243903	0.33635578	0.33634058	0.64397375	0.64224675	0.33641166	0.33631848	60061	45856	0
60061	45861	0.00137816	0.00586413	0.46581301	0.00586832	0.46610491	0.64387531	0.64243254	0.33639399	0.33629423	0.64391179	0.64222235	0.33630360	0.33627953	60061	45860	0
60061	45865	0.00105034	0.00591566	0.46427504	0.00589612	0.46525851	0.64380308	0.64214773	0.33623606	0.33642974	0.64382017	0.64212966	0.33636819	0.33618675	60061	45863	0
60061	45868	0.00074125	0.00592826	0.46596193	0.00585887	0.46688919	0.64349420	0.64181576	0.33604452	0.33592192	0.64357193	0.64192932	0.33604690	0.33604583	60061	45866	0
60061	45871	0.00135279	0.00588257	0.46641801	0.00585060	0.46458339	0.64359667	0.64204420	0.33602792	0.33603161	0.64373480	0.64225185	0.33622233	0.33600918	60061	45870	0
60061	45874	0.00058800	0.00588550	0.46637529	0.00585595	0.46866966	0.64374112	0.64216220	0.33620072	0.33604369	0.64396857	0.64222029	0.33624148	0.33616712	60061	45873	0
60061	45878	0.00158513	0.00587417	0.46805201	0.00583437	0.46506062	0.64379371	0.64223623	0.33607574	0.33624312	0.64376216	0.64219893	0.33621708	0.33628306	60061	45876	0
60061	45881	0.00046704	0.00584384	0.46444825	0.00575132	0.46780252	0.64382954	0.64223459	0.33631889	0.33633713	0.64356511	0.64198783	0.33615742	0.33618766	60061	45879	0
60061	45884	0.00119874	0.00585500	0.46506557	0.00583696	0.46287046	0.64371236	0.64188487	0.33608018	0.33614575	0.64389569	0.64209983	0.33632801	0.33620878	60061	45883	0
60061	45887	0.00233613	0.00583782	0.46650067	0.00586740	0.46308853	0.64363652	0.64199465	0.33627624	0.33619809	0.64365410	0.64197838	0.33623285	0.33616802	60061	45886	0
60061	45891	0.00041166	0.00578818	0.46400443	0.00587595	0.46977783	0.64383398	0.64244487	0.33635742	0.33632431	0.64387917	0.64223015	0.33619530	0.33626539	60061	45889	0
60061	45894	0.00186089	0.00581549	0.46628530	0.00584058	0.46193761	0.64387572	0.64207699	0.33638627	0.33627188	0.64381483	0.64215275	0.33629645	0.33632382	60061	45892	0
60061	45897	0.00178270	0.00585457	0.46468152	0.00581248	0.46491607	0.64387942	0.64207953	0.33633770	0.33634888	0.64403916	0.64215776	0.33650837	0.33647813	60061	45896	0
60061	45901	0.00158488	0.00577019	0.46460308	0.00585890	0.46519657	0.64395362	0.64245251	0.33667625	0.33657764	0.64368180	0.64228356	0.33626991	0.33648775	60061	45899	0
60061	45904	0.00131783	0.00578539	0.46411260	0.00578090	0.46491375	0.64365106	0.64199416	0.33620261	0.33620606	0.64351030	0.64185389	0.33627123	0.33618610	60061	45902	0
60061	45907	0.00183053	0.00577144	0.46595880	0.00577022	0.46442070	0.64372798	0.64202686	0.33628676	0.33609472	0.64362592	0.64171724	0.33610080	0.33610894	60061	45905	0
60061	45910	0.00123822	0.00568788	0.46280135	0.00576290	0.46457827	0.64351096	0.64182094	0.33624460	0.33621239	0.64374474	0.64197452	0.33625068	0.33618651	60061	45909	0
60061	45914	0.00109891	0.00576948	0.46418858	0.00575515	0.46460652	0.64384047	0.64208348	0.33626202	0.33626794	0.64366544	0.64199021	0.33629391	0.33610713	60061	45912	0
60061	45917	0.00121182	0.00577671	0.46692069	0.00575165	0.46658196	0.64406135	0.64228940	0.33637682	0.33633721	0.64388706	0.64223500	0.33627714	0.33621535	60061	45915	0
60061	45920	-0.00002480	0.00574260	0.46309598	0.00572484	0.46680583	0.64388665	0.64213755	0.33626901	0.33632891	0.64368295	0.64211585	0.33632998	0.33625734	60061	45918	0
60061	45923	0.00174653	0.00577071	0.46648249	0.00573887	0.46116849	0.64364104	0.64210796	0.33614016	0.33614378	0.64356174	0.64190327	0.33618240	0.33613679	60061	45922	0
60061	45927	0.00174156	0.00573650	0.46534118	0.00576449	0.46535609	0.64354638	0.64209794	0.33621173	0.33606037	0.64366396	0.64215677	0.33623285	0.33619719	60061	45925	0
60061	45930	0.00193100	0.00574067	0.46563861	0.00571473	0.46507029	0.64392749	0.64211889	0.33623515	0.33633664	0.64371039	0.64238307	0.33622825	0.33635595	60061	45928	0
60061	45933	0.00139687	0.00575549	0.46195392	0.00576152	0.46355633	0.64371836	0.64215965	0.33617862	0.33630968	0.64348269	0.64205751	0.33622505	0.33610393	60061	45932	0
60061	46411	0.00236561	0.00574956	0.46795273	0.00572509	0.46504650	0.64681664	0.64557881	0.33817588	0.33832075	0.64706447	0.64521306	0.33836742	0.33818213	60061	46409	0
60061	46414	0.00078607	0.00572605	0.46079345	0.00574328	0.46553206	0.64706258	0.64551381	0.33844581	0.33837375	0.64715173	0.64543180	0.33850933	0.33843702	60061	46412	0
60061	46417	0.00085493	0.00581249	0.46670277	0.00573795	0.46649618	0.64720013	0.64548686	0.33842067	0.33840095	0.64724582	0.64569155	0.33841903	0.33844803	60061	46415	0
60061	46420	0.00041292	0.00573790	0.46453339	0.00577462	0.46585943	0.64721246	0.64559384	0.33854343	0.33849561	0.64745347	0.64561291	0.33849668	0.33851780	60061	46419	0
60061	46424	0.00071179	0.00570681	0.46500768	0.00572543	0.46411107	0.64727335	0.64569689	0.33847803	0.33843612	0.64696151	0.64517395	0.33840169	0.33833349	60061	46422	0
60061	46427	0.00153480	0.00574008	0.46516067	0.00572873	0.46269163	0.64716045	0.64557462	0.33850605	0.33847047	0.64733103	0.64553016	0.33856759	0.33847729	60061	46425	0
60061	46430	0.00154871	0.00576249	0.46445457	0.00572447	0.46441286	0.64718271	0.64563526	0.33869488	0.33860432	0.64736694	0.64574742	0.33870424	0.33867696	60061	46428	0
60061	46433	0.00142519	0.00572511	0.46682063	0.00574539	0.46719118	0.64737516	0.64570568	0.33872364	0.33868847	0.64720170	0.64582310	0.33872701	0.33874517	60061	46432	0
60061	46437	0.00098448	0.00574883	0.46184670	0.00571188	0.46316884	0.64746366	0.64558990	0.33880992	0.33863555	0.64731698	0.64573370	0.33879430	0.33865091	60061	46435	0
60061	46440	0.00125318	0.00573146	0.46311572	0.00574309	0.46230961	0.64737828	0.64571513	0.33879044	0.33866546	0.64736407	0.64572606	0.33876152	0.33875535	60061	46438	0
60061	46443	0.00110235	0.00571772	0.46313371	0.00571696	0.46358621	0.64726119	0.64574274	0.33871369	0.33877113	0.64773729	0.64597422	0.33907196	0.33892381	60061	46442	0
60061	46446	0.00099973	0.00572301	0.46281980	0.00573683	0.46312764	0.64753638	0.64586764	0.33893474	0.33889685	0.64766038	0.64591078	0.33892520	0.33885051	60061	46445	0
60061	46450	0.00160930	0.00574964	0.46500052	0.00566803	0.46317182	0.64755914	0.64577339	0.33877836	0.33879077	0.64761535	0.64600437	0.33900664	0.33902151	60061	46448	0
60061	46453	0.00147589	0.00572417	0.46572044	0.00567687	0.46612067	0.64758470	0.64599418	0.33897607	0.33892216	0.64775413	0.64594735	0.33897484	0.33878444	60061	46451	0
60061	46456	0.00112236	0.00572189	0.46402712	0.00571706	0.46508769	0.64734410	0.64574619	0.33874936	0.33882076	0.64736793	0.64566180	0.33879710	0.33894755	60061	46455	0
60061	46459	0.00173916	0.00569282	0.46690237	0.00572373	0.46505197	0.64749702	0.64592081	0.33891526	0.33877245	0.64742528	0.64547609	0.33888223	0.33874648	60061	46458	0
60061	46463	0.00063252	0.00572031	0.46072618	0.00572432	0.46404611	0.64713686	0.64541167	0.33879455	0.33870424	0.64744344	0.64563600	0.33895972	0.33872643	60061	46461	0
60061	46466	0.00143752	0.00573172	0.46864062	0.00569125	0.46622561	0.64709841	0.64561192	0.33873498	0.33862865	0.64729200	0.64573444	0.33877064	0.33864212	60061	46464	0
60061	46469	0.00047558	0.00570774	0.46441508	0.00569622	0.46730092	0.64734040	0.64570658	0.33852881	0.33869233	0.64707540	0.64575490	0.33870350	0.33850128	60061	46468	0
60061	46473	0.00134911	0.00568388	0.46444642	0.00572562	0.46182582	0.64716579	0.64558941	0.33862035	0.33862199	0.64734311	0.64551718	0.33866998	0.33856455	60061	46471	0
60061	46476	0.00098407	0.00573435	0.46531500	0.00572129	0.46641012	0.64733966	0.64548209	0.33856907	0.33848304	0.64696586	0.64553608	0.33849923	0.33841073	60061	46474	0
60061	46479	0.00045775	0.00570106	0.46414970	0.00572865	0.46572864	0.64719496	0.64534511	0.33855666	0.33829971	0.64713357	0.64550033	0.33848517	0.33846948	60061	46477	0
60061	46482	0.00082843	0.00575608	0.46425910	0.00570400	0.46314707	0.64712174	0.64542753	0.33845025	0.33846200	0.64729759	0.64556459	0.33848526	0.33835082	60061	46481	0
60061	46486	0.00167559	0.00572928	0.46268115	0.00567918	0.46013967	0.64702667	0.64538801	0.33846940	0.33834803	0.64668032	0.64534758	0.33837753	0.33833406	60061	46484	0
