% File initiated 27/04/2023 14:21:59 UTC
% Raw fountain data
%
% File notes: collisional shift map RF amps 360 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.598610
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	51736	0.00047033	0.05869347	0.46997395	0.05870450	0.47266168	0.72353453	0.72277157	0.36751244	0.36739461	0.72413109	0.72282876	0.36764400	0.36745689	60061	51734	0
60061	51739	0.00134271	0.05858754	0.47230780	0.05861451	0.46969064	0.72427194	0.72328629	0.36772518	0.36765254	0.72461352	0.72341530	0.36793538	0.36769084	60061	51738	0
60061	51742	0.00130895	0.05890939	0.47165079	0.05879722	0.47175209	0.72460292	0.72334603	0.36797761	0.36784335	0.72472708	0.72368424	0.36796808	0.36776791	60061	51741	0
60061	51746	0.00181754	0.05924986	0.47366918	0.05914685	0.47214341	0.72497541	0.72383429	0.36821912	0.36791861	0.72528536	0.72398072	0.36841764	0.36791853	60061	51744	0
60061	51749	0.00135848	0.05897087	0.47100256	0.05937185	0.47237974	0.72524518	0.72441335	0.36850433	0.36807491	0.72565965	0.72423594	0.36833892	0.36815124	60061	51747	0
60061	51851	0.00087807	0.06030736	0.47053113	0.06041988	0.47197237	0.73812885	0.73677400	0.37380062	0.37366742	0.73855507	0.73727681	0.37406069	0.37380489	60061	51849	0
60061	51854	0.00132167	0.06039416	0.47325599	0.06044828	0.47192519	0.73866822	0.73751108	0.37425930	0.37411484	0.73886018	0.73767313	0.37422914	0.37408222	60061	51852	0
60061	51857	0.00098317	0.06080758	0.47088682	0.06071681	0.47190229	0.73892131	0.73776097	0.37443120	0.37407819	0.73911376	0.73835236	0.37444435	0.37413843	60061	51856	0
60061	51861	0.00105341	0.06047217	0.47306775	0.06073976	0.47285703	0.73931623	0.73844151	0.37439291	0.37438059	0.73964179	0.73839821	0.37445199	0.37424755	60061	51859	0
60061	51864	0.00088808	0.06070353	0.47157820	0.06049159	0.47207420	0.73992397	0.73865754	0.37453392	0.37445651	0.74001994	0.73897604	0.37466597	0.37453137	60061	51862	0
60061	51966	0.00101362	0.06348333	0.47063776	0.06303510	0.47026112	0.75253771	0.75120004	0.37945920	0.37897652	0.75243746	0.75139166	0.37944548	0.37940990	60061	51964	0
60061	51969	-0.00009529	0.06279663	0.47072237	0.06286861	0.47404911	0.75293164	0.75207582	0.37978887	0.37976389	0.75308563	0.75226876	0.37976126	0.37965526	60061	51967	0
60061	51972	0.00034116	0.06282109	0.47200259	0.06318927	0.47069324	0.75377447	0.75273303	0.38013259	0.37995428	0.75404038	0.75297757	0.38034098	0.37997294	60061	51971	0
60061	51975	0.00038271	0.06347689	0.47257341	0.06341197	0.47244877	0.75470794	0.75348030	0.38051708	0.38043293	0.75476727	0.75344579	0.38059999	0.38023186	60061	51974	0
60061	51979	0.00116867	0.06328402	0.47291897	0.06343142	0.47056109	0.75485634	0.75365146	0.38089038	0.38047213	0.75524847	0.75383972	0.38071700	0.38050606	60061	51977	0
60061	52081	0.00059001	0.06415732	0.47005802	0.06455736	0.47179399	0.76953661	0.76822343	0.38623909	0.38592125	0.76934269	0.76837660	0.38628700	0.38593662	60061	52079	0
60061	52084	0.00107912	0.06378095	0.47291906	0.06376267	0.47145176	0.76993400	0.76873914	0.38635742	0.38613136	0.77021765	0.76880159	0.38663672	0.38614566	60061	52082	0
60061	52087	0.00020914	0.06373998	0.46963064	0.06391998	0.47224058	0.77054700	0.76913233	0.38637656	0.38615347	0.77054280	0.76941328	0.38653417	0.38623564	60061	52085	0
60061	52090	0.00119131	0.06340108	0.47342171	0.06384331	0.47047519	0.77066031	0.76933102	0.38669103	0.38634624	0.77066179	0.76940522	0.38666145	0.38630557	60061	52089	0
60061	52094	0.00070413	0.06366844	0.47096310	0.06403942	0.47242464	0.77080485	0.76960457	0.38660114	0.38639998	0.77106944	0.76972898	0.38664896	0.38642357	60061	52092	0
