% File initiated 27/04/2023 16:45:14 UTC
% Raw fountain data
%
% File notes: RF amp 360 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.698085
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	60347	0.00027554	0.00642337	0.45908089	0.00642233	0.45776131	0.68284845	0.68094461	0.34991327	0.35010004	0.68308978	0.68113755	0.35026134	0.34994589	60061	60345	0
60061	60350	0.00129679	0.00636642	0.46193904	0.00645075	0.45887529	0.68255000	0.68088759	0.34980028	0.34993060	0.68276701	0.68065356	0.34988804	0.34991548	60061	60349	0
60061	60353	0.00211200	0.00649478	0.46044887	0.00647013	0.45800324	0.68286439	0.68091889	0.34992617	0.34988557	0.68302248	0.68099868	0.34991359	0.34990768	60061	60352	0
60061	60357	0.00150524	0.00642113	0.45939556	0.00645305	0.46121584	0.68305922	0.68096146	0.35000809	0.34987169	0.68292429	0.68104084	0.34991811	0.34985229	60061	60355	0
60061	60360	0.00005085	0.00651343	0.45707715	0.00633535	0.46144031	0.68288345	0.68091183	0.34976002	0.34989889	0.68287441	0.68120247	0.34986010	0.34995904	60061	60358	0
60061	60363	0.00156508	0.00649976	0.46199952	0.00647638	0.45745682	0.68298000	0.68112095	0.34991064	0.34977423	0.68320408	0.68124117	0.35011796	0.35004795	60061	60362	0
60061	60366	0.00066569	0.00651056	0.45761836	0.00644513	0.46031655	0.68258919	0.68069859	0.35007087	0.34978582	0.68315396	0.68107420	0.35000415	0.34991737	60061	60365	0
60061	60370	0.00013545	0.00644732	0.45864846	0.00650641	0.46023919	0.68296529	0.68111726	0.34996438	0.34983151	0.68287803	0.68103919	0.34993693	0.34992017	60061	60368	0
60061	60373	0.00090884	0.00649003	0.46117529	0.00645602	0.45885510	0.68301640	0.68137100	0.35003981	0.34995904	0.68296086	0.68113583	0.35005953	0.34994293	60061	60371	0
60061	60376	0.00101422	0.00652081	0.45995951	0.00647800	0.45964339	0.68308140	0.68102613	0.35008952	0.34997046	0.68305437	0.68135251	0.35007876	0.35011763	60061	60375	0
60061	60380	0.00061200	0.00651332	0.45936292	0.00649995	0.46056958	0.68283669	0.68102054	0.35010974	0.34996618	0.68305774	0.68115785	0.35013480	0.35007465	60061	60378	0
60061	60383	0.00098523	0.00645840	0.46054213	0.00647755	0.45942242	0.68300145	0.68108291	0.35017967	0.35016225	0.68302774	0.68122843	0.35009125	0.35015896	60061	60381	0
60061	60386	0.00143089	0.00649546	0.46116497	0.00644918	0.45982801	0.68312158	0.68127133	0.35018049	0.35014252	0.68295872	0.68108504	0.35019972	0.35013505	60061	60384	0
60061	60389	0.00246912	0.00643493	0.46133520	0.00648552	0.45822051	0.68316883	0.68115900	0.35032256	0.35020728	0.68370599	0.68118694	0.35059176	0.35028172	60061	60388	0
60061	60393	0.00277147	0.00652351	0.46049304	0.00652894	0.45958600	0.68331863	0.68119729	0.35042487	0.35017055	0.68330368	0.68135933	0.35039101	0.35040671	60061	60391	0
60061	60396	0.00113489	0.00645669	0.45837196	0.00647940	0.46328170	0.68309660	0.68128012	0.35055404	0.35049578	0.68310687	0.68125448	0.35056316	0.35051460	60061	60394	0
60061	60399	0.00112245	0.00644090	0.46044870	0.00645643	0.46048602	0.68296307	0.68098496	0.35032667	0.35043859	0.68342480	0.68164422	0.35068650	0.35072405	60061	60398	0
60061	60402	0.00101530	0.00653621	0.46047349	0.00646714	0.46079493	0.68325166	0.68141414	0.35062249	0.35062980	0.68368019	0.68151004	0.35080622	0.35060474	60061	60401	0
60061	60406	0.00135056	0.00648956	0.46123553	0.00644268	0.46022975	0.68341526	0.68174422	0.35065051	0.35082143	0.68375365	0.68166082	0.35100787	0.35093696	60061	60404	0
60061	60409	0.00176443	0.00649195	0.45886438	0.00645904	0.45762280	0.68337845	0.68162943	0.35080655	0.35075635	0.68337821	0.68161900	0.35091420	0.35072570	60061	60407	0
60061	60412	-0.00007005	0.00649885	0.45609324	0.00645520	0.46159665	0.68355717	0.68163814	0.35096671	0.35076202	0.68358782	0.68192106	0.35100179	0.35092899	60061	60411	0
60061	60415	0.00088319	0.00653044	0.45971862	0.00646593	0.45685891	0.68339850	0.68160675	0.35097443	0.35085750	0.68368602	0.68153156	0.35096654	0.35097698	60061	60414	0
60061	60419	0.00172628	0.00649278	0.45973906	0.00650831	0.45720980	0.68336966	0.68136886	0.35096942	0.35074887	0.68344789	0.68165926	0.35103285	0.35105356	60061	60417	0
60061	60422	0.00134266	0.00647128	0.45931886	0.00646495	0.46046973	0.68338478	0.68150469	0.35093614	0.35094822	0.68349941	0.68158925	0.35098528	0.35098240	60061	60420	0
60061	60425	0.00012529	0.00646398	0.45843366	0.00643514	0.46208576	0.68339176	0.68139623	0.35096769	0.35081148	0.68317343	0.68140453	0.35088848	0.35072931	60061	60424	0
60061	60429	0.00059065	0.00644863	0.45954474	0.00642876	0.45814866	0.68337426	0.68173026	0.35104239	0.35100500	0.68344246	0.68142178	0.35109087	0.35098897	60061	60427	0
60061	60432	0.00031202	0.00647024	0.45956481	0.00646501	0.46040071	0.68343433	0.68154085	0.35108265	0.35087870	0.68327746	0.68156115	0.35095964	0.35102390	60061	60430	0
60061	60435	0.00139957	0.00644274	0.46152087	0.00644618	0.45825819	0.68326777	0.68151308	0.35093252	0.35090565	0.68340861	0.68152384	0.35090861	0.35083515	60061	60433	0
60061	60438	0.00224806	0.00638458	0.46250475	0.00648043	0.45995931	0.68332841	0.68157684	0.35098758	0.35090845	0.68332718	0.68157134	0.35101453	0.35084230	60061	60437	0
60061	60442	0.00015906	0.00642700	0.45670420	0.00641251	0.46297120	0.68314739	0.68135465	0.35097813	0.35078765	0.68340483	0.68137248	0.35098133	0.35088149	60061	60440	0
60061	60462	0.00101933	0.00639888	0.46116747	0.00643715	0.45858666	0.68309110	0.68115645	0.35082118	0.35078626	0.68302725	0.68110740	0.35067804	0.35066711	60061	60460	0
60061	60465	0.00133852	0.00634771	0.46048787	0.00644682	0.45953030	0.68303489	0.68077476	0.35085076	0.35040712	0.68299578	0.68119672	0.35065297	0.35065634	60061	60463	0
60061	60468	0.00114563	0.00634535	0.45980002	0.00637311	0.46037867	0.68285765	0.68126459	0.35061485	0.35058001	0.68273242	0.68100180	0.35064714	0.35047935	60061	60467	0
60061	60472	0.00139754	0.00642901	0.46080193	0.00639017	0.46004621	0.68277244	0.68105020	0.35051345	0.35040071	0.68267260	0.68082070	0.35047491	0.35040046	60061	60470	0
60061	60475	0.00213400	0.00638256	0.46118609	0.00643541	0.45897671	0.68274269	0.68098430	0.35045617	0.35044829	0.68275354	0.68077550	0.35048041	0.35047836	60061	60473	0
60061	60478	0.00200598	0.00640176	0.46019377	0.00642582	0.46057784	0.68263365	0.68074970	0.35053481	0.35026496	0.68280818	0.68082867	0.35042125	0.35046028	60061	60476	0
60061	60481	0.00143389	0.00637996	0.45888881	0.00634554	0.46060509	0.68269462	0.68087986	0.35048288	0.35041081	0.68279208	0.68071889	0.35054837	0.35036012	60061	60480	0
60061	60485	0.00137932	0.00640154	0.45897990	0.00633797	0.45914360	0.68266718	0.68065972	0.35045782	0.35030605	0.68253513	0.68061018	0.35044705	0.35022248	60061	60483	0
60061	60488	0.00075895	0.00638917	0.45976164	0.00641206	0.46162275	0.68249700	0.68065397	0.35033982	0.35040038	0.68255846	0.68035816	0.35039471	0.35023579	60061	60486	0
60061	60491	-0.00032630	0.00638536	0.45736668	0.00640258	0.46062241	0.68249051	0.68078775	0.35039742	0.35033546	0.68248500	0.68052841	0.35031221	0.35029980	60061	60490	0
60061	60494	0.00107998	0.00638472	0.46279104	0.00635199	0.45857221	0.68224407	0.68033720	0.35030605	0.35017309	0.68239100	0.68044517	0.35037918	0.35002058	60061	60493	0
60061	60498	0.00140032	0.00638411	0.46382486	0.00633330	0.46286385	0.68241474	0.68028083	0.35032404	0.35015025	0.68233035	0.68045791	0.35030794	0.35038970	60061	60496	0
