% File initiated 27/04/2023 16:48:37 UTC
% Raw fountain data
%
% File notes: RF amp 350 mV 3ms OP
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60061.700434
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60061	60534	-0.00035167	0.04907500	0.46689304	0.04899956	0.47039932	0.68146303	0.68096811	0.35024795	0.35000464	0.68137536	0.68090131	0.35009232	0.35019544	60061	60532	0
60061	60537	0.00158466	0.04911250	0.47133363	0.04907647	0.46552464	0.68141883	0.68093804	0.35019413	0.35025247	0.68141233	0.68089202	0.35018353	0.35014754	60061	60535	0
60061	60540	0.00031387	0.04883098	0.46652324	0.04878167	0.47033563	0.68138620	0.68063302	0.35022157	0.35014926	0.68153814	0.68064222	0.35014302	0.35004482	60061	60538	0
60061	60543	0.00035145	0.04907188	0.46794273	0.04872530	0.46782999	0.68132589	0.68069958	0.35000398	0.35010234	0.68127051	0.68073729	0.35016644	0.35006216	60061	60542	0
60061	60547	-0.00017424	0.04909693	0.46670110	0.04911450	0.46827816	0.68131406	0.68065488	0.35018394	0.35008155	0.68112892	0.68030926	0.35006553	0.34989782	60061	60545	0
60061	60648	0.00084470	0.04904427	0.46929983	0.04888725	0.46624302	0.68153649	0.68071766	0.35035182	0.35013957	0.68149927	0.68060245	0.35035847	0.35015288	60061	60647	0
60061	60652	0.00110073	0.04917112	0.46920403	0.04884858	0.46843595	0.68120879	0.68046490	0.35010777	0.35004827	0.68112358	0.68043186	0.35000900	0.34997087	60061	60650	0
60061	60655	0.00127324	0.04895072	0.46884030	0.04912327	0.46832276	0.68101454	0.68044895	0.34988944	0.34997481	0.68138094	0.68040327	0.35027367	0.34980143	60061	60653	0
60061	60658	0.00146785	0.04893882	0.46709764	0.04911921	0.46651378	0.68093451	0.68037212	0.34983496	0.34977242	0.68099729	0.68026234	0.34988894	0.34991918	60061	60657	0
60061	60661	0.00110233	0.04926941	0.46683785	0.04963674	0.46793443	0.68102038	0.68035922	0.34968458	0.34978483	0.68078725	0.67998189	0.34965582	0.34953117	60061	60660	0
60061	60763	0.00064984	0.04972319	0.46584070	0.04955895	0.46719816	0.68069522	0.68001780	0.34990069	0.34983479	0.68082275	0.68033835	0.34988163	0.35002568	60061	60762	0
60061	60767	0.00128672	0.04949008	0.46686962	0.04954057	0.46495899	0.68073121	0.67982634	0.34977974	0.34966790	0.68061396	0.67978493	0.34973117	0.34972575	60061	60765	0
60061	60770	0.00174389	0.04954756	0.46882451	0.04974961	0.46745300	0.68041395	0.67982116	0.34974785	0.34967365	0.68076425	0.67985132	0.34985690	0.34961671	60061	60768	0
60061	60773	0.00117888	0.04995907	0.46704263	0.04967114	0.46873767	0.68055767	0.67996784	0.34963405	0.34967801	0.68038133	0.67955830	0.34977168	0.34958516	60061	60771	0
60061	60776	0.00137894	0.04975293	0.46703074	0.04971209	0.46643055	0.68058602	0.67971804	0.34970233	0.34946116	0.68050697	0.68014903	0.34984868	0.34980151	60061	60775	0
60061	60878	0.00225098	0.04951801	0.46913033	0.04916476	0.46651422	0.68097715	0.68022849	0.35048888	0.35053522	0.68069169	0.67996669	0.35034656	0.35030851	60061	60877	0
60061	60881	0.00113046	0.04935276	0.46620425	0.04926823	0.46956580	0.68075595	0.67990473	0.35039093	0.35038214	0.68080048	0.67987129	0.35035896	0.35031155	60061	60880	0
60061	60885	0.00121102	0.04910421	0.46745522	0.04927522	0.46721353	0.68062267	0.67998707	0.35031221	0.35025280	0.68072875	0.67988953	0.35035420	0.35028361	60061	60883	0
60061	60888	0.00126231	0.04926568	0.46825814	0.04942177	0.46810427	0.68062932	0.67986274	0.35034541	0.35021295	0.68067197	0.67976948	0.35029923	0.35017761	60061	60886	0
60061	60891	0.00088455	0.04926725	0.46744147	0.04917765	0.46857474	0.68094231	0.68007458	0.35050457	0.35042183	0.68053400	0.67985995	0.35016882	0.35004942	60061	60890	0
60061	60993	0.00092900	0.04873180	0.46825860	0.04856637	0.46812527	0.68011772	0.67919798	0.34994466	0.34992970	0.68005798	0.67922493	0.34989083	0.34968853	60061	60991	0
60061	60996	0.00154866	0.04881719	0.46914241	0.04890533	0.46728342	0.68006801	0.67915722	0.34988007	0.34978910	0.68007368	0.67935131	0.34989675	0.34994063	60061	60995	0
60061	61000	0.00123159	0.04888022	0.46723797	0.04884582	0.46818919	0.68004689	0.67915993	0.34964654	0.34976018	0.67989257	0.67910093	0.34980431	0.34980957	60061	60998	0
60061	61003	0.00050408	0.04878882	0.46771198	0.04884466	0.46989450	0.68006275	0.67935878	0.34988870	0.34982140	0.68051214	0.67938738	0.35012831	0.34988081	60061	61001	0
60061	61006	0.00120076	0.04856361	0.46820352	0.04863658	0.46611347	0.67999890	0.67927916	0.35004170	0.35004466	0.68000802	0.67937415	0.35005772	0.34992148	60061	61004	0
60061	61108	0.00097667	0.04876953	0.46709601	0.04869589	0.46776831	0.67992659	0.67916667	0.34993249	0.34971137	0.67994319	0.67937982	0.34991458	0.34978960	60061	61106	0
60061	61111	0.00210084	0.04867127	0.46837505	0.04885353	0.46500253	0.67988016	0.67925878	0.34983619	0.35000374	0.67969002	0.67919247	0.34982493	0.34981737	60061	61110	0
