% File initiated 28/04/2023 15:55:18 UTC
% Raw fountain data
%
% File notes: RF amp 350 mV and AC stark measurement 3ms OP 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60062.663413
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60062	57364	0.00055739	0.00605938	0.45966873	0.00604235	0.45787497	0.65914582	0.65735004	0.34406043	0.34388442	0.65893809	0.65732835	0.34390866	0.34392847	60062	57363	0
60062	57368	0.00126877	0.00602750	0.46275176	0.00603033	0.46061763	0.65884532	0.65739959	0.34379642	0.34391195	0.65905913	0.65729187	0.34388533	0.34385837	60062	57366	0
60062	57371	0.00167349	0.00602729	0.46176891	0.00606137	0.46055474	0.65909504	0.65724289	0.34383019	0.34381466	0.65918502	0.65733607	0.34397350	0.34381622	60062	57369	0
60062	57374	0.00067562	0.00604177	0.45846689	0.00603138	0.46146051	0.65895461	0.65727954	0.34385205	0.34380209	0.65890925	0.65717329	0.34385846	0.34382107	60062	57373	0
60062	57377	0.00056742	0.00606648	0.46140908	0.00602466	0.46173367	0.65920416	0.65709712	0.34385673	0.34363248	0.65907466	0.65722169	0.34380291	0.34370660	60062	57376	0
60062	57381	0.00082599	0.00602153	0.46192936	0.00606734	0.46115365	0.65882149	0.65743747	0.34365311	0.34381885	0.65885937	0.65729425	0.34367480	0.34368951	60062	57379	0
60062	57384	-0.00024549	0.00607012	0.45944091	0.00606910	0.46265533	0.65889479	0.65705497	0.34359058	0.34356436	0.65877136	0.65706343	0.34353256	0.34353108	60062	57382	0
60062	57387	0.00038599	0.00605432	0.46158998	0.00606631	0.45969554	0.65868854	0.65706787	0.34348392	0.34353544	0.65869248	0.65692078	0.34349427	0.34341826	60062	57386	0
60062	57390	-0.00036808	0.00606377	0.45883412	0.00604065	0.46109632	0.65858755	0.65686556	0.34344973	0.34333527	0.65868508	0.65683056	0.34352960	0.34331727	60062	57389	0
60062	57394	0.00187807	0.00604208	0.46283679	0.00603857	0.45609834	0.65844843	0.65686162	0.34329377	0.34332426	0.65850266	0.65673959	0.34324472	0.34312943	60062	57392	0
