% File initiated 28/04/2023 15:56:40 UTC
% Raw fountain data
%
% File notes: RF amp 350 mV and AC stark measurement 3ms OP 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60062.664360
%% clock_data = False
%% sequence = 4
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60062	57560	0.00028119	0.04698487	0.49315559	0.04687937	0.49549136	0.76550380	0.76464388	0.37638319	0.37615952	0.76514044	0.76444017	0.37630776	0.37606839	60062	57559	0
60062	57564	0.00095177	0.04701287	0.49496596	0.04675995	0.49295421	0.76545491	0.76510231	0.37635443	0.37623832	0.76506131	0.76441963	0.37617176	0.37604456	60062	57562	0
60062	57567	0.00156019	0.04672198	0.49401389	0.04645056	0.49218864	0.76535762	0.76477913	0.37625147	0.37611276	0.76502499	0.76422266	0.37607833	0.37591941	60062	57565	0
60062	57570	0.00101163	0.04632716	0.49397944	0.04610578	0.49562512	0.76527881	0.76436737	0.37613955	0.37598581	0.76562377	0.76468652	0.37635821	0.37606576	60062	57569	0
60062	57573	0.00090115	0.04584042	0.49637748	0.04594022	0.49670892	0.76529763	0.76421839	0.37618581	0.37586617	0.76515556	0.76444001	0.37612837	0.37590281	60062	57572	0
60062	57708	0.00111287	0.04702779	0.49461356	0.04677914	0.49397838	0.76504783	0.76451561	0.37673201	0.37673973	0.76476738	0.76421584	0.37667424	0.37655337	60062	57706	0
60062	57711	0.00052510	0.04726415	0.49319985	0.04686055	0.49496317	0.76502252	0.76434633	0.37676767	0.37655542	0.76499894	0.76422727	0.37689002	0.37668221	60062	57710	0
60062	57714	0.00120816	0.04669785	0.49595858	0.04635527	0.49390942	0.76494955	0.76445431	0.37679988	0.37670193	0.76453755	0.76396851	0.37680851	0.37659215	60062	57713	0
60062	57718	0.00114734	0.04617436	0.49307203	0.04607991	0.49325449	0.76473780	0.76412159	0.37660555	0.37664170	0.76463747	0.76389587	0.37671368	0.37667712	60062	57716	0
60062	57721	0.00093186	0.04599729	0.49530636	0.04588142	0.49595279	0.76467510	0.76417320	0.37682889	0.37670621	0.76462736	0.76389192	0.37683571	0.37660341	60062	57719	0
60062	57855	0.00148557	0.04757448	0.49405113	0.04693055	0.49239001	0.76310538	0.76234381	0.37556114	0.37540773	0.76315813	0.76235080	0.37560445	0.37542556	60062	57854	0
60062	57859	0.00039360	0.04754494	0.49221683	0.04674706	0.49549273	0.76335715	0.76253157	0.37573535	0.37547470	0.76312773	0.76265031	0.37548045	0.37549097	60062	57857	0
60062	57862	0.00170147	0.04663578	0.49476460	0.04644235	0.49084101	0.76357655	0.76272114	0.37583683	0.37560445	0.76374804	0.76262451	0.37584439	0.37546887	60062	57860	0
60062	57865	0.00150836	0.04635774	0.49376188	0.04611339	0.49434121	0.76341820	0.76288212	0.37555761	0.37556764	0.76337433	0.76258762	0.37563132	0.37544841	60062	57864	0
60062	57869	0.00011071	0.04573810	0.49261028	0.04584866	0.49680321	0.76324219	0.76267357	0.37561710	0.37557092	0.76369972	0.76316964	0.37583067	0.37573165	60062	57867	0
60062	58003	0.00159469	0.04691652	0.49608737	0.04677947	0.49163543	0.76479713	0.76395922	0.37551184	0.37536853	0.76457584	0.76403342	0.37547265	0.37532597	60062	58001	0
60062	58006	0.00189191	0.04662964	0.49489639	0.04669053	0.49400475	0.76463097	0.76401543	0.37548645	0.37531488	0.76479244	0.76445209	0.37564118	0.37561152	60062	58005	0
60062	58010	0.00012106	0.04650209	0.49190658	0.04632115	0.49721910	0.76488702	0.76422086	0.37563354	0.37550888	0.76475859	0.76413696	0.37558785	0.37552499	60062	58008	0
60062	58013	0.00124301	0.04633576	0.49668083	0.04594847	0.49331499	0.76456466	0.76411543	0.37543016	0.37553847	0.76489327	0.76418692	0.37569673	0.37548546	60062	58011	0
60062	58016	0.00162326	0.04583607	0.49539268	0.04569494	0.49425195	0.76479326	0.76424962	0.37587134	0.37575392	0.76500625	0.76423729	0.37583543	0.37574513	60062	58014	0
60062	58151	0.00082895	0.04697378	0.49256214	0.04655976	0.49494507	0.76449761	0.76327539	0.37694007	0.37659848	0.76397566	0.76331031	0.37667662	0.37671664	60062	58149	0
60062	58154	0.00143705	0.04655161	0.49461745	0.04660655	0.49279314	0.76392668	0.76334836	0.37681525	0.37673833	0.76410902	0.76338887	0.37686817	0.37670390	60062	58152	0
60062	58157	0.00080214	0.04629739	0.49172259	0.04658805	0.49362731	0.76415117	0.76355420	0.37679109	0.37669782	0.76413819	0.76356595	0.37686126	0.37674540	60062	58156	0
60062	58160	0.00053440	0.04606339	0.49260506	0.04584860	0.49340828	0.76399834	0.76339470	0.37675978	0.37662551	0.76399587	0.76324030	0.37668862	0.37655419	60062	58159	0
