% File initiated 28/04/2023 15:56:40 UTC
% Raw fountain data
%
% File notes: RF amp 350 mV and AC stark measurement 3ms OP 
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60062.664360
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60062	57430	0.00039574	0.04650800	0.46623093	0.04624107	0.46987345	0.65734002	0.65669021	0.34271923	0.34270321	0.65811868	0.65695496	0.34317002	0.34292071	60062	57428	0
60062	57433	0.00109849	0.04622717	0.46959882	0.04600898	0.46749056	0.65774997	0.65708208	0.34294709	0.34291767	0.65766328	0.65672283	0.34281060	0.34272399	60062	57431	0
60062	57436	0.00135360	0.04599926	0.46922861	0.04588808	0.46846328	0.65740592	0.65678585	0.34267420	0.34271315	0.65761209	0.65695439	0.34288472	0.34285744	60062	57435	0
60062	57440	0.00092927	0.04589397	0.46893503	0.04582246	0.47020800	0.65748324	0.65663893	0.34271528	0.34265653	0.65738176	0.65669859	0.34275275	0.34263780	60062	57438	0
60062	57443	0.00228891	0.04574541	0.47116468	0.04554909	0.46708576	0.65745654	0.65664485	0.34281340	0.34261799	0.65752375	0.65672135	0.34274897	0.34264478	60062	57441	0
60062	57577	0.00091025	0.04568501	0.46558505	0.04564934	0.46972105	0.65706581	0.65664740	0.34249646	0.34250558	0.65729228	0.65660417	0.34262547	0.34250969	60062	57576	0
60062	57581	0.00055128	0.04555798	0.46830786	0.04562053	0.46938477	0.65724758	0.65647870	0.34263106	0.34258110	0.65701199	0.65630071	0.34253903	0.34242925	60062	57579	0
60062	57584	0.00184880	0.04567777	0.47110690	0.04563237	0.46721433	0.65719203	0.65629463	0.34253558	0.34239958	0.65702777	0.65636933	0.34257880	0.34249958	60062	57582	0
60062	57587	0.00016775	0.04560243	0.46636930	0.04565441	0.47141246	0.65730000	0.65637401	0.34263821	0.34251125	0.65717149	0.65628535	0.34255751	0.34245973	60062	57585	0
60062	57590	0.00177197	0.04546707	0.47115890	0.04538007	0.46634625	0.65698906	0.65639866	0.34248249	0.34247756	0.65714437	0.65649160	0.34251742	0.34252654	60062	57589	0
60062	57725	0.00117725	0.04567464	0.46898253	0.04556443	0.47076669	0.65773551	0.65709079	0.34343067	0.34331768	0.65806658	0.65739417	0.34348918	0.34349066	60062	57723	0
60062	57728	0.00177108	0.04571727	0.47038869	0.04559090	0.46860719	0.65803716	0.65726278	0.34364193	0.34353741	0.65799969	0.65727675	0.34358104	0.34338917	60062	57726	0
