% File initiated 01/05/2023 14:44:56 UTC
% Raw fountain data
%
% File notes: 3m OP RF amps 350 1070 1750 mV microwave leakage with and without FSk
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60065.614539
%% clock_data = False
%% sequence = 12
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60065	53765	0.00074984	0.00622352	0.46371424	0.00620820	0.46325228	0.65487939	0.65341008	0.34263928	0.34296665	0.65473025	0.65346958	0.34259983	0.34300305	60065	53764	0
60065	53769	0.00046713	0.00618609	0.46193498	0.00622218	0.46267004	0.65487611	0.65373137	0.34274947	0.34318572	0.65491653	0.65343860	0.34271685	0.34291315	60065	53767	0
60065	53772	-0.00069441	0.00624315	0.46267328	0.00623705	0.46569327	0.65483206	0.65346251	0.34270575	0.34293394	0.65518080	0.65360656	0.34281783	0.34300584	60065	53770	0
60065	53775	0.00114980	0.00621637	0.46604525	0.00621899	0.46125032	0.65511029	0.65341074	0.34279376	0.34289746	0.65506691	0.65338354	0.34284134	0.34292318	60065	53773	0
60065	53778	0.00210378	0.00621236	0.46638416	0.00623130	0.46390381	0.65478021	0.65344328	0.34271372	0.34294569	0.65507241	0.65364008	0.34274733	0.34302326	60065	53777	0
60065	53782	0.00082947	0.00618576	0.46246722	0.00624438	0.46578043	0.65497989	0.65358190	0.34282014	0.34303674	0.65509986	0.65330688	0.34274421	0.34292129	60065	53780	0
60065	53785	-0.00006190	0.00619999	0.46132875	0.00621117	0.46364631	0.65483305	0.65340072	0.34277757	0.34300494	0.65509164	0.65361485	0.34282605	0.34298357	60065	53783	0
60065	53788	0.00220441	0.00621528	0.46746242	0.00623789	0.46157002	0.65468037	0.65338058	0.34261438	0.34289105	0.65488120	0.65327343	0.34268948	0.34293591	60065	53786	0
60065	53791	0.00083291	0.00621768	0.46289516	0.00617882	0.46646104	0.65514538	0.65359423	0.34282991	0.34306558	0.65477323	0.65326316	0.34263270	0.34286369	60065	53790	0
60065	53795	0.00097042	0.00622247	0.46394158	0.00621715	0.46358406	0.65465096	0.65292560	0.34253040	0.34261528	0.65475079	0.65320219	0.34240763	0.34272367	60065	53793	0
60065	53798	0.00061865	0.00624047	0.46193906	0.00618260	0.46285366	0.65487841	0.65318608	0.34244165	0.34273032	0.65472072	0.65312035	0.34242916	0.34262399	60065	53796	0
60065	53801	0.00135743	0.00620019	0.46490990	0.00617915	0.46298909	0.65476378	0.65337532	0.34254445	0.34268554	0.65461874	0.65317524	0.34249737	0.34268554	60065	53800	0
60065	53804	0.00075196	0.00619557	0.46119291	0.00622194	0.46276712	0.65468218	0.65336423	0.34247707	0.34277272	0.65452605	0.65310818	0.34247838	0.34266080	60065	53803	0
60065	53808	0.00045893	0.00625518	0.46248755	0.00622673	0.46324945	0.65456780	0.65311969	0.34235307	0.34262399	0.65452490	0.65287753	0.34234362	0.34244009	60065	53806	0
60065	53811	0.00098308	0.00621457	0.46609415	0.00623706	0.46473135	0.65426039	0.65283579	0.34231963	0.34243261	0.65428726	0.65305387	0.34226704	0.34264289	60065	53809	0
60065	53814	0.00194466	0.00623108	0.46222248	0.00623826	0.45972238	0.65458489	0.65302347	0.34231848	0.34254125	0.65459105	0.65316373	0.34235315	0.34274454	60065	53813	0
60065	53818	0.00084247	0.00621709	0.46287206	0.00622025	0.46573775	0.65460535	0.65316875	0.34237041	0.34267798	0.65468382	0.65310687	0.34235899	0.34245431	60065	53816	0
60065	53821	0.00116375	0.00626622	0.46546512	0.00622162	0.46462979	0.65456706	0.65294992	0.34235036	0.34255447	0.65463756	0.65312692	0.34247173	0.34261487	60065	53819	0
60065	53824	0.00134117	0.00628396	0.46334170	0.00623646	0.46288041	0.65475786	0.65319907	0.34249679	0.34263172	0.65469385	0.65315584	0.34228676	0.34255546	60065	53822	0
60065	53827	0.00140136	0.00620987	0.46222156	0.00623273	0.46206507	0.65466460	0.65325593	0.34248438	0.34266393	0.65452992	0.65313341	0.34234863	0.34257173	60065	53826	0
60065	53831	0.00135922	0.00622170	0.46229443	0.00619673	0.46240401	0.65462770	0.65291714	0.34243828	0.34249597	0.65451028	0.65269289	0.34226318	0.34250115	60065	53829	0
60065	53834	0.00083994	0.00619753	0.46130489	0.00629964	0.46265500	0.65472006	0.65313464	0.34243820	0.34261701	0.65462482	0.65315346	0.34240993	0.34274298	60065	53832	0
60065	53837	-0.00087731	0.00622386	0.46225208	0.00620801	0.46671692	0.65468473	0.65327853	0.34250262	0.34268373	0.65468046	0.65324229	0.34254133	0.34273155	60065	53835	0
60065	53840	0.00040623	0.00624585	0.46512247	0.00626167	0.46178528	0.65468119	0.65328173	0.34259712	0.34278340	0.65490750	0.65329973	0.34257600	0.34278488	60065	53839	0
60065	53844	0.00085079	0.00620015	0.46407053	0.00622685	0.46291468	0.65491933	0.65355117	0.34262440	0.34293361	0.65472549	0.65327976	0.34245727	0.34274076	60065	53842	0
60065	53847	0.00091439	0.00623836	0.46237460	0.00623829	0.46220925	0.65475835	0.65339061	0.34249597	0.34274552	0.65490758	0.65373080	0.34263369	0.34307273	60065	53845	0
60065	53850	0.00130696	0.00622552	0.46277401	0.00625674	0.46175331	0.65484858	0.65331452	0.34259367	0.34285341	0.65488136	0.65326858	0.34262481	0.34278447	60065	53849	0
60065	53853	0.00171071	0.00626140	0.46421984	0.00621983	0.46317009	0.65489238	0.65336390	0.34263796	0.34286944	0.65493215	0.65346670	0.34275768	0.34288924	60065	53852	0
60065	53857	0.00095897	0.00623871	0.46328313	0.00621752	0.46523766	0.65504973	0.65351395	0.34282063	0.34295440	0.65520578	0.65358552	0.34287741	0.34302433	60065	53855	0
60065	53860	0.00124472	0.00624176	0.46444511	0.00629950	0.46370217	0.65507258	0.65353868	0.34274339	0.34297601	0.65510824	0.65364255	0.34280608	0.34298440	60065	53858	0
60065	54452	0.00203376	0.00628498	0.46482870	0.00628261	0.46277719	0.65592166	0.65441989	0.34221026	0.34251996	0.65597162	0.65418167	0.34236630	0.34242859	60065	54450	0
60065	54455	0.00257260	0.00629753	0.46348753	0.00633089	0.46208654	0.65578763	0.65432342	0.34237296	0.34251659	0.65585493	0.65419244	0.34237427	0.34243385	60065	54453	0
60065	54458	0.00194720	0.00626521	0.46471038	0.00621536	0.46633642	0.65596077	0.65422605	0.34252925	0.34256573	0.65595584	0.65452507	0.34233688	0.34253056	60065	54456	0
60065	54461	0.00047683	0.00630292	0.46104296	0.00624299	0.46486593	0.65593834	0.65448357	0.34232218	0.34255719	0.65583546	0.65427025	0.34232439	0.34253270	60065	54460	0
60065	54465	0.00076307	0.00626196	0.46472830	0.00625810	0.46398406	0.65611657	0.65463386	0.34247658	0.34270616	0.65608855	0.65448990	0.34250838	0.34262670	60065	54463	0
60065	54468	0.00127121	0.00627338	0.46262050	0.00629070	0.46129934	0.65599586	0.65439351	0.34240788	0.34258430	0.65560669	0.65438086	0.34229851	0.34256047	60065	54466	0
60065	54471	0.00065030	0.00622222	0.46438943	0.00626191	0.46600379	0.65596052	0.65458727	0.34245414	0.34266138	0.65617557	0.65453386	0.34249186	0.34265702	60065	54469	0
60065	54474	-0.00065973	0.00630525	0.46250997	0.00628929	0.46591605	0.65604771	0.65453033	0.34250147	0.34280962	0.65595272	0.65447248	0.34249548	0.34274593	60065	54473	0
60065	54478	-0.00021399	0.00625193	0.46548502	0.00633141	0.46432609	0.65605034	0.65457265	0.34253804	0.34276270	0.65566167	0.65441414	0.34236984	0.34269589	60065	54476	0
60065	54481	0.00102377	0.00630408	0.46594885	0.00628902	0.46273070	0.65633375	0.65466797	0.34274561	0.34290576	0.65604697	0.65465901	0.34255135	0.34281175	60065	54479	0
60065	54484	0.00138459	0.00625785	0.46210780	0.00627405	0.46116967	0.65611772	0.65462589	0.34259162	0.34296262	0.65599643	0.65468259	0.34256179	0.34289310	60065	54483	0
60065	54487	0.00086013	0.00632609	0.46337102	0.00626807	0.46473459	0.65636226	0.65481193	0.34289031	0.34307027	0.65625913	0.65471184	0.34277330	0.34301431	60065	54486	0
60065	54491	0.00205949	0.00624786	0.46547832	0.00631305	0.46235998	0.65636752	0.65460757	0.34274289	0.34292992	0.65623604	0.65488884	0.34284470	0.34311595	60065	54489	0
60065	54494	0.00028155	0.00626090	0.46212077	0.00627058	0.46674343	0.65633169	0.65480610	0.34287659	0.34306435	0.65631271	0.65474184	0.34286566	0.34311530	60065	54492	0
60065	54497	0.00140949	0.00625738	0.46527842	0.00623403	0.46234578	0.65625840	0.65477413	0.34290157	0.34312105	0.65611172	0.65470765	0.34277174	0.34303123	60065	54496	0
60065	54500	0.00145762	0.00620255	0.46321695	0.00623616	0.46309179	0.65634772	0.65485006	0.34296385	0.34309467	0.65614993	0.65473871	0.34283632	0.34307939	60065	54499	0
60065	54504	-0.00029952	0.00622353	0.46092812	0.00625443	0.46549670	0.65623933	0.65479541	0.34291825	0.34314964	0.65636941	0.65481029	0.34285539	0.34317701	60065	54502	0
60065	54507	0.00064913	0.00626832	0.46325472	0.00622735	0.46078822	0.65648856	0.65502886	0.34303017	0.34328087	0.65646917	0.65486131	0.34303978	0.34323198	60065	54505	0
60065	54510	0.00078215	0.00629377	0.46232381	0.00621898	0.46197797	0.65652627	0.65503157	0.34304676	0.34329188	0.65655429	0.65499205	0.34306772	0.34325564	60065	54509	0
60065	54514	0.00198744	0.00623860	0.46252906	0.00626996	0.45939530	0.65638814	0.65489961	0.34302803	0.34323313	0.65658297	0.65519920	0.34316189	0.34341029	60065	54512	0
60065	54517	0.00102792	0.00625054	0.46238135	0.00627793	0.46487609	0.65658774	0.65508047	0.34309147	0.34335663	0.65655775	0.65508038	0.34311981	0.34330248	60065	54515	0
60065	54520	0.00072866	0.00626687	0.46347148	0.00627763	0.46424956	0.65666367	0.65513429	0.34319582	0.34340257	0.65658182	0.65505976	0.34313559	0.34334447	60065	54518	0
60065	54523	0.00151358	0.00616948	0.46645526	0.00631301	0.46441447	0.65657886	0.65498276	0.34322672	0.34330733	0.65668388	0.65507488	0.34319303	0.34341621	60065	54522	0
60065	54527	0.00080333	0.00625131	0.46265546	0.00624957	0.46450213	0.65663277	0.65521679	0.34314217	0.34340692	0.65662389	0.65521227	0.34313485	0.34349485	60065	54525	0
60065	54530	0.00120632	0.00626866	0.46626663	0.00631891	0.46521884	0.65670993	0.65507964	0.34321333	0.34343297	0.65657821	0.65506518	0.34321374	0.34339928	60065	54528	0
60065	54533	0.00091260	0.00623754	0.46338293	0.00625319	0.46414662	0.65669111	0.65527751	0.34320544	0.34341662	0.65665906	0.65519477	0.34320256	0.34344513	60065	54531	0
60065	54536	0.00147579	0.00629458	0.46585461	0.00621748	0.46439030	0.65672365	0.65516198	0.34323288	0.34348211	0.65685512	0.65520504	0.34329114	0.34348499	60065	54535	0
60065	54540	0.00095937	0.00627872	0.46239476	0.00630831	0.46373746	0.65687213	0.65522944	0.34334907	0.34351235	0.65661806	0.65521301	0.34322968	0.34343700	60065	54538	0
60065	54543	0.00012433	0.00627504	0.46182585	0.00627115	0.46399695	0.65680147	0.65546191	0.34332368	0.34359304	0.65673746	0.65543635	0.34326805	0.34364653	60065	54541	0
60065	54546	0.00164547	0.00625775	0.46630365	0.00629623	0.46234869	0.65682620	0.65546199	0.34334874	0.34359403	0.65653507	0.65521235	0.34313009	0.34344760	60065	54545	0
60065	55138	0.00127031	0.00624601	0.46225728	0.00624866	0.46323269	0.65727141	0.65581229	0.34331842	0.34358844	0.65710945	0.65564909	0.34328104	0.34355286	60065	55136	0
