% File initiated 01/05/2023 14:44:56 UTC
% Raw fountain data
%
% File notes: 3m OP RF amps 350 1070 1750 mV microwave leakage with and without FSk
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60065.614539
%% clock_data = False
%% sequence = 5
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60065	53406	0.00129740	0.04604103	0.50066595	0.04607870	0.50100701	0.65372447	0.65284704	0.34269474	0.34287273	0.65360286	0.65290662	0.34266319	0.34282211	60065	53404	0
60065	53409	0.00012292	0.04603222	0.49903764	0.04614315	0.50232620	0.65344435	0.65309824	0.34260427	0.34310379	0.65343556	0.65255788	0.34272432	0.34281816	60065	53408	0
60065	53413	0.00176406	0.04625448	0.50322048	0.04600239	0.49862529	0.65367402	0.65276873	0.34276524	0.34282104	0.65361165	0.65296627	0.34270296	0.34294750	60065	53411	0
60065	53416	0.00109430	0.04617675	0.49914910	0.04612359	0.50102441	0.65372242	0.65303752	0.34273591	0.34293518	0.65412292	0.65289815	0.34301628	0.34284774	60065	53414	0
60065	53419	0.00156085	0.04615738	0.50143419	0.04614238	0.50012785	0.65365167	0.65279692	0.34279277	0.34294512	0.65333654	0.65259502	0.34253985	0.34280929	60065	53418	0
60065	54092	0.00315770	0.04572017	0.50492972	0.04653753	0.50045854	0.65542205	0.65421282	0.34307380	0.34313461	0.65506946	0.65425809	0.34291102	0.34311628	60065	54091	0
60065	54096	0.00154024	0.04662639	0.49747790	0.04640667	0.50200681	0.65522131	0.65431307	0.34292753	0.34307511	0.65521597	0.65457043	0.34303164	0.34334119	60065	54094	0
60065	54099	0.00202260	0.04648596	0.50109534	0.04642995	0.49974471	0.65519575	0.65437149	0.34296804	0.34325474	0.65544227	0.65459549	0.34311825	0.34339147	60065	54097	0
60065	54102	0.00178015	0.04647645	0.50046915	0.04662666	0.50114800	0.65503634	0.65447577	0.34300075	0.34341563	0.65547637	0.65455572	0.34322458	0.34349945	60065	54101	0
60065	54105	0.00136087	0.04627655	0.50070510	0.04651863	0.50187911	0.65544284	0.65433451	0.34322730	0.34322541	0.65542320	0.65456500	0.34325951	0.34343281	60065	54104	0
60065	54779	0.00098399	0.04687258	0.50044064	0.04667994	0.50149590	0.65636111	0.65547473	0.34359797	0.34368548	0.65644410	0.65582190	0.34370101	0.34386240	60065	54777	0
60065	54782	0.00134947	0.04675317	0.50244444	0.04595744	0.50142108	0.65632306	0.65549387	0.34361753	0.34372805	0.65646284	0.65560201	0.34370151	0.34386610	60065	54780	0
60065	54785	0.00158146	0.04698374	0.50079876	0.04667720	0.50014920	0.65647393	0.65567021	0.34353462	0.34377045	0.65646719	0.65555649	0.34357973	0.34366034	60065	54783	0
60065	54788	0.00111875	0.04678426	0.49995934	0.04673267	0.50125491	0.65639784	0.65558549	0.34366642	0.34376412	0.65658577	0.65562222	0.34372682	0.34371260	60065	54787	0
