% File initiated 01/05/2023 14:44:56 UTC
% Raw fountain data
%
% File notes: 3m OP RF amps 350 1070 1750 mV microwave leakage with and without FSk
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60065.614539
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60065	53178	0.00100589	0.04633659	0.46962766	0.04638965	0.47114993	0.65296693	0.65261302	0.34174492	0.34190236	0.65311690	0.65267777	0.34194591	0.34197056	60065	53176	0
60065	53181	0.00099231	0.04637016	0.46955466	0.04639213	0.46959540	0.65298263	0.65283118	0.34193737	0.34218076	0.65298033	0.65226338	0.34193802	0.34182315	60065	53179	0
60065	53184	0.00215152	0.04576218	0.47224565	0.04642120	0.46876804	0.65264926	0.65207389	0.34178140	0.34165996	0.65284031	0.65246503	0.34171863	0.34179233	60065	53182	0
60065	53187	0.00218175	0.04628480	0.46872003	0.04641381	0.46862933	0.65281105	0.65231786	0.34176111	0.34170942	0.65275082	0.65239773	0.34175108	0.34175174	60065	53186	0
60065	53191	0.00115024	0.04653412	0.46754160	0.04644797	0.47063614	0.65289101	0.65235894	0.34169406	0.34178749	0.65270489	0.65252575	0.34166020	0.34168724	60065	53189	0
60065	53864	0.00108162	0.04644965	0.46970456	0.04600048	0.46991041	0.65451143	0.65405151	0.34284347	0.34267707	0.65437757	0.65401248	0.34287511	0.34282433	60065	53862	0
60065	53867	0.00124025	0.04637929	0.47141892	0.04651782	0.47094304	0.65453707	0.65418545	0.34294947	0.34289705	0.65462400	0.65405004	0.34292359	0.34292178	60065	53865	0
60065	53870	0.00048153	0.04654777	0.46937970	0.04646766	0.47165584	0.65459845	0.65412259	0.34294882	0.34292737	0.65463682	0.65424240	0.34298752	0.34290321	60065	53869	0
60065	53874	0.00138658	0.04671126	0.47203790	0.04589522	0.46932275	0.65459393	0.65419022	0.34290009	0.34296459	0.65465359	0.65428159	0.34298070	0.34296656	60065	53872	0
60065	53877	0.00128729	0.04668229	0.46911029	0.04655605	0.46940816	0.65465457	0.65412054	0.34295901	0.34285432	0.65459187	0.65431898	0.34287429	0.34296114	60065	53875	0
60065	54550	0.00106875	0.04655145	0.46955037	0.04668130	0.47020600	0.65605732	0.65578262	0.34329862	0.34336575	0.65597038	0.65559363	0.34324291	0.34323140	60065	54548	0
60065	54553	0.00195251	0.04636524	0.47088255	0.04677503	0.46823126	0.65609586	0.65586455	0.34339862	0.34339550	0.65619192	0.65575148	0.34339065	0.34343059	60065	54552	0
60065	54557	0.00100836	0.04578818	0.46863606	0.04679107	0.47146852	0.65616595	0.65577112	0.34333601	0.34349690	0.65612782	0.65573266	0.34329476	0.34333157	60065	54555	0
60065	54560	0.00152675	0.04661550	0.47197556	0.04654744	0.47042039	0.65610613	0.65558574	0.34331752	0.34328161	0.65598123	0.65559576	0.34332919	0.34331004	60065	54558	0
60065	54563	0.00094064	0.04659917	0.46769225	0.04651832	0.46945057	0.65605946	0.65566799	0.34326518	0.34325318	0.65585041	0.65571516	0.34317824	0.34330585	60065	54561	0
60065	55236	0.00189946	0.04655406	0.47069917	0.04656445	0.46782271	0.65605124	0.65599520	0.34298185	0.34313830	0.65634648	0.65586266	0.34310535	0.34290822	60065	55235	0
