% File initiated 01/05/2023 14:44:56 UTC
% Raw fountain data
%
% File notes: 3m OP RF amps 350 1070 1750 mV microwave leakage with and without FSk
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60065.614539
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60065	53194	0.00226055	0.00624022	0.46638072	0.00625932	0.46244520	0.65347286	0.65216099	0.34164023	0.34171690	0.65340556	0.65196000	0.34154861	0.34159274	60065	53192	0
60065	53197	0.00250696	0.00628364	0.46237920	0.00621721	0.46163995	0.65326250	0.65210840	0.34159890	0.34179611	0.65335355	0.65175917	0.34151657	0.34149643	60065	53196	0
60065	53200	0.00132254	0.00625961	0.46248708	0.00626120	0.46604035	0.65320876	0.65157823	0.34155675	0.34144097	0.65312454	0.65164750	0.34149832	0.34144771	60065	53199	0
60065	53204	0.00059105	0.00623825	0.46156540	0.00627031	0.46375986	0.65310966	0.65160256	0.34147211	0.34144762	0.65311451	0.65162104	0.34142782	0.34141344	60065	53202	0
60065	53207	0.00235653	0.00620075	0.46711712	0.00625190	0.46182069	0.65332167	0.65172261	0.34144623	0.34140424	0.65303341	0.65158119	0.34145214	0.34139257	60065	53205	0
60065	53210	0.00048409	0.00625897	0.46067046	0.00627376	0.46628777	0.65294795	0.65148472	0.34141854	0.34128681	0.65317014	0.65160354	0.34159833	0.34138287	60065	53209	0
60065	53214	0.00121889	0.00624903	0.46520440	0.00629544	0.46300001	0.65316110	0.65167873	0.34151188	0.34140522	0.65322906	0.65175712	0.34152667	0.34144335	60065	53212	0
60065	53217	0.00074923	0.00626069	0.46220556	0.00623600	0.46361453	0.65325125	0.65183173	0.34150942	0.34151122	0.65309364	0.65152712	0.34158855	0.34150662	60065	53215	0
60065	53220	0.00045254	0.00622661	0.46276997	0.00625137	0.46366006	0.65326916	0.65160305	0.34163103	0.34149709	0.65312281	0.65145785	0.34138082	0.34151114	60065	53218	0
60065	53223	0.00134294	0.00620701	0.46451849	0.00623903	0.46184728	0.65312856	0.65166681	0.34150194	0.34151977	0.65318132	0.65159426	0.34155880	0.34151714	60065	53222	0
60065	53227	0.00046836	0.00621385	0.46364191	0.00623107	0.46626566	0.65315494	0.65183091	0.34159668	0.34158148	0.65318707	0.65172179	0.34156234	0.34157458	60065	53225	0
60065	53230	0.00146010	0.00627772	0.46674754	0.00622596	0.46377231	0.65336201	0.65171792	0.34163949	0.34154385	0.65342282	0.65166303	0.34160096	0.34155165	60065	53228	0
60065	53233	0.00206453	0.00620509	0.46509944	0.00621420	0.46328614	0.65338560	0.65166755	0.34167105	0.34159644	0.65330252	0.65164874	0.34169282	0.34155724	60065	53231	0
60065	53236	0.00083649	0.00620889	0.46118596	0.00623709	0.46487009	0.65334977	0.65177964	0.34160605	0.34163046	0.65322824	0.65136467	0.34158452	0.34141180	60065	53235	0
60065	53240	0.00091616	0.00620062	0.46394789	0.00621494	0.46370886	0.65322528	0.65175293	0.34159824	0.34155921	0.65304302	0.65167380	0.34157918	0.34162742	60065	53238	0
60065	53243	0.00047847	0.00620930	0.46450432	0.00622008	0.46581741	0.65329447	0.65193864	0.34160243	0.34166185	0.65345807	0.65171291	0.34175642	0.34165675	60065	53241	0
60065	53246	0.00060666	0.00621781	0.46369676	0.00621023	0.46331218	0.65351378	0.65155235	0.34188248	0.34165831	0.65308468	0.65154150	0.34155987	0.34154385	60065	53245	0
60065	53249	0.00167527	0.00623534	0.46500626	0.00621984	0.46180043	0.65311706	0.65185293	0.34167014	0.34167491	0.65354312	0.65183921	0.34184846	0.34164812	60065	53248	0
60065	53253	0.00059897	0.00625174	0.46113912	0.00621364	0.46436802	0.65329636	0.65173452	0.34163243	0.34159660	0.65342619	0.65191752	0.34175601	0.34168157	60065	53251	0
60065	53256	0.00146577	0.00620510	0.46460661	0.00619769	0.46200620	0.65328617	0.65189385	0.34172734	0.34177713	0.65335429	0.65176213	0.34164944	0.34158263	60065	53254	0
60065	53259	0.00202778	0.00617589	0.46415105	0.00616140	0.46246502	0.65335848	0.65178728	0.34168099	0.34162462	0.65340408	0.65194735	0.34172816	0.34181501	60065	53258	0
60065	53262	0.00032484	0.00621262	0.46015584	0.00618994	0.46526468	0.65344427	0.65194727	0.34172832	0.34177327	0.65339463	0.65180462	0.34170622	0.34165256	60065	53261	0
60065	53266	0.00047721	0.00619844	0.46330466	0.00619932	0.46284754	0.65346243	0.65199575	0.34165313	0.34174484	0.65322955	0.65187660	0.34173826	0.34166201	60065	53264	0
60065	53269	0.00037938	0.00617429	0.46140229	0.00619568	0.46169576	0.65348420	0.65189336	0.34177327	0.34171197	0.65326234	0.65151011	0.34160654	0.34147795	60065	53267	0
60065	53272	0.00012561	0.00618922	0.46380951	0.00620542	0.46457084	0.65338165	0.65178300	0.34168017	0.34169833	0.65344558	0.65175671	0.34168617	0.34168181	60065	53271	0
60065	53276	0.00093309	0.00618568	0.46551413	0.00620889	0.46309169	0.65357821	0.65202574	0.34185437	0.34168181	0.65329282	0.65179771	0.34162618	0.34162733	60065	53274	0
60065	53279	0.00139907	0.00623379	0.46506715	0.00619029	0.46366919	0.65334936	0.65196247	0.34165913	0.34175749	0.65386030	0.65207899	0.34194994	0.34178822	60065	53277	0
60065	53282	0.00052739	0.00617306	0.46198960	0.00624812	0.46460466	0.65348338	0.65176049	0.34174796	0.34163843	0.65315453	0.65183099	0.34160063	0.34159044	60065	53280	0
60065	53285	0.00061680	0.00619007	0.46367560	0.00617914	0.46340736	0.65316875	0.65191095	0.34153555	0.34164582	0.65329274	0.65178194	0.34164040	0.34163760	60065	53284	0
60065	53289	0.00096253	0.00622520	0.46434363	0.00622140	0.46330643	0.65336144	0.65177175	0.34163292	0.34159331	0.65334804	0.65165810	0.34156661	0.34151081	60065	53287	0
60065	53880	0.00092682	0.00621866	0.46310262	0.00628456	0.46320977	0.65537645	0.65421471	0.34300502	0.34317405	0.65552838	0.65378865	0.34309985	0.34297380	60065	53879	0
60065	53883	0.00120517	0.00628233	0.46264314	0.00630681	0.46180809	0.65531638	0.65384789	0.34291800	0.34284413	0.65545213	0.65382587	0.34301053	0.34283797	60065	53882	0
60065	53887	0.00086467	0.00627815	0.46275934	0.00629059	0.46378083	0.65545813	0.65403648	0.34306254	0.34310708	0.65515072	0.65379087	0.34289130	0.34294742	60065	53885	0
60065	53890	0.00075630	0.00626835	0.46370687	0.00624907	0.46403198	0.65527768	0.65392423	0.34288037	0.34295884	0.65538015	0.65376580	0.34292507	0.34289113	60065	53888	0
60065	53893	0.00034553	0.00629763	0.46306715	0.00626215	0.46429946	0.65536314	0.65365389	0.34288678	0.34284257	0.65521851	0.65396942	0.34278538	0.34287741	60065	53892	0
60065	53896	0.00102329	0.00631606	0.46699878	0.00626130	0.46496551	0.65526872	0.65375126	0.34278932	0.34276796	0.65537308	0.65374805	0.34282852	0.34270559	60065	53895	0
60065	53900	0.00178962	0.00630183	0.46588194	0.00632175	0.46358293	0.65534662	0.65371502	0.34278431	0.34268316	0.65518104	0.65382045	0.34273796	0.34278012	60065	53898	0
60065	53903	0.00186048	0.00633832	0.46446170	0.00634205	0.46424913	0.65537020	0.65373466	0.34266516	0.34264396	0.65513725	0.65370639	0.34267847	0.34261298	60065	53901	0
60065	53906	0.00074302	0.00632444	0.46079798	0.00631165	0.46415038	0.65508868	0.65354427	0.34249720	0.34253303	0.65484603	0.65362094	0.34253229	0.34249202	60065	53905	0
60065	53910	0.00055605	0.00632934	0.46225225	0.00630606	0.46281316	0.65501719	0.65336982	0.34241339	0.34233376	0.65492442	0.65341066	0.34237509	0.34230180	60065	53908	0
60065	53913	0.00053375	0.00633487	0.46223439	0.00634228	0.46230127	0.65509526	0.65346974	0.34240714	0.34237057	0.65499813	0.65349899	0.34230648	0.34232768	60065	53911	0
60065	53916	0.00177814	0.00632198	0.46607126	0.00635607	0.46233812	0.65505368	0.65341584	0.34237304	0.34221034	0.65462031	0.65332947	0.34208363	0.34212669	60065	53914	0
60065	53919	0.00110174	0.00634268	0.46309396	0.00632310	0.46512315	0.65481004	0.65348272	0.34216679	0.34223138	0.65489139	0.65352184	0.34219078	0.34216506	60065	53918	0
60065	53923	0.00011747	0.00634512	0.46215783	0.00635042	0.46511064	0.65490643	0.65333432	0.34212546	0.34208125	0.65490380	0.65326300	0.34208544	0.34200080	60065	53921	0
60065	53926	0.00061701	0.00634504	0.46369796	0.00632292	0.46219935	0.65480412	0.65332290	0.34199858	0.34192759	0.65470330	0.65313341	0.34186193	0.34192003	60065	53924	0
60065	53929	0.00275911	0.00633742	0.46702007	0.00633149	0.46059375	0.65445325	0.65262263	0.34177311	0.34154031	0.65460058	0.65302815	0.34184484	0.34175766	60065	53927	0
