% File initiated 02/05/2023 20:52:45 UTC
% Raw fountain data
%
% File notes: Collional shift map 3ms OP 350 mV RF 450 350 350 ms MOT 380 ms RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60066.869977
%% clock_data = False
%% sequence = 6
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60066	75466	0.00078848	0.00829182	0.47430593	0.00831872	0.47782871	0.68137108	0.68041247	0.35003948	0.34999240	0.68134002	0.68022767	0.34972279	0.34988163	60066	75465	0
60066	75469	0.00166631	0.00827683	0.47850438	0.00828698	0.47587092	0.68142885	0.68072587	0.35000719	0.35003094	0.68130929	0.68024837	0.34979387	0.34979494	60066	75468	0
60066	75473	0.00077230	0.00832443	0.47494911	0.00832033	0.47763114	0.68147865	0.68034131	0.34984211	0.34975928	0.68132433	0.68028354	0.34972986	0.34987744	60066	75471	0
60066	75476	0.00125594	0.00833371	0.47659920	0.00828600	0.47514828	0.68127141	0.68015001	0.34993973	0.34975599	0.68134019	0.68027976	0.34986142	0.34990365	60066	75474	0
60066	75479	0.00071905	0.00827554	0.47716136	0.00823897	0.47877203	0.68145391	0.68022241	0.35006915	0.34990727	0.68130296	0.68023013	0.34984605	0.34991269	60066	75478	0
60066	75482	0.00116943	0.00830140	0.47648970	0.00828679	0.47513856	0.68174151	0.68039143	0.35013381	0.34995616	0.68143690	0.68034772	0.34998632	0.35000349	60066	75481	0
60066	75486	0.00164607	0.00830417	0.47696105	0.00823444	0.47553113	0.68138883	0.68035659	0.35000053	0.35008788	0.68170166	0.68061716	0.35023998	0.35025428	60066	75484	0
60066	75489	0.00266422	0.00830246	0.47798600	0.00820538	0.47493154	0.68156690	0.68048774	0.34991277	0.35002075	0.68192426	0.68052357	0.35037638	0.35010407	60066	75487	0
60066	75492	0.00057236	0.00829415	0.47473896	0.00831915	0.48101453	0.68155704	0.68037032	0.35015945	0.35013727	0.68165474	0.68058002	0.35020966	0.35027819	60066	75491	0
60066	75496	0.00145875	0.00828807	0.47924934	0.00828143	0.47659020	0.68175228	0.68058388	0.35022404	0.35032675	0.68162130	0.68055298	0.35030843	0.35025025	60066	75494	0
60066	75499	0.00112955	0.00824908	0.47696876	0.00825043	0.47795634	0.68209797	0.68051913	0.35069833	0.35025132	0.68187019	0.68071273	0.35055010	0.35045773	60066	75497	0
60066	75502	0.00120710	0.00826168	0.47739038	0.00822912	0.47715774	0.68197200	0.68072826	0.35047433	0.35034311	0.68177405	0.68070903	0.35054213	0.35042158	60066	75500	0
60066	75505	0.00061982	0.00830150	0.47634211	0.00825358	0.47810393	0.68158440	0.68049497	0.35035790	0.35047507	0.68232764	0.68081873	0.35079653	0.35059250	60066	75504	0
60066	75509	0.00127060	0.00825957	0.47593985	0.00826273	0.47398754	0.68201925	0.68092407	0.35067187	0.35062553	0.68179460	0.68073491	0.35050638	0.35050235	60066	75507	0
60066	75512	0.00037030	0.00826096	0.47540975	0.00829493	0.47811065	0.68211819	0.68111339	0.35079119	0.35068231	0.68212698	0.68112753	0.35085216	0.35091929	60066	75510	0
60066	75515	0.00092137	0.00830248	0.47844272	0.00822141	0.47678949	0.68237826	0.68103032	0.35095627	0.35092003	0.68225574	0.68111972	0.35098330	0.35092102	60066	75513	0
60066	75518	0.00148410	0.00829851	0.47795098	0.00826635	0.47626279	0.68230669	0.68105760	0.35103778	0.35091568	0.68228483	0.68127856	0.35118939	0.35110525	60066	75517	0
60066	75522	0.00125271	0.00827025	0.47642141	0.00823357	0.47711559	0.68248221	0.68139138	0.35109876	0.35106104	0.68276973	0.68160790	0.35126277	0.35135250	60066	75520	0
60066	75525	0.00094494	0.00831613	0.47624104	0.00822380	0.47716434	0.68260653	0.68162031	0.35126885	0.35132473	0.68247958	0.68118940	0.35116071	0.35112185	60066	75523	0
60066	75528	0.00138103	0.00829953	0.47672993	0.00828910	0.47542165	0.68248607	0.68122227	0.35113384	0.35093704	0.68244696	0.68130880	0.35119235	0.35121256	60066	75527	0
60066	75531	0.00081812	0.00825629	0.47725977	0.00824981	0.47894852	0.68251425	0.68142137	0.35115660	0.35129498	0.68241351	0.68115284	0.35115619	0.35101921	60066	75530	0
60066	75535	0.00006909	0.00829476	0.47468118	0.00832229	0.47692826	0.68217612	0.68126508	0.35095356	0.35103655	0.68248853	0.68149500	0.35109843	0.35100492	60066	75533	0
60066	75538	0.00083840	0.00828753	0.47956847	0.00821378	0.47726054	0.68263390	0.68151505	0.35120706	0.35107164	0.68243134	0.68147692	0.35109851	0.35101363	60066	75536	0
