% File initiated 02/05/2023 20:52:45 UTC
% Raw fountain data
%
% File notes: Collional shift map 3ms OP 350 mV RF 450 350 350 ms MOT 380 ms RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60066.869977
%% clock_data = False
%% sequence = 7
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60066	75564	0.00167645	0.05069115	0.48140539	0.05072201	0.48013788	0.68126212	0.68145588	0.35096827	0.35096580	0.68165983	0.68161637	0.35100697	0.35106515	60066	75562	0
60066	75567	0.00153275	0.05077205	0.48061301	0.05070711	0.48104413	0.68146961	0.68172442	0.35097903	0.35120509	0.68132129	0.68145219	0.35107230	0.35100968	60066	75566	0
60066	75571	0.00064426	0.05064302	0.48054438	0.05085862	0.48320985	0.68140182	0.68139031	0.35103351	0.35093663	0.68106771	0.68155235	0.35086013	0.35121823	60066	75569	0
60066	75574	0.00184236	0.05051091	0.48199223	0.05075859	0.47839792	0.68123402	0.68139163	0.35089998	0.35104806	0.68135711	0.68129861	0.35104953	0.35104847	60066	75572	0
60066	75577	0.00122425	0.05048606	0.47883558	0.05078515	0.48068992	0.68123591	0.68118045	0.35089423	0.35073211	0.68130428	0.68132030	0.35097295	0.35095323	60066	75576	0
60066	76022	0.00088502	0.05061847	0.47987842	0.05018235	0.48089611	0.68117593	0.68113574	0.35096186	0.35097081	0.68139376	0.68124043	0.35121503	0.35093441	60066	76020	0
60066	76025	0.00128804	0.05080644	0.48090681	0.05044538	0.47969773	0.68116623	0.68116311	0.35096079	0.35097303	0.68110929	0.68122293	0.35084476	0.35101174	60066	76023	0
60066	76028	0.00101506	0.05064951	0.47979004	0.05059954	0.48060898	0.68116672	0.68128924	0.35090286	0.35093885	0.68109630	0.68110057	0.35092159	0.35085799	60066	76027	0
60066	76032	0.00096891	0.05052489	0.48064874	0.05063953	0.48078718	0.68089695	0.68109104	0.35088675	0.35107139	0.68123386	0.68121734	0.35103622	0.35095282	60066	76030	0
60066	76035	0.00060500	0.05058828	0.48018689	0.05061186	0.48127865	0.68105554	0.68102087	0.35096621	0.35080064	0.68078200	0.68102448	0.35066818	0.35068798	60066	76033	0
60066	76480	0.00077935	0.05073943	0.48066364	0.05077024	0.48014059	0.68058659	0.68060212	0.35027112	0.35034557	0.68043868	0.68075209	0.35008007	0.35017745	60066	76478	0
60066	76483	0.00038197	0.05060208	0.47883708	0.05061642	0.48002920	0.68049489	0.68055635	0.35008500	0.35018813	0.68041272	0.68029447	0.35005238	0.34991844	60066	76481	0
60066	76486	0.00105100	0.05070906	0.48230431	0.05093797	0.48029723	0.68079588	0.68067903	0.35027992	0.35010604	0.68045643	0.68052743	0.35014540	0.35007638	60066	76484	0
60066	76489	0.00186120	0.05075405	0.48215165	0.05090994	0.47972104	0.68047402	0.68047862	0.35009823	0.35016783	0.68068257	0.68063737	0.35023842	0.35021401	60066	76488	0
60066	76493	0.00119571	0.05067666	0.48021434	0.05093328	0.48221081	0.68047706	0.68061075	0.35013833	0.35010440	0.68045117	0.68061157	0.35010251	0.35006315	60066	76491	0
60066	76937	0.00135353	0.05084710	0.48160606	0.05101906	0.48113259	0.68131808	0.68142614	0.35079020	0.35076884	0.68133583	0.68144134	0.35083030	0.35080729	60066	76936	0
60066	76940	0.00142043	0.05085647	0.48052266	0.05088830	0.48032195	0.68109712	0.68122630	0.35065322	0.35073309	0.68117699	0.68124725	0.35060334	0.35068929	60066	76939	0
60066	76944	-0.00016149	0.05108440	0.47849770	0.05092069	0.48324348	0.68105012	0.68129631	0.35058987	0.35068288	0.68095341	0.68091889	0.35054401	0.35057064	60066	76942	0
60066	76947	0.00058607	0.05096680	0.48122681	0.05101304	0.47898411	0.68098874	0.68114577	0.35058913	0.35065322	0.68118891	0.68111159	0.35076785	0.35063933	60066	76945	0
60066	76950	0.00133001	0.05097127	0.48199115	0.05096172	0.47975935	0.68104626	0.68136213	0.35058707	0.35075174	0.68109885	0.68138440	0.35067401	0.35067984	60066	76949	0
60066	77395	0.00071766	0.05083369	0.47879325	0.05093146	0.48063029	0.68048445	0.68091520	0.35054837	0.35049594	0.68070204	0.68091018	0.35046907	0.35063407	60066	77393	0
60066	77398	0.00216139	0.05057001	0.48126462	0.05086381	0.47693342	0.68076540	0.68099975	0.35055708	0.35057409	0.68090106	0.68081125	0.35068247	0.35070417	60066	77397	0
60066	77401	0.00048390	0.05072761	0.47836364	0.05067056	0.48339614	0.68149985	0.68147593	0.35106580	0.35098470	0.68078709	0.68087658	0.35083540	0.35075610	60066	77400	0
60066	77405	0.00254081	0.05075248	0.48291743	0.05056556	0.47674670	0.68075504	0.68117699	0.35071781	0.35091979	0.68089383	0.68104396	0.35080203	0.35075478	60066	77403	0
60066	77408	0.00016062	0.05077714	0.47672860	0.05055412	0.48386915	0.68108085	0.68112120	0.35102291	0.35084131	0.68145301	0.68123994	0.35097698	0.35081551	60066	77406	0
60066	77853	0.00073707	0.05080635	0.48099851	0.05099401	0.47926915	0.68046120	0.68027303	0.35004877	0.34990308	0.68041411	0.68033975	0.35006265	0.34996125	60066	77851	0
60066	77856	0.00098208	0.05045522	0.48080097	0.05102454	0.48006597	0.68059522	0.68034772	0.35001524	0.34993102	0.68042003	0.68059958	0.34993118	0.35003348	60066	77854	0
