% File initiated 02/05/2023 20:52:45 UTC
% Raw fountain data
%
% File notes: Collional shift map 3ms OP 350 mV RF 450 350 350 ms MOT 380 ms RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60066.869977
%% clock_data = True
%% sequence = 1
%% density = HD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60066	75221	0.00133183	0.05181852	0.46949483	0.05155330	0.47015139	0.68332940	0.68252904	0.35180650	0.35178867	0.68338083	0.68254145	0.35196435	0.35181389	60066	75220	0
60066	75225	0.00149995	0.05163080	0.46944083	0.05141542	0.46893647	0.68350730	0.68314870	0.35194504	0.35215828	0.68359218	0.68284754	0.35194586	0.35187667	60066	75223	0
60066	75228	0.00056861	0.05192355	0.46740218	0.05186998	0.47019621	0.68377279	0.68300474	0.35217085	0.35206205	0.68384667	0.68308691	0.35217438	0.35214932	60066	75226	0
60066	75231	0.00097878	0.05145767	0.46891193	0.05091056	0.46768141	0.68373368	0.68313457	0.35209122	0.35210240	0.68393804	0.68300375	0.35210536	0.35220717	60066	75229	0
60066	75234	0.00173950	0.05156672	0.47061729	0.05136449	0.46833513	0.68384371	0.68297877	0.35205877	0.35206123	0.68358552	0.68285691	0.35207799	0.35196271	60066	75233	0
60066	75679	0.00127803	0.05054688	0.46916911	0.05175152	0.47055352	0.68142030	0.68082629	0.35005789	0.35028123	0.68124717	0.68060615	0.35014261	0.35004203	60066	75677	0
60066	75682	0.00201792	0.05141245	0.47133546	0.05190848	0.46911578	0.68139524	0.68056991	0.35010448	0.35001623	0.68109466	0.68088085	0.35011631	0.35005230	60066	75681	0
60066	75686	0.00059531	0.05131716	0.46794965	0.05164804	0.47221750	0.68137297	0.68078011	0.35010645	0.35005304	0.68141932	0.68055537	0.35011122	0.34985443	60066	75684	0
60066	75689	0.00057038	0.05157989	0.47018896	0.05160664	0.47026374	0.68134569	0.68045980	0.35004753	0.34994268	0.68124265	0.68045758	0.34994260	0.34998517	60066	75687	0
60066	75692	0.00184711	0.05166520	0.47335040	0.05142669	0.46952020	0.68121274	0.68045339	0.34992502	0.34977366	0.68110509	0.68035191	0.34985049	0.34987999	60066	75690	0
60066	76137	0.00020888	0.05222294	0.46682580	0.05255737	0.47174050	0.68102744	0.68035125	0.34971893	0.34950290	0.68098323	0.68015979	0.34973586	0.34951408	60066	76135	0
60066	76140	0.00130939	0.05146559	0.47059749	0.05242924	0.46729596	0.68112293	0.68033096	0.34963396	0.34969436	0.68112777	0.68040549	0.34979773	0.34970751	60066	76138	0
60066	76143	0.00001095	0.05233663	0.46822609	0.05232300	0.47212140	0.68115292	0.68050795	0.34975155	0.34979305	0.68137289	0.68048659	0.35006578	0.34982649	60066	76142	0
60066	76147	0.00008751	0.05239981	0.46757736	0.05207040	0.46734769	0.68111085	0.68042907	0.34978779	0.34967546	0.68102144	0.68049004	0.34984293	0.34981918	60066	76145	0
