% File initiated 02/05/2023 20:52:45 UTC
% Raw fountain data
%
% File notes: Collional shift map 3ms OP 350 mV RF 450 350 350 ms MOT 380 ms RF
%
%% fountain_code = ALPHA-CsF1
%% microwave_ref = ALPHA HM1
%% MJD_start = 60066.869977
%% clock_data = True
%% sequence = 2
%% density = LD
%
% Units: V.s, Hz
%
% Shot B MJD days	Shot B MJD seconds	freq error	shot A sum	shot A ratio	shot B sum	shot B ratio	shot A F=3 bg 1	shot A F=3 bg 2	shot A F=4 bg 1	shot A F=4 bg 2	shot B F=3 bg 1	shot B F=3 bg 2	shot B F=4 bg 1	shot B F=4 bg 2	Shot A MJD days	Shot A MJD seconds	Shot order (0=LF->HF)
60066	75238	0.00084940	0.00687208	0.46029228	0.00680079	0.45972327	0.68445235	0.68253734	0.35207200	0.35205975	0.68431381	0.68256265	0.35197010	0.35203724	60066	75236	0
60066	75241	0.00106114	0.00679426	0.46288088	0.00678947	0.46224563	0.68451718	0.68286595	0.35205877	0.35225129	0.68447947	0.68282010	0.35218975	0.35214570	60066	75239	0
60066	75244	0.00167217	0.00685561	0.46334510	0.00677248	0.46151202	0.68435391	0.68268246	0.35203502	0.35203773	0.68448021	0.68243241	0.35215507	0.35207200	60066	75243	0
60066	75247	0.00053449	0.00685577	0.45966134	0.00683912	0.46307437	0.68424043	0.68251434	0.35200568	0.35191061	0.68425111	0.68243562	0.35188727	0.35188818	60066	75246	0
60066	75251	0.00113440	0.00687276	0.46134046	0.00680601	0.45954074	0.68440371	0.68235344	0.35206559	0.35194940	0.68434331	0.68243537	0.35178670	0.35193534	60066	75249	0
60066	75254	0.00059654	0.00683401	0.46142447	0.00682062	0.46303805	0.68427700	0.68246249	0.35203099	0.35193978	0.68422819	0.68252757	0.35197700	0.35210322	60066	75252	0
60066	75257	0.00140668	0.00680305	0.46266069	0.00679384	0.46023026	0.68437338	0.68251220	0.35191677	0.35199475	0.68435177	0.68221236	0.35211629	0.35187684	60066	75256	0
60066	75260	0.00139508	0.00675748	0.46224980	0.00682511	0.46228461	0.68435227	0.68195968	0.35211218	0.35169039	0.68430699	0.68235188	0.35198613	0.35190535	60066	75259	0
60066	75264	0.00156782	0.00681197	0.46147387	0.00680293	0.46095566	0.68441603	0.68253611	0.35196764	0.35205967	0.68430921	0.68245920	0.35206616	0.35194635	60066	75262	0
60066	75267	0.00185123	0.00680852	0.46238844	0.00682875	0.46153820	0.68442836	0.68258081	0.35188489	0.35189886	0.68426566	0.68226281	0.35178711	0.35171044	60066	75265	0
60066	75270	0.00153915	0.00681975	0.46248199	0.00684843	0.46341825	0.68417847	0.68239897	0.35177281	0.35198070	0.68406894	0.68236947	0.35181217	0.35174569	60066	75269	0
60066	75274	0.00057644	0.00683110	0.46158702	0.00685061	0.46447514	0.68404692	0.68191925	0.35168891	0.35150674	0.68362694	0.68192977	0.35162630	0.35155933	60066	75272	0
60066	75277	0.00131505	0.00678591	0.46448224	0.00683863	0.46226639	0.68366375	0.68194275	0.35149038	0.35158850	0.68388389	0.68196806	0.35164972	0.35159943	60066	75275	0
60066	75280	0.00139299	0.00682804	0.46237394	0.00684195	0.46214013	0.68396179	0.68194850	0.35168127	0.35144831	0.68380303	0.68191941	0.35156672	0.35147181	60066	75278	0
60066	75283	0.00115233	0.00685209	0.46235278	0.00682144	0.46307476	0.68379334	0.68202073	0.35161151	0.35155629	0.68379958	0.68195721	0.35163944	0.35157699	60066	75282	0
60066	75287	0.00018661	0.00680155	0.45904737	0.00687502	0.46194454	0.68370911	0.68197422	0.35155234	0.35149745	0.68331929	0.68145391	0.35124855	0.35130690	60066	75285	0
60066	75290	0.00052392	0.00681219	0.46322560	0.00681204	0.46221367	0.68385069	0.68172056	0.35144116	0.35144618	0.68343219	0.68175548	0.35139014	0.35134297	60066	75288	0
60066	75293	-0.00015080	0.00682538	0.46225358	0.00682034	0.46427773	0.68364608	0.68150165	0.35140435	0.35123680	0.68385020	0.68166969	0.35161011	0.35126474	60066	75291	0
60066	75296	0.00033868	0.00684897	0.46335302	0.00686188	0.46188459	0.68348873	0.68166854	0.35133574	0.35125118	0.68349883	0.68174817	0.35130427	0.35124724	60066	75295	0
60066	75300	0.00112799	0.00681042	0.46395758	0.00685471	0.46158965	0.68342356	0.68156854	0.35119572	0.35116416	0.68341822	0.68168736	0.35122423	0.35124239	60066	75298	0
60066	75303	0.00148401	0.00685913	0.46400388	0.00679959	0.46293579	0.68317656	0.68121849	0.35088240	0.35086687	0.68324870	0.68140206	0.35090171	0.35114633	60066	75301	0
